0 , Arles-Avignon , 0-4 , Auxerre
1 , Arles-Avignon , 2-4 , Bordeaux
2 , Arles-Avignon , 1-1 , Brest
3 , Arles-Avignon , 3-2 , Caen
4 , Arles-Avignon , 0-1 , Lens
5 , Arles-Avignon , 0-1 , Lille
6 , Arles-Avignon , 3-3 , Lorient
7 , Arles-Avignon , 1-1 , Lyon
8 , Arles-Avignon , 0-3 , Marseille
9 , Arles-Avignon , 0-2 , Monaco
10 , Arles-Avignon , 0-0 , Montpellier
11 , Arles-Avignon , 1-1 , Nancy
12 , Arles-Avignon , 0-0 , Nice
13 , Arles-Avignon , 1-2 , Paris Saint-Germain
14 , Arles-Avignon , 0-1 , Rennes
15 , Arles-Avignon , 0-1 , Saint-Étienne
16 , Arles-Avignon , 1-3 , Sochaux
17 , Arles-Avignon , 1-0 , Toulouse
18 , Arles-Avignon , 0-1 , Valenciennes
19 , Auxerre , 1-1 , Arles-Avignon
20 , Auxerre , 0-1 , Bordeaux
21 , Auxerre , 0-1 , Brest
22 , Auxerre , 1-1 , Caen
23 , Auxerre , 1-1 , Lens
24 , Auxerre , 1-1 , Lille
25 , Auxerre , 2-2 , Lorient
26 , Auxerre , 4-0 , Lyon
27 , Auxerre , 1-1 , Marseille
28 , Auxerre , 1-1 , Monaco
29 , Auxerre , 1-0 , Montpellier
30 , Auxerre , 2-2 , Nancy
31 , Auxerre , 2-0 , Nice
32 , Auxerre , 1-0 , Paris Saint-Germain
33 , Auxerre , 2-1 , Rennes
34 , Auxerre , 2-2 , Saint-Étienne
35 , Auxerre , 2-0 , Sochaux
36 , Auxerre , 1-2 , Toulouse
37 , Auxerre , 1-1 , Valenciennes
38 , Bordeaux , 0-0 , Arles-Avignon
39 , Bordeaux , 3-0 , Auxerre
40 , Bordeaux , 0-2 , Brest
41 , Bordeaux , 1-2 , Caen
42 , Bordeaux , 2-2 , Lens
43 , Bordeaux , 1-1 , Lille
44 , Bordeaux , 1-0 , Lorient
45 , Bordeaux , 2-0 , Lyon
46 , Bordeaux , 1-1 , Marseille
47 , Bordeaux , 0-1 , Monaco
48 , Bordeaux , 2-0 , Montpellier
49 , Bordeaux , 2-1 , Nancy
50 , Bordeaux , 2-0 , Nice
51 , Bordeaux , 1-0 , Paris Saint-Germain
52 , Bordeaux , 0-0 , Rennes
53 , Bordeaux , 2-0 , Saint-Étienne
54 , Bordeaux , 0-4 , Sochaux
55 , Bordeaux , 1-2 , Toulouse
56 , Bordeaux , 1-1 , Valenciennes
57 , Brest , 0-0 , Arles-Avignon
58 , Brest , 1-1 , Auxerre
59 , Brest , 1-3 , Bordeaux
60 , Brest , 1-3 , Caen
61 , Brest , 4-1 , Lens
62 , Brest , 1-2 , Lille
63 , Brest , 0-0 , Lorient
64 , Brest , 1-1 , Lyon
65 , Brest , 0-0 , Marseille
66 , Brest , 2-0 , Monaco
67 , Brest , 0-0 , Montpellier
68 , Brest , 2-1 , Nancy
69 , Brest , 0-0 , Nice
70 , Brest , 2-2 , Paris Saint-Germain
71 , Brest , 2-0 , Rennes
72 , Brest , 2-0 , Saint-Étienne
73 , Brest , 1-1 , Sochaux
74 , Brest , 0-2 , Toulouse
75 , Brest , 1-0 , Valenciennes
76 , Caen , 2-0 , Arles-Avignon
77 , Caen , 2-0 , Auxerre
78 , Caen , 0-0 , Bordeaux
79 , Caen , 0-2 , Brest
80 , Caen , 1-1 , Lens
81 , Caen , 2-5 , Lille
82 , Caen , 0-2 , Lorient
83 , Caen , 3-2 , Lyon
84 , Caen , 2-2 , Marseille
85 , Caen , 0-0 , Monaco
86 , Caen , 2-0 , Montpellier
87 , Caen , 2-3 , Nancy
88 , Caen , 0-0 , Nice
89 , Caen , 1-2 , Paris Saint-Germain
90 , Caen , 1-0 , Rennes
91 , Caen , 1-0 , Saint-Étienne
92 , Caen , 0-3 , Sochaux
93 , Caen , 1-1 , Toulouse
94 , Caen , 2-2 , Valenciennes
95 , Lens , 0-1 , Arles-Avignon
96 , Lens , 1-1 , Auxerre
97 , Lens , 1-0 , Bordeaux
98 , Lens , 1-1 , Brest
99 , Lens , 2-0 , Caen
100 , Lens , 1-4 , Lille
101 , Lens , 2-3 , Lorient
102 , Lens , 1-3 , Lyon
103 , Lens , 0-1 , Marseille
104 , Lens , 2-2 , Monaco
105 , Lens , 2-0 , Montpellier
106 , Lens , 1-2 , Nancy
107 , Lens , 1-0 , Nice
108 , Lens , 0-2 , Paris Saint-Germain
109 , Lens , 0-0 , Rennes
110 , Lens , 2-1 , Saint-Étienne
111 , Lens , 2-3 , Sochaux
112 , Lens , 0-1 , Toulouse
113 , Lens , 1-1 , Valenciennes
114 , Lille , 5-0 , Arles-Avignon
115 , Lille , 1-0 , Auxerre
116 , Lille , 1-1 , Bordeaux
117 , Lille , 3-1 , Brest
118 , Lille , 3-1 , Caen
119 , Lille , 1-0 , Lens
120 , Lille , 6-3 , Lorient
121 , Lille , 1-1 , Lyon
122 , Lille , 1-3 , Marseille
123 , Lille , 2-1 , Monaco
124 , Lille , 3-1 , Montpellier
125 , Lille , 3-0 , Nancy
126 , Lille , 1-1 , Nice
127 , Lille , 0-0 , Paris Saint-Germain
128 , Lille , 3-2 , Rennes
129 , Lille , 1-1 , Saint-Étienne
130 , Lille , 1-0 , Sochaux
131 , Lille , 2-0 , Toulouse
132 , Lille , 1-1 , Valenciennes
133 , Lorient , 2-0 , Arles-Avignon
134 , Lorient , 1-2 , Auxerre
135 , Lorient , 5-1 , Bordeaux
136 , Lorient , 2-0 , Brest
137 , Lorient , 0-1 , Caen
138 , Lorient , 3-0 , Lens
139 , Lorient , 1-1 , Lille
140 , Lorient , 2-0 , Lyon
141 , Lorient , 2-2 , Marseille
142 , Lorient , 2-1 , Monaco
143 , Lorient , 0-0 , Montpellier
144 , Lorient , 0-0 , Nancy
145 , Lorient , 1-2 , Nice
146 , Lorient , 1-1 , Paris Saint-Germain
147 , Lorient , 2-0 , Rennes
148 , Lorient , 0-0 , Saint-Étienne
149 , Lorient , 1-1 , Sochaux
150 , Lorient , 0-0 , Toulouse
151 , Lorient , 2-1 , Valenciennes
152 , Lyon , 5-0 , Arles-Avignon
153 , Lyon , 1-1 , Auxerre
154 , Lyon , 0-0 , Bordeaux
155 , Lyon , 1-0 , Brest
156 , Lyon , 0-0 , Caen
157 , Lyon , 3-0 , Lens
158 , Lyon , 3-1 , Lille
159 , Lyon , 3-0 , Lorient
160 , Lyon , 3-2 , Marseille
161 , Lyon , 0-0 , Monaco
162 , Lyon , 3-2 , Montpellier
163 , Lyon , 4-0 , Nancy
164 , Lyon , 1-0 , Nice
165 , Lyon , 2-2 , Paris Saint-Germain
166 , Lyon , 1-1 , Rennes
167 , Lyon , 0-1 , Saint-Étienne
168 , Lyon , 2-1 , Sochaux
169 , Lyon , 2-0 , Toulouse
170 , Lyon , 1-1 , Valenciennes
171 , Marseille , 1-0 , Arles-Avignon
