0 , Bari , 0-2 , Bologna
1 , Bari , 2-1 , Brescia
2 , Bari , 0-0 , Cagliari
3 , Bari , 1-1 , Catania
4 , Bari , 1-1 , Cesena
5 , Bari , 1-2 , Chievo
6 , Bari , 1-1 , Fiorentina
7 , Bari , 0-0 , Genoa
8 , Bari , 0-3 , Internazionale
9 , Bari , 1-0 , Juventus
10 , Bari , 0-2 , Lazio
11 , Bari , 0-2 , Lecce
12 , Bari , 2-3 , Milan
13 , Bari , 0-2 , Napoli
14 , Bari , 1-1 , Palermo
15 , Bari , 0-1 , Parma
16 , Bari , 2-3 , Roma
17 , Bari , 0-1 , Sampdoria
18 , Bari , 0-2 , Udinese
19 , Bologna , 0-4 , Bari
20 , Bologna , 1-0 , Brescia
21 , Bologna , 2-2 , Cagliari
22 , Bologna , 1-0 , Catania
23 , Bologna , 0-2 , Cesena
24 , Bologna , 2-1 , Chievo
25 , Bologna , 1-1 , Fiorentina
26 , Bologna , 1-1 , Genoa
27 , Bologna , 0-0 , Internazionale
28 , Bologna , 0-0 , Juventus
29 , Bologna , 3-1 , Lazio
30 , Bologna , 2-0 , Lecce
31 , Bologna , 0-3 , Milan
32 , Bologna , 0-2 , Napoli
33 , Bologna , 1-0 , Palermo
34 , Bologna , 0-0 , Parma
35 , Bologna , 0-1 , Roma
36 , Bologna , 1-1 , Sampdoria
37 , Bologna , 2-1 , Udinese
38 , Brescia , 2-0 , Bari
39 , Brescia , 3-1 , Bologna
40 , Brescia , 1-2 , Cagliari
41 , Brescia , 1-2 , Catania
42 , Brescia , 1-2 , Cesena
43 , Brescia , 0-3 , Chievo
44 , Brescia , 2-2 , Fiorentina
45 , Brescia , 0-0 , Genoa
46 , Brescia , 1-1 , Internazionale
47 , Brescia , 1-1 , Juventus
48 , Brescia , 0-2 , Lazio
49 , Brescia , 2-2 , Lecce
50 , Brescia , 0-1 , Milan
51 , Brescia , 0-1 , Napoli
52 , Brescia , 3-2 , Palermo
53 , Brescia , 2-0 , Parma
54 , Brescia , 2-1 , Roma
55 , Brescia , 1-0 , Sampdoria
56 , Brescia , 0-1 , Udinese
57 , Cagliari , 2-1 , Bari
58 , Cagliari , 2-0 , Bologna
59 , Cagliari , 1-1 , Brescia
60 , Cagliari , 3-0 , Catania
61 , Cagliari , 0-2 , Cesena
62 , Cagliari , 4-1 , Chievo
63 , Cagliari , 1-2 , Fiorentina
64 , Cagliari , 0-1 , Genoa
65 , Cagliari , 0-1 , Internazionale
66 , Cagliari , 1-3 , Juventus
67 , Cagliari , 1-0 , Lazio
68 , Cagliari , 3-2 , Lecce
69 , Cagliari , 0-1 , Milan
70 , Cagliari , 0-1 , Napoli
71 , Cagliari , 3-1 , Palermo
72 , Cagliari , 1-1 , Parma
73 , Cagliari , 5-1 , Roma
74 , Cagliari , 0-0 , Sampdoria
75 , Cagliari , 0-4 , Udinese
76 , Catania , 1-0 , Bari
77 , Catania , 1-1 , Bologna
78 , Catania , 1-0 , Brescia
79 , Catania , 2-0 , Cagliari
80 , Catania , 2-0 , Cesena
81 , Catania , 1-1 , Chievo
82 , Catania , 0-0 , Fiorentina
83 , Catania , 2-1 , Genoa
84 , Catania , 1-2 , Internazionale
85 , Catania , 1-3 , Juventus
86 , Catania , 1-4 , Lazio
87 , Catania , 3-2 , Lecce
88 , Catania , 0-2 , Milan
89 , Catania , 1-1 , Napoli
90 , Catania , 4-0 , Palermo
91 , Catania , 2-1 , Parma
92 , Catania , 2-1 , Roma
93 , Catania , 1-0 , Sampdoria
94 , Catania , 1-0 , Udinese
95 , Cesena , 1-0 , Bari
96 , Cesena , 0-2 , Bologna
97 , Cesena , 1-0 , Brescia
98 , Cesena , 1-0 , Cagliari
99 , Cesena , 1-1 , Catania
100 , Cesena , 1-0 , Chievo
101 , Cesena , 2-2 , Fiorentina
102 , Cesena , 0-0 , Genoa
103 , Cesena , 1-2 , Internazionale
104 , Cesena , 2-2 , Juventus
105 , Cesena , 1-0 , Lazio
106 , Cesena , 1-0 , Lecce
107 , Cesena , 2-0 , Milan
108 , Cesena , 1-4 , Napoli
109 , Cesena , 1-2 , Palermo
110 , Cesena , 1-1 , Parma
111 , Cesena , 0-1 , Roma
112 , Cesena , 0-1 , Sampdoria
113 , Cesena , 0-3 , Udinese
114 , Chievo , 0-0 , Bari
115 , Chievo , 2-0 , Bologna
116 , Chievo , 0-1 , Brescia
117 , Chievo , 0-0 , Cagliari
118 , Chievo , 2-1 , Catania
