0 , Athletic Bilbao , 3-0 , Atlético Madrid
1 , Athletic Bilbao , 2-2 , Barcelona
2 , Athletic Bilbao , 3-5 , Betis
3 , Athletic Bilbao , 1-0 , Celta de Vigo
4 , Athletic Bilbao , 1-1 , Deportivo La Coruña
5 , Athletic Bilbao , 0-4 , Espanyol
6 , Athletic Bilbao , 1-2 , Getafe
7 , Athletic Bilbao , 1-0 , Granada
8 , Athletic Bilbao , 0-1 , Levante
9 , Athletic Bilbao , 0-0 , Málaga
10 , Athletic Bilbao , 2-1 , Mallorca
11 , Athletic Bilbao , 1-0 , Osasuna
12 , Athletic Bilbao , 1-2 , Rayo Vallecano
13 , Athletic Bilbao , 0-3 , Real Madrid
14 , Athletic Bilbao , 1-3 , Real Sociedad
15 , Athletic Bilbao , 2-1 , Sevilla
16 , Athletic Bilbao , 1-0 , Valencia
17 , Athletic Bilbao , 2-0 , Valladolid
18 , Athletic Bilbao , 0-2 , Zaragoza
19 , Atlético Madrid , 4-0 , Athletic Bilbao
20 , Atlético Madrid , 1-2 , Barcelona
21 , Atlético Madrid , 1-0 , Betis
22 , Atlético Madrid , 1-0 , Celta de Vigo
23 , Atlético Madrid , 6-0 , Deportivo La Coruña
24 , Atlético Madrid , 1-0 , Espanyol
25 , Atlético Madrid , 2-0 , Getafe
26 , Atlético Madrid , 5-0 , Granada
27 , Atlético Madrid , 2-0 , Levante
28 , Atlético Madrid , 2-1 , Málaga
29 , Atlético Madrid , 0-0 , Mallorca
30 , Atlético Madrid , 3-1 , Osasuna
31 , Atlético Madrid , 4-3 , Rayo Vallecano
32 , Atlético Madrid , 1-2 , Real Madrid
33 , Atlético Madrid , 0-1 , Real Sociedad
34 , Atlético Madrid , 4-0 , Sevilla
35 , Atlético Madrid , 1-1 , Valencia
36 , Atlético Madrid , 2-1 , Valladolid
37 , Atlético Madrid , 2-0 , Zaragoza
38 , Barcelona , 5-1 , Athletic Bilbao
39 , Barcelona , 4-1 , Atlético Madrid
40 , Barcelona , 4-2 , Betis
41 , Barcelona , 3-1 , Celta de Vigo
42 , Barcelona , 2-0 , Deportivo La Coruña
43 , Barcelona , 4-0 , Espanyol
44 , Barcelona , 6-1 , Getafe
