0 , Ajaccio , 0-0 , Bastia
1 , Ajaccio , 1-0 , Bordeaux
2 , Ajaccio , 1-0 , Brest
3 , Ajaccio , 2-0 , Evian
4 , Ajaccio , 1-3 , Lille
5 , Ajaccio , 1-0 , Lorient
6 , Ajaccio , 3-1 , Lyon
7 , Ajaccio , 0-2 , Marseille
8 , Ajaccio , 2-1 , Montpellier
9 , Ajaccio , 1-1 , Nancy
10 , Ajaccio , 0-2 , Nice
11 , Ajaccio , 0-0 , Paris Saint-Germain
12 , Ajaccio , 2-0 , Reims
13 , Ajaccio , 2-4 , Rennes
14 , Ajaccio , 0-0 , Saint-Étienne
15 , Ajaccio , 0-1 , Sochaux
16 , Ajaccio , 2-3 , Toulouse
17 , Ajaccio , 0-1 , Troyes
18 , Ajaccio , 1-1 , Valenciennes
19 , Bastia , 1-0 , Ajaccio
20 , Bastia , 3-1 , Bordeaux
21 , Bastia , 4-0 , Brest
22 , Bastia , 0-0 , Evian
23 , Bastia , 1-2 , Lille
24 , Bastia , 2-1 , Lorient
25 , Bastia , 4-1 , Lyon
26 , Bastia , 1-2 , Marseille
27 , Bastia , 3-1 , Montpellier
28 , Bastia , 4-2 , Nancy
29 , Bastia , 0-1 , Nice
30 , Bastia , 0-4 , Paris Saint-Germain
31 , Bastia , 2-1 , Reims
32 , Bastia , 0-2 , Rennes
33 , Bastia , 0-3 , Saint-Étienne
34 , Bastia , 0-0 , Sochaux
35 , Bastia , 0-0 , Toulouse
36 , Bastia , 3-2 , Troyes
37 , Bastia , 2-3 , Valenciennes
38 , Bordeaux , 2-2 , Ajaccio
39 , Bordeaux , 1-0 , Bastia
40 , Bordeaux , 0-2 , Brest
41 , Bordeaux , 2-1 , Evian
42 , Bordeaux , 1-1 , Lille
43 , Bordeaux , 1-1 , Lorient
44 , Bordeaux , 0-4 , Lyon
45 , Bordeaux , 1-0 , Marseille
46 , Bordeaux , 4-2 , Montpellier
47 , Bordeaux , 3-2 , Nancy
48 , Bordeaux , 1-1 , Nice
49 , Bordeaux , 0-1 , Paris Saint-Germain
50 , Bordeaux , 0-0 , Reims
51 , Bordeaux , 1-0 , Rennes
52 , Bordeaux , 0-0 , Saint-Étienne
53 , Bordeaux , 2-2 , Sochaux
54 , Bordeaux , 1-0 , Toulouse
55 , Bordeaux , 0-0 , Troyes
56 , Bordeaux , 2-0 , Valenciennes
57 , Brest , 1-1 , Ajaccio
58 , Brest , 3-0 , Bastia
59 , Brest , 1-1 , Bordeaux
60 , Brest , 1-0 , Evian
61 , Brest , 1-2 , Lille
62 , Brest , 2-0 , Lorient
63 , Brest , 1-1 , Lyon
64 , Brest , 1-2 , Marseille
65 , Brest , 1-2 , Montpellier
66 , Brest , 1-2 , Nancy
67 , Brest , 0-2 , Nice
68 , Brest , 0-3 , Paris Saint-Germain
69 , Brest , 0-2 , Reims
70 , Brest , 0-2 , Rennes
71 , Brest , 0-1 , Saint-Étienne
72 , Brest , 0-2 , Sochaux
73 , Brest , 0-1 , Toulouse
74 , Brest , 2-1 , Troyes
75 , Brest , 2-1 , Valenciennes
76 , Evian , 1-1 , Ajaccio
77 , Evian , 3-0 , Bastia
78 , Evian , 2-3 , Bordeaux
79 , Evian , 0-2 , Brest
80 , Evian , 0-2 , Lille
81 , Evian , 1-1 , Lorient
82 , Evian , 1-1 , Lyon
83 , Evian , 1-1 , Marseille
84 , Evian , 0-1 , Montpellier
85 , Evian , 1-1 , Nancy
86 , Evian , 4-0 , Nice
87 , Evian , 0-1 , Paris Saint-Germain
88 , Evian , 2-2 , Reims
89 , Evian , 4-2 , Rennes
90 , Evian , 2-2 , Saint-Étienne
91 , Evian , 5-1 , Sochaux
92 , Evian , 0-4 , Toulouse
93 , Evian , 2-0 , Troyes
94 , Evian , 2-0 , Valenciennes
95 , Lille , 2-0 , Ajaccio
96 , Lille , 0-0 , Bastia
97 , Lille , 2-1 , Bordeaux
98 , Lille , 1-0 , Brest
99 , Lille , 1-2 , Evian
100 , Lille , 5-0 , Lorient
101 , Lille , 1-1 , Lyon
102 , Lille , 0-0 , Marseille
103 , Lille , 4-1 , Montpellier
104 , Lille , 1-1 , Nancy
105 , Lille , 0-2 , Nice
106 , Lille , 1-2 , Paris Saint-Germain
107 , Lille , 3-0 , Reims
108 , Lille , 2-0 , Rennes
109 , Lille , 1-1 , Saint-Étienne
110 , Lille , 3-3 , Sochaux
111 , Lille , 2-0 , Toulouse
112 , Lille , 1-1 , Troyes
113 , Lille , 2-1 , Valenciennes
114 , Lorient , 4-4 , Ajaccio
115 , Lorient , 4-1 , Bastia
116 , Lorient , 0-4 , Bordeaux
117 , Lorient , 4-0 , Brest
118 , Lorient , 2-1 , Evian
119 , Lorient , 2-0 , Lille
120 , Lorient , 1-1 , Lyon
121 , Lorient , 0-1 , Marseille
122 , Lorient , 2-1 , Montpellier
123 , Lorient , 3-0 , Nancy
124 , Lorient , 1-1 , Nice
125 , Lorient , 1-3 , Paris Saint-Germain
126 , Lorient , 2-2 , Reims
127 , Lorient , 2-2 , Rennes
128 , Lorient , 3-1 , Saint-Étienne
129 , Lorient , 2-0 , Sochaux
130 , Lorient , 1-0 , Toulouse
131 , Lorient , 3-2 , Troyes
132 , Lorient , 1-1 , Valenciennes
133 , Lyon , 2-0 , Ajaccio
134 , Lyon , 5-2 , Bastia
135 , Lyon , 0-2 , Bordeaux
136 , Lyon , 1-0 , Brest
137 , Lyon , 0-0 , Evian
138 , Lyon , 1-3 , Lille
139 , Lyon , 3-1 , Lorient
140 , Lyon , 0-0 , Marseille
141 , Lyon , 1-0 , Montpellier
142 , Lyon , 1-1 , Nancy
143 , Lyon , 3-0 , Nice
144 , Lyon , 0-1 , Paris Saint-Germain
145 , Lyon , 3-0 , Reims
146 , Lyon , 2-0 , Rennes
147 , Lyon , 1-1 , Saint-Étienne
148 , Lyon , 1-2 , Sochaux
149 , Lyon , 3-1 , Toulouse
150 , Lyon , 4-1 , Troyes
151 , Lyon , 3-2 , Valenciennes
152 , Marseille , 0-0 , Ajaccio
153 , Marseille , 2-1 , Bastia
154 , Marseille , 1-0 , Bordeaux
155 , Marseille , 1-0 , Brest
156 , Marseille , 1-0 , Evian
157 , Marseille , 1-0 , Lille
158 , Marseille , 0-3 , Lorient
159 , Marseille , 1-4 , Lyon
160 , Marseille , 3-2 , Montpellier
161 , Marseille , 0-1 , Nancy
162 , Marseille , 2-2 , Nice
163 , Marseille , 2-2 , Paris Saint-Germain
164 , Marseille , 0-0 , Reims
165 , Marseille , 3-1 , Rennes
166 , Marseille , 1-0 , Saint-Étienne
167 , Marseille , 2-0 , Sochaux
168 , Marseille , 2-1 , Toulouse
169 , Marseille , 2-1 , Troyes
170 , Marseille , 1-0 , Valenciennes
171 , Montpellier , 3-0 , Ajaccio
172 , Montpellier , 4-0 , Bastia
173 , Montpellier , 1-0 , Bordeaux
174 , Montpellier , 2-1 , Brest
175 , Montpellier , 2-3 , Evian
176 , Montpellier , 0-0 , Lille
177 , Montpellier , 2-0 , Lorient
178 , Montpellier , 1-2 , Lyon
179 , Montpellier , 0-1 , Marseille
180 , Montpellier , 1-0 , Nancy
181 , Montpellier , 3-1 , Nice
182 , Montpellier , 1-1 , Paris Saint-Germain
183 , Montpellier , 3-1 , Reims
184 , Montpellier , 2-0 , Rennes
185 , Montpellier , 1-1 , Saint-Étienne
186 , Montpellier , 2-0 , Sochaux
187 , Montpellier , 1-1 , Toulouse
188 , Montpellier , 1-1 , Troyes
189 , Montpellier , 3-1 , Valenciennes
190 , Nancy , 1-1 , Ajaccio
191 , Nancy , 1-2 , Bastia
192 , Nancy , 1-1 , Bordeaux
193 , Nancy , 1-0 , Brest
194 , Nancy , 3-1 , Evian
195 , Nancy , 2-2 , Lille
196 , Nancy , 2-1 , Lorient
197 , Nancy , 0-3 , Lyon
198 , Nancy , 0-1 , Marseille
199 , Nancy , 0-2 , Montpellier
200 , Nancy , 1-0 , Nice
201 , Nancy , 0-1 , Paris Saint-Germain
202 , Nancy , 1-2 , Reims
203 , Nancy , 1-3 , Rennes
204 , Nancy , 0-3 , Saint-Étienne
205 , Nancy , 1-1 , Sochaux
206 , Nancy , 0-1 , Toulouse
207 , Nancy , 1-0 , Troyes
208 , Nancy , 1-1 , Valenciennes
209 , Nice , 0-1 , Ajaccio
210 , Nice , 2-2 , Bastia
211 , Nice , 0-1 , Bordeaux
212 , Nice , 4-2 , Brest
213 , Nice , 3-2 , Evian
214 , Nice , 2-2 , Lille
215 , Nice , 1-1 , Lorient
216 , Nice , 1-1 , Lyon
217 , Nice , 0-1 , Marseille
218 , Nice , 2-0 , Montpellier
219 , Nice , 2-1 , Nancy
220 , Nice , 2-1 , Paris Saint-Germain
221 , Nice , 2-0 , Reims
222 , Nice , 1-0 , Rennes
223 , Nice , 1-1 , Saint-Étienne
224 , Nice , 3-0 , Sochaux
225 , Nice , 1-0 , Toulouse
226 , Nice , 3-1 , Troyes
227 , Nice , 5-0 , Valenciennes
228 , Paris Saint-Germain , 0-0 , Ajaccio
229 , Paris Saint-Germain , 3-1 , Bastia
230 , Paris Saint-Germain , 0-0 , Bordeaux
231 , Paris Saint-Germain , 3-1 , Brest
232 , Paris Saint-Germain , 4-0 , Evian
233 , Paris Saint-Germain , 1-0 , Lille
234 , Paris Saint-Germain , 2-2 , Lorient
235 , Paris Saint-Germain , 1-0 , Lyon
236 , Paris Saint-Germain , 2-0 , Marseille
237 , Paris Saint-Germain , 1-0 , Montpellier
238 , Paris Saint-Germain , 2-1 , Nancy
239 , Paris Saint-Germain , 3-0 , Nice
240 , Paris Saint-Germain , 1-0 , Reims
241 , Paris Saint-Germain , 1-2 , Rennes
242 , Paris Saint-Germain , 1-2 , Saint-Étienne
243 , Paris Saint-Germain , 2-0 , Sochaux
244 , Paris Saint-Germain , 2-0 , Toulouse
245 , Paris Saint-Germain , 4-0 , Troyes
246 , Paris Saint-Germain , 1-1 , Valenciennes
247 , Reims , 1-1 , Ajaccio
248 , Reims , 1-2 , Bastia
249 , Reims , 0-0 , Bordeaux
250 , Reims , 0-0 , Brest
251 , Reims , 1-2 , Evian
252 , Reims , 1-1 , Lille
253 , Reims , 1-0 , Lorient
254 , Reims , 1-0 , Lyon
255 , Reims , 0-1 , Marseille
256 , Reims , 3-1 , Montpellier
257 , Reims , 2-0 , Nancy
258 , Reims , 3-1 , Nice
259 , Reims , 1-0 , Paris Saint-Germain
260 , Reims , 1-0 , Rennes
261 , Reims , 1-1 , Saint-Étienne
262 , Reims , 1-0 , Sochaux
263 , Reims , 1-1 , Toulouse
264 , Reims , 1-1 , Troyes
265 , Reims , 0-1 , Valenciennes
266 , Rennes , 1-1 , Ajaccio
267 , Rennes , 3-2 , Bastia
268 , Rennes , 0-2 , Bordeaux
269 , Rennes , 2-2 , Brest
270 , Rennes , 0-1 , Evian
271 , Rennes , 2-0 , Lille
272 , Rennes , 1-2 , Lorient
273 , Rennes , 0-1 , Lyon
274 , Rennes , 2-2 , Marseille
275 , Rennes , 2-1 , Montpellier
276 , Rennes , 0-2 , Nancy
277 , Rennes , 0-3 , Nice
278 , Rennes , 0-2 , Paris Saint-Germain
279 , Rennes , 1-0 , Reims
280 , Rennes , 2-2 , Saint-Étienne
281 , Rennes , 2-2 , Sochaux
282 , Rennes , 2-0 , Toulouse
283 , Rennes , 1-2 , Troyes
284 , Rennes , 2-0 , Valenciennes
285 , Saint-Étienne , 4-2 , Ajaccio
