0 , Bastia , 0-0 , Bordeaux
1 , Bastia , 1-1 , Caen
2 , Bastia , 1-2 , Evian
3 , Bastia , 0-0 , Guingamp
4 , Bastia , 1-1 , Lens
5 , Bastia , 2-1 , Lille
6 , Bastia , 0-2 , Lorient
7 , Bastia , 0-0 , Lyon
8 , Bastia , 3-3 , Marseille
9 , Bastia , 2-0 , Metz
10 , Bastia , 1-3 , Monaco
11 , Bastia , 2-0 , Montpellier
12 , Bastia , 0-0 , Nantes
13 , Bastia , 2-1 , Nice
14 , Bastia , 4-2 , Paris Saint-Germain
15 , Bastia , 1-2 , Reims
16 , Bastia , 2-0 , Rennes
17 , Bastia , 1-0 , Saint-Étienne
18 , Bastia , 1-0 , Toulouse
19 , Bordeaux , 1-1 , Bastia
20 , Bordeaux , 1-1 , Caen
21 , Bordeaux , 2-1 , Evian
22 , Bordeaux , 1-1 , Guingamp
23 , Bordeaux , 2-1 , Lens
24 , Bordeaux , 1-0 , Lille
25 , Bordeaux , 3-2 , Lorient
26 , Bordeaux , 0-5 , Lyon
27 , Bordeaux , 1-0 , Marseille
28 , Bordeaux , 1-1 , Metz
29 , Bordeaux , 4-1 , Monaco
30 , Bordeaux , 2-1 , Montpellier
31 , Bordeaux , 2-1 , Nantes
32 , Bordeaux , 1-2 , Nice
33 , Bordeaux , 3-2 , Paris Saint-Germain
34 , Bordeaux , 1-1 , Reims
35 , Bordeaux , 2-1 , Rennes
36 , Bordeaux , 1-0 , Saint-Étienne
37 , Bordeaux , 2-1 , Toulouse
38 , Caen , 1-1 , Bastia
39 , Caen , 1-2 , Bordeaux
40 , Caen , 3-2 , Evian
41 , Caen , 0-2 , Guingamp
42 , Caen , 4-1 , Lens
43 , Caen , 0-1 , Lille
44 , Caen , 2-1 , Lorient
45 , Caen , 3-0 , Lyon
46 , Caen , 1-2 , Marseille
47 , Caen , 0-0 , Metz
48 , Caen , 0-3 , Monaco
49 , Caen , 1-1 , Montpellier
50 , Caen , 1-2 , Nantes
51 , Caen , 2-3 , Nice
52 , Caen , 0-2 , Paris Saint-Germain
53 , Caen , 4-1 , Reims
54 , Caen , 0-1 , Rennes
55 , Caen , 1-0 , Saint-Étienne
56 , Caen , 2-0 , Toulouse
57 , Evian , 1-2 , Bastia
58 , Evian , 0-1 , Bordeaux
59 , Evian , 0-3 , Caen
60 , Evian , 2-0 , Guingamp
61 , Evian , 2-1 , Lens
62 , Evian , 0-1 , Lille
63 , Evian , 1-0 , Lorient
64 , Evian , 2-3 , Lyon
65 , Evian , 1-3 , Marseille
66 , Evian , 3-0 , Metz
67 , Evian , 1-3 , Monaco
68 , Evian , 1-0 , Montpellier
69 , Evian , 0-2 , Nantes
70 , Evian , 1-0 , Nice
71 , Evian , 0-0 , Paris Saint-Germain
72 , Evian , 2-3 , Reims
73 , Evian , 1-1 , Rennes
74 , Evian , 1-2 , Saint-Étienne
75 , Evian , 1-0 , Toulouse
76 , Guingamp , 1-0 , Bastia
77 , Guingamp , 2-1 , Bordeaux
78 , Guingamp , 5-1 , Caen
