0 , Atalanta , 2-1 , Cagliari
1 , Atalanta , 3-2 , Cesena
2 , Atalanta , 1-1 , Chievo
3 , Atalanta , 2-2 , Empoli
4 , Atalanta , 0-1 , Fiorentina
5 , Atalanta , 1-4 , Genoa
6 , Atalanta , 0-0 , Hellas Verona
7 , Atalanta , 1-4 , Internazionale
8 , Atalanta , 0-3 , Juventus
9 , Atalanta , 1-1 , Lazio
10 , Atalanta , 1-3 , Milan
11 , Atalanta , 1-1 , Napoli
12 , Atalanta , 3-3 , Palermo
13 , Atalanta , 1-0 , Parma
14 , Atalanta , 1-2 , Roma
15 , Atalanta , 1-2 , Sampdoria
16 , Atalanta , 2-1 , Sassuolo
17 , Atalanta , 1-2 , Torino
18 , Atalanta , 0-0 , Udinese
19 , Cagliari , 1-2 , Atalanta
20 , Cagliari , 2-1 , Cesena
21 , Cagliari , 0-2 , Chievo
22 , Cagliari , 1-1 , Empoli
23 , Cagliari , 0-4 , Fiorentina
24 , Cagliari , 1-1 , Genoa
25 , Cagliari , 1-2 , Hellas Verona
26 , Cagliari , 1-2 , Internazionale
27 , Cagliari , 1-3 , Juventus
28 , Cagliari , 1-3 , Lazio
29 , Cagliari , 1-1 , Milan
30 , Cagliari , 0-3 , Napoli
31 , Cagliari , 0-1 , Palermo
32 , Cagliari , 4-0 , Parma
33 , Cagliari , 1-2 , Roma
34 , Cagliari , 2-2 , Sampdoria
35 , Cagliari , 2-1 , Sassuolo
36 , Cagliari , 1-2 , Torino
37 , Cagliari , 4-3 , Udinese
38 , Cesena , 2-2 , Atalanta
39 , Cesena , 0-1 , Cagliari
40 , Cesena , 0-1 , Chievo
41 , Cesena , 2-2 , Empoli
42 , Cesena , 1-4 , Fiorentina
43 , Cesena , 0-3 , Genoa
44 , Cesena , 1-1 , Hellas Verona
45 , Cesena , 0-1 , Internazionale
46 , Cesena , 2-2 , Juventus
47 , Cesena , 2-1 , Lazio
48 , Cesena , 1-1 , Milan
49 , Cesena , 1-4 , Napoli
50 , Cesena , 0-0 , Palermo
51 , Cesena , 1-0 , Parma
52 , Cesena , 0-1 , Roma
53 , Cesena , 1-1 , Sampdoria
54 , Cesena , 2-3 , Sassuolo
55 , Cesena , 2-3 , Torino
56 , Cesena , 1-0 , Udinese
57 , Chievo , 1-1 , Atalanta
58 , Chievo , 1-0 , Cagliari
59 , Chievo , 2-1 , Cesena
