0 , Alessandria , 1-3 , Ambrosiana-Inter
1 , Alessandria , 2-0 , Bologna
2 , Alessandria , 1-0 , Brescia
3 , Alessandria , 2-0 , Fiorentina
4 , Alessandria , 0-0 , Juventus
5 , Alessandria , 1-2 , Lazio
6 , Alessandria , 4-1 , Livorno
7 , Alessandria , 2-1 , Milan
8 , Alessandria , 4-2 , Napoli
9 , Alessandria , 4-2 , Palermo
10 , Alessandria , 2-1 , Pro Vercelli
11 , Alessandria , 1-6 , Roma
12 , Alessandria , 2-2 , Sampierdarenese
13 , Alessandria , 3-0 , Torino
14 , Alessandria , 3-0 , Triestina
15 , Ambrosiana-Inter , 0-0 , Alessandria
16 , Ambrosiana-Inter , 1-0 , Bologna
17 , Ambrosiana-Inter , 5-1 , Brescia
18 , Ambrosiana-Inter , 1-1 , Fiorentina
19 , Ambrosiana-Inter , 0-0 , Juventus
20 , Ambrosiana-Inter , 1-0 , Lazio
21 , Ambrosiana-Inter , 5-1 , Livorno
22 , Ambrosiana-Inter , 2-0 , Milan
23 , Ambrosiana-Inter , 2-1 , Napoli
24 , Ambrosiana-Inter , 3-0 , Palermo
25 , Ambrosiana-Inter , 1-0 , Pro Vercelli
26 , Ambrosiana-Inter , 0-1 , Roma
27 , Ambrosiana-Inter , 6-1 , Sampierdarenese
28 , Ambrosiana-Inter , 4-0 , Torino
29 , Ambrosiana-Inter , 7-0 , Triestina
30 , Bologna , 3-3 , Alessandria
31 , Bologna , 0-0 , Ambrosiana-Inter
32 , Bologna , 3-0 , Brescia
33 , Bologna , 2-1 , Fiorentina
34 , Bologna , 2-0 , Juventus
35 , Bologna , 1-2 , Lazio
36 , Bologna , 4-0 , Livorno
37 , Bologna , 6-3 , Milan
38 , Bologna , 3-0 , Napoli
39 , Bologna , 0-0 , Palermo
40 , Bologna , 5-0 , Pro Vercelli
41 , Bologna , 1-1 , Roma
42 , Bologna , 0-1 , Sampierdarenese
43 , Bologna , 3-1 , Torino
44 , Bologna , 1-3 , Triestina
45 , Brescia , 1-0 , Alessandria
46 , Brescia , 1-1 , Ambrosiana-Inter
