0 , Atalanta , 2-1 , Bari
1 , Atalanta , 1-1 , Bologna
2 , Atalanta , 0-2 , Como
3 , Atalanta , 3-2 , Fiorentina
4 , Atalanta , 4-0 , Genoa
5 , Atalanta , 2-1 , Internazionale
6 , Atalanta , 2-2 , Juventus
7 , Atalanta , 1-0 , Lazio
8 , Atalanta , 1-1 , Lucchese
9 , Atalanta , 5-2 , Milan
10 , Atalanta , 0-2 , Novara
11 , Atalanta , 4-0 , Padova
12 , Atalanta , 3-0 , Palermo
13 , Atalanta , 2-1 , Pro Patria
14 , Atalanta , 3-2 , Roma
15 , Atalanta , 3-1 , Sampdoria
16 , Atalanta , 0-0 , Torino
17 , Atalanta , 0-1 , Triestina
18 , Atalanta , 3-1 , Venezia
19 , Bari , 1-0 , Atalanta
20 , Bari , 3-2 , Bologna
21 , Bari , 1-0 , Como
22 , Bari , 1-0 , Fiorentina
23 , Bari , 2-0 , Genoa
24 , Bari , 2-3 , Internazionale
25 , Bari , 0-0 , Juventus
26 , Bari , 2-1 , Lazio
27 , Bari , 2-1 , Lucchese
28 , Bari , 2-0 , Milan
29 , Bari , 0-0 , Novara
30 , Bari , 1-0 , Padova
31 , Bari , 1-2 , Palermo
32 , Bari , 1-1 , Pro Patria
33 , Bari , 1-1 , Roma
34 , Bari , 3-1 , Sampdoria
35 , Bari , 1-5 , Torino
36 , Bari , 1-1 , Triestina
37 , Bari , 4-0 , Venezia
38 , Bologna , 2-6 , Atalanta
39 , Bologna , 2-0 , Bari
40 , Bologna , 2-2 , Como
41 , Bologna , 2-1 , Fiorentina
42 , Bologna , 0-0 , Genoa
43 , Bologna , 2-3 , Internazionale
44 , Bologna , 0-4 , Juventus
45 , Bologna , 0-0 , Lazio
46 , Bologna , 1-1 , Lucchese
47 , Bologna , 0-1 , Milan
48 , Bologna , 1-1 , Novara
49 , Bologna , 0-0 , Padova
50 , Bologna , 1-1 , Palermo
51 , Bologna , 3-1 , Pro Patria
52 , Bologna , 2-1 , Roma
53 , Bologna , 1-0 , Sampdoria
54 , Bologna , 5-2 , Torino
55 , Bologna , 1-1 , Triestina
56 , Bologna , 6-1 , Venezia
57 , Como , 4-0 , Atalanta
58 , Como , 4-1 , Bari
59 , Como , 2-2 , Bologna
60 , Como , 4-1 , Fiorentina
61 , Como , 0-0 , Genoa
62 , Como , 1-5 , Internazionale
63 , Como , 2-6 , Juventus
64 , Como , 1-0 , Lazio
65 , Como , 4-0 , Lucchese
66 , Como , 1-4 , Milan
67 , Como , 2-2 , Novara
68 , Como , 1-2 , Padova
69 , Como , 1-0 , Palermo
70 , Como , 1-0 , Pro Patria
71 , Como , 0-0 , Roma
72 , Como , 3-1 , Sampdoria
73 , Como , 1-3 , Torino
74 , Como , 3-1 , Triestina
75 , Como , 0-0 , Venezia
76 , Fiorentina , 2-1 , Atalanta
77 , Fiorentina , 3-0 , Bari
78 , Fiorentina , 3-0 , Bologna
79 , Fiorentina , 0-1 , Como
80 , Fiorentina , 3-1 , Genoa
81 , Fiorentina , 4-2 , Internazionale
82 , Fiorentina , 0-0 , Juventus
83 , Fiorentina , 2-2 , Lazio
84 , Fiorentina , 2-0 , Lucchese
85 , Fiorentina , 1-3 , Milan
86 , Fiorentina , 5-0 , Novara
87 , Fiorentina , 3-0 , Padova
88 , Fiorentina , 0-0 , Palermo
89 , Fiorentina , 4-1 , Pro Patria
90 , Fiorentina , 4-1 , Roma
91 , Fiorentina , 4-1 , Sampdoria
92 , Fiorentina , 4-1 , Torino
93 , Fiorentina , 2-1 , Triestina
94 , Fiorentina , 5-0 , Venezia
95 , Genoa , 1-0 , Atalanta
96 , Genoa , 1-0 , Bari
97 , Genoa , 2-2 , Bologna
98 , Genoa , 3-1 , Como
99 , Genoa , 2-0 , Fiorentina
100 , Genoa , 1-1 , Internazionale
101 , Genoa , 1-2 , Juventus
102 , Genoa , 2-1 , Lazio
103 , Genoa , 1-1 , Lucchese
104 , Genoa , 1-0 , Milan
105 , Genoa , 2-0 , Novara
106 , Genoa , 0-1 , Padova
107 , Genoa , 1-0 , Palermo
108 , Genoa , 2-1 , Pro Patria
109 , Genoa , 2-1 , Roma
110 , Genoa , 0-1 , Sampdoria
111 , Genoa , 3-2 , Torino
112 , Genoa , 6-2 , Triestina
113 , Genoa , 1-0 , Venezia
