0 , Alessandria , 2-1 , Bari
1 , Alessandria , 1-0 , Bologna
2 , Alessandria , 1-4 , Fiorentina
3 , Alessandria , 0-0 , Genoa
4 , Alessandria , 1-1 , Internazionale
5 , Alessandria , 2-2 , Juventus
6 , Alessandria , 1-0 , L.R. Vicenza
7 , Alessandria , 0-2 , Lazio
8 , Alessandria , 1-2 , Milan
9 , Alessandria , 2-1 , Napoli
10 , Alessandria , 1-3 , Padova
11 , Alessandria , 1-1 , Roma
12 , Alessandria , 1-1 , Sampdoria
13 , Alessandria , 2-0 , SPAL
14 , Alessandria , 0-0 , Torino
15 , Alessandria , 4-3 , Triestina
16 , Alessandria , 1-1 , Udinese
17 , Bari , 1-0 , Alessandria
18 , Bari , 0-0 , Bologna
19 , Bari , 1-2 , Fiorentina
20 , Bari , 1-2 , Genoa
21 , Bari , 1-2 , Internazionale
22 , Bari , 1-1 , Juventus
23 , Bari , 2-2 , L.R. Vicenza
24 , Bari , 2-2 , Lazio
25 , Bari , 0-2 , Milan
26 , Bari , 0-0 , Napoli
27 , Bari , 1-0 , Padova
28 , Bari , 2-1 , Roma
29 , Bari , 2-1 , Sampdoria
30 , Bari , 2-1 , SPAL
31 , Bari , 4-1 , Torino
32 , Bari , 0-0 , Triestina
33 , Bari , 2-1 , Udinese
34 , Bologna , 4-0 , Alessandria
35 , Bologna , 1-1 , Bari
36 , Bologna , 0-4 , Fiorentina
37 , Bologna , 2-1 , Genoa
38 , Bologna , 2-2 , Internazionale
39 , Bologna , 4-1 , Juventus
40 , Bologna , 1-0 , L.R. Vicenza
41 , Bologna , 1-1 , Lazio
42 , Bologna , 1-1 , Milan
43 , Bologna , 1-1 , Napoli
44 , Bologna , 2-0 , Padova
45 , Bologna , 1-0 , Roma
46 , Bologna , 1-2 , Sampdoria
47 , Bologna , 3-2 , SPAL
48 , Bologna , 0-0 , Torino
49 , Bologna , 0-2 , Triestina
50 , Bologna , 2-0 , Udinese
51 , Fiorentina , 7-1 , Alessandria
52 , Fiorentina , 4-0 , Bari
53 , Fiorentina , 6-3 , Bologna
54 , Fiorentina , 7-1 , Genoa
55 , Fiorentina , 4-0 , Internazionale
56 , Fiorentina , 3-3 , Juventus
57 , Fiorentina , 3-1 , L.R. Vicenza
58 , Fiorentina , 1-1 , Lazio
