0 , Atalanta , 2-0 , Bologna
1 , Atalanta , 0-1 , Cagliari
2 , Atalanta , 0-0 , Catania
3 , Atalanta , 2-1 , Fiorentina
4 , Atalanta , 1-0 , Foggia
5 , Atalanta , 0-2 , Genoa
6 , Atalanta , 1-3 , Internazionale
7 , Atalanta , 0-0 , Juventus
8 , Atalanta , 1-0 , L.R. Vicenza
9 , Atalanta , 1-1 , Lazio
10 , Atalanta , 2-1 , Mantova
11 , Atalanta , 0-1 , Messina
12 , Atalanta , 1-1 , Milan
13 , Atalanta , 1-0 , Roma
14 , Atalanta , 0-0 , Sampdoria
15 , Atalanta , 0-0 , Torino
16 , Atalanta , 0-0 , Varese
17 , Bologna , 1-1 , Atalanta
18 , Bologna , 1-3 , Cagliari
19 , Bologna , 3-0 , Catania
20 , Bologna , 3-1 , Fiorentina
21 , Bologna , 4-2 , Foggia
22 , Bologna , 2-1 , Genoa
23 , Bologna , 0-0 , Internazionale
24 , Bologna , 1-1 , Juventus
25 , Bologna , 3-0 , L.R. Vicenza
26 , Bologna , 2-0 , Lazio
27 , Bologna , 4-1 , Mantova
28 , Bologna , 3-0 , Messina
29 , Bologna , 0-2 , Milan
30 , Bologna , 1-2 , Roma
31 , Bologna , 0-1 , Sampdoria
32 , Bologna , 1-0 , Torino
33 , Bologna , 3-0 , Varese
34 , Cagliari , 0-1 , Atalanta
35 , Cagliari , 0-0 , Bologna
36 , Cagliari , 2-0 , Catania
37 , Cagliari , 1-1 , Fiorentina
38 , Cagliari , 0-1 , Foggia
39 , Cagliari , 2-1 , Genoa
40 , Cagliari , 0-2 , Internazionale
41 , Cagliari , 1-0 , Juventus
42 , Cagliari , 2-1 , L.R. Vicenza
43 , Cagliari , 3-0 , Lazio
44 , Cagliari , 2-1 , Mantova
45 , Cagliari , 2-1 , Messina
46 , Cagliari , 2-1 , Milan
47 , Cagliari , 1-0 , Roma
48 , Cagliari , 1-1 , Sampdoria
49 , Cagliari , 0-1 , Torino
50 , Cagliari , 1-1 , Varese
51 , Catania , 4-1 , Atalanta
52 , Catania , 4-0 , Bologna
53 , Catania , 2-1 , Cagliari
54 , Catania , 0-2 , Fiorentina
55 , Catania , 1-0 , Foggia
56 , Catania , 3-2 , Genoa
57 , Catania , 2-3 , Internazionale
58 , Catania , 3-1 , Juventus
59 , Catania , 2-0 , L.R. Vicenza
60 , Catania , 3-0 , Lazio
61 , Catania , 1-1 , Mantova
62 , Catania , 4-2 , Messina
63 , Catania , 1-1 , Milan
64 , Catania , 4-0 , Roma
65 , Catania , 1-0 , Sampdoria
66 , Catania , 1-1 , Torino
67 , Catania , 0-0 , Varese
68 , Fiorentina , 1-0 , Atalanta
69 , Fiorentina , 2-1 , Bologna
70 , Fiorentina , 2-0 , Cagliari
71 , Fiorentina , 5-0 , Catania
72 , Fiorentina , 3-1 , Foggia
73 , Fiorentina , 5-0 , Genoa
74 , Fiorentina , 2-2 , Internazionale
75 , Fiorentina , 1-0 , Juventus
76 , Fiorentina , 4-1 , L.R. Vicenza
77 , Fiorentina , 1-0 , Lazio
78 , Fiorentina , 2-0 , Mantova
79 , Fiorentina , 1-1 , Messina
80 , Fiorentina , 0-0 , Milan
81 , Fiorentina , 2-0 , Roma
82 , Fiorentina , 0-1 , Sampdoria
83 , Fiorentina , 2-0 , Torino
84 , Fiorentina , 1-0 , Varese
85 , Foggia , 1-1 , Atalanta
