0 , Ascoli , 1-3 , Bologna
1 , Ascoli , 0-0 , Cagliari
2 , Ascoli , 0-0 , Cesena
3 , Ascoli , 0-1 , Fiorentina
4 , Ascoli , 0-0 , Internazionale
5 , Ascoli , 0-0 , Juventus
6 , Ascoli , 1-0 , L.R. Vicenza
7 , Ascoli , 1-0 , Lazio
8 , Ascoli , 1-1 , Milan
9 , Ascoli , 1-1 , Napoli
10 , Ascoli , 0-0 , Roma
11 , Ascoli , 1-0 , Sampdoria
12 , Ascoli , 1-0 , Ternana
13 , Ascoli , 1-1 , Torino
14 , Ascoli , 2-0 , Varese
15 , Bologna , 1-1 , Ascoli
16 , Bologna , 2-0 , Cagliari
17 , Bologna , 3-2 , Cesena
18 , Bologna , 1-0 , Fiorentina
19 , Bologna , 2-1 , Internazionale
20 , Bologna , 2-1 , Juventus
21 , Bologna , 1-1 , L.R. Vicenza
22 , Bologna , 1-2 , Lazio
23 , Bologna , 0-0 , Milan
24 , Bologna , 1-0 , Napoli
25 , Bologna , 1-0 , Roma
26 , Bologna , 2-2 , Sampdoria
27 , Bologna , 1-1 , Ternana
28 , Bologna , 1-3 , Torino
29 , Bologna , 1-1 , Varese
30 , Cagliari , 2-0 , Ascoli
31 , Cagliari , 1-1 , Bologna
32 , Cagliari , 2-2 , Cesena
33 , Cagliari , 2-1 , Fiorentina
34 , Cagliari , 0-1 , Internazionale
35 , Cagliari , 1-1 , Juventus
36 , Cagliari , 0-0 , L.R. Vicenza
37 , Cagliari , 1-1 , Lazio
38 , Cagliari , 0-0 , Milan
39 , Cagliari , 1-1 , Napoli
40 , Cagliari , 1-2 , Roma
41 , Cagliari , 1-0 , Sampdoria
42 , Cagliari , 2-0 , Ternana
43 , Cagliari , 0-0 , Torino
44 , Cagliari , 1-1 , Varese
45 , Cesena , 0-0 , Ascoli
46 , Cesena , 2-2 , Bologna
47 , Cesena , 2-1 , Cagliari
48 , Cesena , 1-1 , Fiorentina
49 , Cesena , 0-0 , Internazionale
50 , Cesena , 0-1 , Juventus
51 , Cesena , 3-1 , L.R. Vicenza
52 , Cesena , 0-0 , Lazio
53 , Cesena , 1-0 , Milan
54 , Cesena , 0-0 , Napoli
55 , Cesena , 0-0 , Roma
56 , Cesena , 1-1 , Sampdoria
57 , Cesena , 2-1 , Ternana
58 , Cesena , 1-1 , Torino
59 , Cesena , 1-1 , Varese
60 , Fiorentina , 0-0 , Ascoli
61 , Fiorentina , 1-0 , Bologna
62 , Fiorentina , 2-1 , Cagliari
63 , Fiorentina , 2-2 , Cesena
64 , Fiorentina , 1-1 , Internazionale
65 , Fiorentina , 4-1 , Juventus
66 , Fiorentina , 0-0 , L.R. Vicenza
67 , Fiorentina , 1-1 , Lazio
68 , Fiorentina , 1-1 , Milan
69 , Fiorentina , 1-1 , Napoli
70 , Fiorentina , 0-0 , Roma
71 , Fiorentina , 0-2 , Sampdoria
72 , Fiorentina , 2-0 , Ternana
73 , Fiorentina , 2-2 , Torino
74 , Fiorentina , 2-0 , Varese
75 , Internazionale , 0-1 , Ascoli
76 , Internazionale , 1-1 , Bologna
77 , Internazionale , 4-1 , Cagliari
78 , Internazionale , 0-1 , Cesena
79 , Internazionale , 1-0 , Fiorentina
80 , Internazionale , 0-1 , Juventus
81 , Internazionale , 0-0 , L.R. Vicenza
82 , Internazionale , 3-1 , Lazio
83 , Internazionale , 0-0 , Milan
84 , Internazionale , 0-0 , Napoli
85 , Internazionale , 0-2 , Roma
86 , Internazionale , 0-0 , Sampdoria
87 , Internazionale , 1-0 , Ternana
88 , Internazionale , 1-0 , Torino
89 , Internazionale , 1-0 , Varese
90 , Juventus , 4-0 , Ascoli
91 , Juventus , 0-0 , Bologna
92 , Juventus , 1-0 , Cagliari
93 , Juventus , 1-0 , Cesena
94 , Juventus , 0-0 , Fiorentina
95 , Juventus , 1-0 , Internazionale
96 , Juventus , 5-0 , L.R. Vicenza
97 , Juventus , 4-0 , Lazio
98 , Juventus , 2-1 , Milan
99 , Juventus , 2-1 , Napoli
100 , Juventus , 1-0 , Roma
101 , Juventus , 1-1 , Sampdoria
102 , Juventus , 2-0 , Ternana
103 , Juventus , 0-0 , Torino
