0 , Ascoli , 0-0 , Avellino
1 , Ascoli , 2-0 , Bologna
2 , Ascoli , 1-0 , Cagliari
3 , Ascoli , 2-2 , Catanzaro
4 , Ascoli , 1-0 , Fiorentina
5 , Ascoli , 1-1 , Internazionale
6 , Ascoli , 2-3 , Juventus
7 , Ascoli , 1-1 , Lazio
8 , Ascoli , 0-0 , Milan
9 , Ascoli , 0-0 , Napoli
10 , Ascoli , 1-0 , Perugia
11 , Ascoli , 3-1 , Pescara
12 , Ascoli , 3-0 , Roma
13 , Ascoli , 1-0 , Torino
14 , Ascoli , 3-0 , Udinese
15 , Avellino , 2-2 , Ascoli
16 , Avellino , 1-0 , Bologna
17 , Avellino , 2-2 , Cagliari
18 , Avellino , 2-0 , Catanzaro
19 , Avellino , 0-2 , Fiorentina
20 , Avellino , 0-0 , Internazionale
21 , Avellino , 1-0 , Juventus
22 , Avellino , 0-0 , Lazio
23 , Avellino , 1-0 , Milan
24 , Avellino , 2-3 , Napoli
25 , Avellino , 2-2 , Perugia
26 , Avellino , 2-0 , Pescara
27 , Avellino , 0-1 , Roma
28 , Avellino , 0-2 , Torino
29 , Avellino , 0-0 , Udinese
30 , Bologna , 0-0 , Ascoli
31 , Bologna , 1-0 , Avellino
32 , Bologna , 0-1 , Cagliari
33 , Bologna , 4-1 , Catanzaro
34 , Bologna , 2-1 , Fiorentina
35 , Bologna , 1-2 , Internazionale
36 , Bologna , 1-1 , Juventus
37 , Bologna , 1-0 , Lazio
38 , Bologna , 0-1 , Milan
39 , Bologna , 0-0 , Napoli
40 , Bologna , 1-1 , Perugia
41 , Bologna , 0-0 , Pescara
42 , Bologna , 1-1 , Roma
43 , Bologna , 1-2 , Torino
44 , Bologna , 2-1 , Udinese
45 , Cagliari , 1-1 , Ascoli
46 , Cagliari , 1-1 , Avellino
47 , Cagliari , 1-0 , Bologna
48 , Cagliari , 1-0 , Catanzaro
49 , Cagliari , 2-1 , Fiorentina
50 , Cagliari , 1-1 , Internazionale
51 , Cagliari , 2-1 , Juventus
52 , Cagliari , 1-1 , Lazio
53 , Cagliari , 0-0 , Milan
54 , Cagliari , 1-0 , Napoli
55 , Cagliari , 1-2 , Perugia
56 , Cagliari , 1-0 , Pescara
57 , Cagliari , 1-3 , Roma
58 , Cagliari , 0-0 , Torino
59 , Cagliari , 3-1 , Udinese
60 , Catanzaro , 1-1 , Ascoli
61 , Catanzaro , 0-0 , Avellino
62 , Catanzaro , 0-0 , Bologna
63 , Catanzaro , 1-0 , Cagliari
64 , Catanzaro , 0-1 , Fiorentina
65 , Catanzaro , 0-0 , Internazionale
66 , Catanzaro , 0-1 , Juventus
67 , Catanzaro , 2-1 , Lazio
68 , Catanzaro , 0-3 , Milan
69 , Catanzaro , 2-0 , Napoli
70 , Catanzaro , 2-1 , Perugia
71 , Catanzaro , 1-1 , Pescara
72 , Catanzaro , 2-2 , Roma
73 , Catanzaro , 0-0 , Torino
74 , Catanzaro , 1-1 , Udinese
75 , Fiorentina , 3-1 , Ascoli
76 , Fiorentina , 3-0 , Avellino
77 , Fiorentina , 0-0 , Bologna
78 , Fiorentina , 1-1 , Cagliari
79 , Fiorentina , 3-0 , Catanzaro
80 , Fiorentina , 0-2 , Internazionale
81 , Fiorentina , 2-1 , Juventus
82 , Fiorentina , 0-0 , Lazio
83 , Fiorentina , 1-1 , Milan
84 , Fiorentina , 0-0 , Napoli
85 , Fiorentina , 0-0 , Perugia
86 , Fiorentina , 2-0 , Pescara
87 , Fiorentina , 3-1 , Roma
88 , Fiorentina , 1-0 , Torino
89 , Fiorentina , 1-1 , Udinese
90 , Internazionale , 2-4 , Ascoli
91 , Internazionale , 3-0 , Avellino
92 , Internazionale , 0-0 , Bologna
93 , Internazionale , 3-3 , Cagliari
94 , Internazionale , 3-1 , Catanzaro
95 , Internazionale , 0-0 , Fiorentina
96 , Internazionale , 4-0 , Juventus
97 , Internazionale , 2-1 , Lazio
98 , Internazionale , 2-0 , Milan
99 , Internazionale , 1-0 , Napoli
100 , Internazionale , 3-2 , Perugia
101 , Internazionale , 2-0 , Pescara
102 , Internazionale , 2-2 , Roma
103 , Internazionale , 1-1 , Torino
104 , Internazionale , 2-1 , Udinese
105 , Juventus , 2-3 , Ascoli
106 , Juventus , 2-0 , Avellino
107 , Juventus , 1-1 , Bologna
108 , Juventus , 1-0 , Cagliari
109 , Juventus , 1-0 , Catanzaro
110 , Juventus , 3-0 , Fiorentina
