0 , Bari , 3-0 , Brescia
1 , Bari , 0-0 , Cagliari
2 , Bari , 2-0 , Cremonese
3 , Bari , 2-2 , Fiorentina
4 , Bari , 2-1 , Foggia
5 , Bari , 4-1 , Genoa
6 , Bari , 0-1 , Internazionale
7 , Bari , 0-2 , Juventus
8 , Bari , 0-1 , Lazio
9 , Bari , 3-5 , Milan
10 , Bari , 1-1 , Napoli
11 , Bari , 0-1 , Padova
12 , Bari , 1-2 , Parma
13 , Bari , 1-0 , Reggiana
14 , Bari , 2-2 , Roma
15 , Bari , 1-2 , Sampdoria
16 , Bari , 3-1 , Torino
17 , Brescia , 1-0 , Bari
18 , Brescia , 2-3 , Cagliari
19 , Brescia , 1-2 , Cremonese
20 , Brescia , 2-4 , Fiorentina
21 , Brescia , 1-0 , Foggia
22 , Brescia , 1-2 , Genoa
23 , Brescia , 0-0 , Internazionale
24 , Brescia , 1-1 , Juventus
25 , Brescia , 0-1 , Lazio
26 , Brescia , 0-5 , Milan
27 , Brescia , 1-2 , Napoli
28 , Brescia , 1-3 , Padova
29 , Brescia , 1-2 , Parma
30 , Brescia , 1-0 , Reggiana
31 , Brescia , 0-0 , Roma
32 , Brescia , 0-0 , Sampdoria
33 , Brescia , 1-4 , Torino
34 , Cagliari , 2-1 , Bari
35 , Cagliari , 2-0 , Brescia
36 , Cagliari , 1-0 , Cremonese
37 , Cagliari , 2-0 , Fiorentina
38 , Cagliari , 2-1 , Foggia
39 , Cagliari , 1-0 , Genoa
40 , Cagliari , 1-1 , Internazionale
41 , Cagliari , 3-0 , Juventus
42 , Cagliari , 1-1 , Lazio
43 , Cagliari , 1-1 , Milan
44 , Cagliari , 0-1 , Napoli
45 , Cagliari , 2-0 , Padova
46 , Cagliari , 2-0 , Parma
47 , Cagliari , 4-2 , Reggiana
48 , Cagliari , 0-1 , Roma
49 , Cagliari , 0-2 , Sampdoria
50 , Cagliari , 1-0 , Torino
51 , Cremonese , 0-0 , Bari
52 , Cremonese , 0-0 , Brescia
53 , Cremonese , 2-0 , Cagliari
54 , Cremonese , 0-0 , Fiorentina
55 , Cremonese , 1-3 , Foggia
56 , Cremonese , 4-1 , Genoa
57 , Cremonese , 0-1 , Internazionale
58 , Cremonese , 1-2 , Juventus
59 , Cremonese , 0-0 , Lazio
60 , Cremonese , 1-0 , Milan
61 , Cremonese , 2-0 , Napoli
62 , Cremonese , 3-0 , Padova
63 , Cremonese , 1-1 , Parma
64 , Cremonese , 2-1 , Reggiana
65 , Cremonese , 2-5 , Roma
66 , Cremonese , 2-0 , Sampdoria
67 , Cremonese , 3-0 , Torino
68 , Fiorentina , 2-0 , Bari
69 , Fiorentina , 4-0 , Brescia
70 , Fiorentina , 2-1 , Cagliari
71 , Fiorentina , 3-1 , Cremonese
72 , Fiorentina , 1-1 , Foggia
73 , Fiorentina , 3-1 , Genoa
74 , Fiorentina , 2-2 , Internazionale
75 , Fiorentina , 1-4 , Juventus
76 , Fiorentina , 1-1 , Lazio
77 , Fiorentina , 1-2 , Milan
78 , Fiorentina , 4-0 , Napoli
79 , Fiorentina , 4-1 , Padova
80 , Fiorentina , 1-1 , Parma
81 , Fiorentina , 1-1 , Reggiana
82 , Fiorentina , 1-0 , Roma
83 , Fiorentina , 2-2 , Sampdoria
84 , Fiorentina , 6-3 , Torino
85 , Foggia , 2-2 , Bari
86 , Foggia , 3-1 , Brescia
87 , Foggia , 2-0 , Cagliari
88 , Foggia , 0-1 , Cremonese
89 , Foggia , 2-1 , Fiorentina
90 , Foggia , 2-1 , Genoa
91 , Foggia , 0-0 , Internazionale
92 , Foggia , 2-0 , Juventus
93 , Foggia , 0-1 , Lazio
94 , Foggia , 1-3 , Milan
95 , Foggia , 1-1 , Napoli
96 , Foggia , 4-1 , Padova
97 , Foggia , 0-0 , Parma
98 , Foggia , 1-0 , Reggiana
99 , Foggia , 0-1 , Roma
100 , Foggia , 1-1 , Sampdoria
101 , Foggia , 0-2 , Torino
102 , Genoa , 1-1 , Bari
103 , Genoa , 1-0 , Brescia
104 , Genoa , 1-1 , Cagliari
105 , Genoa , 0-1 , Cremonese
106 , Genoa , 1-1 , Fiorentina
107 , Genoa , 3-0 , Foggia
108 , Genoa , 2-1 , Internazionale
109 , Genoa , 0-4 , Juventus
110 , Genoa , 1-2 , Lazio
111 , Genoa , 1-1 , Milan
112 , Genoa , 3-3 , Napoli
113 , Genoa , 2-1 , Padova
114 , Genoa , 0-0 , Parma
115 , Genoa , 3-1 , Reggiana
116 , Genoa , 1-0 , Roma
117 , Genoa , 2-1 , Sampdoria
