0 , Athletic Bilbao , 1-1 , Atlético Madrid
1 , Athletic Bilbao , 2-1 , FC Barcelona
2 , Athletic Bilbao , 0-3 , Betis
3 , Athletic Bilbao , 2-2 , Celta de Vigo
4 , Athletic Bilbao , 2-2 , SD Compostela
5 , Athletic Bilbao , 1-0 , Deportivo de La Coruna
6 , Athletic Bilbao , 2-2 , RCD Espanyol
7 , Athletic Bilbao , 0-0 , CF Extremadura
8 , Athletic Bilbao , 5-0 , Hércules CF
9 , Athletic Bilbao , 6-0 , CD Logroñés
10 , Athletic Bilbao , 2-2 , Racing de Santander
11 , Athletic Bilbao , 3-2 , Rayo Vallecano
12 , Athletic Bilbao , 1-0 , Real Madrid
13 , Athletic Bilbao , 3-2 , Real Oviedo
14 , Athletic Bilbao , 1-3 , Real Sociedad
15 , Athletic Bilbao , 0-0 , Sevilla FC
16 , Athletic Bilbao , 4-0 , Sporting de Gijón
17 , Athletic Bilbao , 2-0 , CD Tenerife
18 , Athletic Bilbao , 2-0 , Valencia CF
19 , Athletic Bilbao , 0-0 , Valladolid
20 , Athletic Bilbao , 2-2 , Zaragoza
21 , Atlético Madrid , 2-1 , Athletic Bilbao
22 , Atlético Madrid , 2-5 , FC Barcelona
23 , Atlético Madrid , 2-2 , Betis
24 , Atlético Madrid , 2-0 , Celta de Vigo
25 , Atlético Madrid , 4-1 , SD Compostela
26 , Atlético Madrid , 0-2 , Deportivo de La Coruna
27 , Atlético Madrid , 2-1 , RCD Espanyol
28 , Atlético Madrid , 1-1 , CF Extremadura
29 , Atlético Madrid , 3-0 , Hércules CF
30 , Atlético Madrid , 2-0 , CD Logroñés
31 , Atlético Madrid , 1-0 , Racing de Santander
32 , Atlético Madrid , 1-3 , Rayo Vallecano
33 , Atlético Madrid , 1-4 , Real Madrid
34 , Atlético Madrid , 3-0 , Real Oviedo
35 , Atlético Madrid , 2-2 , Real Sociedad
36 , Atlético Madrid , 3-2 , Sevilla FC
37 , Atlético Madrid , 2-1 , Sporting de Gijón
38 , Atlético Madrid , 0-3 , CD Tenerife
39 , Atlético Madrid , 1-4 , Valencia CF
40 , Atlético Madrid , 3-1 , Valladolid
41 , Atlético Madrid , 5-1 , Zaragoza
42 , FC Barcelona , 2-0 , Athletic Bilbao
43 , FC Barcelona , 3-3 , Atlético Madrid
44 , FC Barcelona , 3-0 , Betis
45 , FC Barcelona , 1-0 , Celta de Vigo
46 , FC Barcelona , 3-0 , SD Compostela
47 , FC Barcelona , 1-0 , Deportivo de La Coruna
48 , FC Barcelona , 2-1 , RCD Espanyol
49 , FC Barcelona , 3-0 , CF Extremadura
50 , FC Barcelona , 2-3 , Hércules CF
51 , FC Barcelona , 8-0 , CD Logroñés
52 , FC Barcelona , 1-0 , Racing de Santander
53 , FC Barcelona , 6-0 , Rayo Vallecano
54 , FC Barcelona , 1-0 , Real Madrid
55 , FC Barcelona , 2-2 , Real Oviedo
56 , FC Barcelona , 3-2 , Real Sociedad
57 , FC Barcelona , 4-0 , Sevilla FC
58 , FC Barcelona , 4-0 , Sporting de Gijón
