0 , Athletic Bilbao , 1-0 , Atlético Madrid
1 , Athletic Bilbao , 3-0 , Barcelona
2 , Athletic Bilbao , 0-0 , Betis
3 , Athletic Bilbao , 2-1 , Celta de Vigo
4 , Athletic Bilbao , 2-0 , Compostela
5 , Athletic Bilbao , 1-1 , Deportivo La Coruña
6 , Athletic Bilbao , 1-3 , Espanyol
7 , Athletic Bilbao , 3-1 , Mallorca
8 , Athletic Bilbao , 5-1 , Mérida
9 , Athletic Bilbao , 4-3 , Racing Santander
10 , Athletic Bilbao , 1-1 , Real Madrid
11 , Athletic Bilbao , 3-0 , Oviedo
12 , Athletic Bilbao , 1-1 , Real Sociedad
13 , Athletic Bilbao , 1-0 , Salamanca
14 , Athletic Bilbao , 2-2 , Sporting de Gijón
15 , Athletic Bilbao , 3-0 , Tenerife
16 , Athletic Bilbao , 0-3 , Valencia
17 , Athletic Bilbao , 2-0 , Valladolid
18 , Athletic Bilbao , 1-0 , Zaragoza
19 , Atlético Madrid , 3-0 , Athletic Bilbao
20 , Atlético Madrid , 5-2 , Barcelona
21 , Atlético Madrid , 0-0 , Betis
22 , Atlético Madrid , 3-3 , Celta de Vigo
23 , Atlético Madrid , 3-1 , Compostela
24 , Atlético Madrid , 3-0 , Deportivo La Coruña
25 , Atlético Madrid , 0-2 , Espanyol
26 , Atlético Madrid , 2-3 , Mallorca
27 , Atlético Madrid , 4-0 , Mérida
28 , Atlético Madrid , 2-1 , Racing Santander
29 , Atlético Madrid , 1-1 , Real Madrid
30 , Atlético Madrid , 4-1 , Oviedo
31 , Atlético Madrid , 2-2 , Real Sociedad
32 , Atlético Madrid , 1-1 , Salamanca
33 , Atlético Madrid , 2-1 , Sporting de Gijón
34 , Atlético Madrid , 2-2 , Tenerife
35 , Atlético Madrid , 3-1 , Valencia
36 , Atlético Madrid , 5-0 , Valladolid
37 , Atlético Madrid , 2-1 , Zaragoza
38 , Barcelona , 4-0 , Athletic Bilbao
39 , Barcelona , 3-1 , Atlético Madrid
40 , Barcelona , 1-3 , Betis
41 , Barcelona , 3-2 , Celta de Vigo
42 , Barcelona , 2-0 , Compostela
43 , Barcelona , 2-1 , Deportivo La Coruña
44 , Barcelona , 3-1 , Espanyol
45 , Barcelona , 0-0 , Mallorca
46 , Barcelona , 3-1 , Mérida
47 , Barcelona , 2-0 , Racing Santander
48 , Barcelona , 3-0 , Real Madrid
