0 , Albacete , 1-1 , Athletic Bilbao
1 , Albacete , 1-1 , Atlético Madrid
2 , Albacete , 1-2 , Barcelona
3 , Albacete , 1-0 , Betis
4 , Albacete , 0-2 , Celta de Vigo
5 , Albacete , 0-2 , Deportivo La Coruña
6 , Albacete , 2-1 , Espanyol
7 , Albacete , 0-1 , Málaga
8 , Albacete , 2-0 , Mallorca
9 , Albacete , 1-0 , Murcia
10 , Albacete , 0-2 , Osasuna
11 , Albacete , 4-0 , Racing Santander
12 , Albacete , 1-2 , Real Madrid
13 , Albacete , 3-1 , Real Sociedad
14 , Albacete , 1-4 , Sevilla
15 , Albacete , 0-1 , Valencia
16 , Albacete , 2-0 , Valladolid
17 , Albacete , 2-0 , Villarreal
18 , Albacete , 3-1 , Zaragoza
19 , Athletic Bilbao , 1-1 , Albacete
20 , Athletic Bilbao , 3-4 , Atlético Madrid
21 , Athletic Bilbao , 0-1 , Barcelona
22 , Athletic Bilbao , 1-1 , Betis
23 , Athletic Bilbao , 0-0 , Celta de Vigo
24 , Athletic Bilbao , 1-0 , Deportivo La Coruña
25 , Athletic Bilbao , 1-0 , Espanyol
26 , Athletic Bilbao , 2-1 , Málaga
27 , Athletic Bilbao , 4-0 , Mallorca
28 , Athletic Bilbao , 2-1 , Murcia
29 , Athletic Bilbao , 1-1 , Osasuna
30 , Athletic Bilbao , 1-2 , Racing Santander
31 , Athletic Bilbao , 4-2 , Real Madrid
32 , Athletic Bilbao , 1-0 , Real Sociedad
33 , Athletic Bilbao , 2-1 , Sevilla
34 , Athletic Bilbao , 1-1 , Valencia
35 , Athletic Bilbao , 1-4 , Valladolid
36 , Athletic Bilbao , 2-0 , Villarreal
37 , Athletic Bilbao , 4-0 , Zaragoza
38 , Atlético Madrid , 1-0 , Albacete
39 , Atlético Madrid , 3-0 , Athletic Bilbao
40 , Atlético Madrid , 0-0 , Barcelona
41 , Atlético Madrid , 2-1 , Betis
42 , Atlético Madrid , 3-2 , Celta de Vigo
43 , Atlético Madrid , 0-0 , Deportivo La Coruña
44 , Atlético Madrid , 2-0 , Espanyol
45 , Atlético Madrid , 2-0 , Málaga
46 , Atlético Madrid , 2-1 , Mallorca
47 , Atlético Madrid , 1-1 , Murcia
48 , Atlético Madrid , 1-1 , Osasuna
49 , Atlético Madrid , 2-2 , Racing Santander
50 , Atlético Madrid , 1-2 , Real Madrid
51 , Atlético Madrid , 4-0 , Real Sociedad
52 , Atlético Madrid , 2-1 , Sevilla
53 , Atlético Madrid , 0-3 , Valencia
54 , Atlético Madrid , 2-1 , Valladolid
55 , Atlético Madrid , 1-0 , Villarreal
56 , Atlético Madrid , 1-2 , Zaragoza
57 , Barcelona , 5-0 , Albacete
58 , Barcelona , 3-1 , Athletic Bilbao
59 , Barcelona , 3-1 , Atlético Madrid
60 , Barcelona , 2-1 , Betis
61 , Barcelona , 1-1 , Celta de Vigo
62 , Barcelona , 0-2 , Deportivo La Coruña
63 , Barcelona , 4-1 , Espanyol
64 , Barcelona , 3-0 , Málaga
65 , Barcelona , 3-2 , Mallorca
66 , Barcelona , 3-0 , Murcia
67 , Barcelona , 1-1 , Osasuna
68 , Barcelona , 1-0 , Racing Santander
69 , Barcelona , 1-2 , Real Madrid
70 , Barcelona , 1-0 , Real Sociedad
71 , Barcelona , 1-1 , Sevilla
72 , Barcelona , 0-1 , Valencia
73 , Barcelona , 0-0 , Valladolid
74 , Barcelona , 0-0 , Villarreal
75 , Barcelona , 3-0 , Zaragoza
76 , Betis , 3-2 , Albacete
77 , Betis , 1-2 , Athletic Bilbao
78 , Betis , 1-1 , Atlético Madrid
79 , Betis , 1-1 , Barcelona
80 , Betis , 1-0 , Celta de Vigo
