0 , Ascoli , 1-3 , Atalanta
1 , Ascoli , 2-1 , Cagliari
2 , Ascoli , 2-2 , Catania
3 , Ascoli , 3-0 , Chievo
4 , Ascoli , 0-1 , Empoli
5 , Ascoli , 1-1 , Fiorentina
6 , Ascoli , 1-2 , Internazionale
7 , Ascoli , 2-2 , Lazio
8 , Ascoli , 0-2 , Livorno
9 , Ascoli , 1-1 , Messina
10 , Ascoli , 2-5 , Milan
11 , Ascoli , 3-2 , Palermo
12 , Ascoli , 0-0 , Parma
13 , Ascoli , 2-3 , Reggina
14 , Ascoli , 1-1 , Roma
15 , Ascoli , 1-1 , Sampdoria
16 , Ascoli , 0-1 , Siena
17 , Ascoli , 0-2 , Torino
18 , Ascoli , 2-2 , Udinese
19 , Atalanta , 3-1 , Ascoli
20 , Atalanta , 3-3 , Cagliari
21 , Atalanta , 1-1 , Catania
22 , Atalanta , 1-0 , Chievo
23 , Atalanta , 0-0 , Empoli
24 , Atalanta , 2-2 , Fiorentina
25 , Atalanta , 1-1 , Internazionale
26 , Atalanta , 0-0 , Lazio
27 , Atalanta , 5-1 , Livorno
28 , Atalanta , 3-2 , Messina
29 , Atalanta , 2-0 , Milan
30 , Atalanta , 1-1 , Palermo
31 , Atalanta , 1-1 , Parma
32 , Atalanta , 1-1 , Reggina
33 , Atalanta , 2-1 , Roma
34 , Atalanta , 3-2 , Sampdoria
35 , Atalanta , 3-1 , Siena
36 , Atalanta , 1-2 , Torino
37 , Atalanta , 1-2 , Udinese
38 , Cagliari , 1-0 , Ascoli
39 , Cagliari , 2-0 , Atalanta
40 , Cagliari , 0-1 , Catania
41 , Cagliari , 0-2 , Chievo
42 , Cagliari , 0-0 , Empoli
43 , Cagliari , 0-2 , Fiorentina
44 , Cagliari , 1-1 , Internazionale
45 , Cagliari , 0-2 , Lazio
46 , Cagliari , 2-2 , Livorno
47 , Cagliari , 2-0 , Messina
48 , Cagliari , 2-2 , Milan
49 , Cagliari , 1-0 , Palermo
50 , Cagliari , 0-0 , Parma
51 , Cagliari , 0-2 , Reggina
52 , Cagliari , 3-2 , Roma
53 , Cagliari , 1-0 , Sampdoria
54 , Cagliari , 2-2 , Siena
55 , Cagliari , 0-0 , Torino
56 , Cagliari , 2-1 , Udinese
57 , Catania , 3-3 , Ascoli
58 , Catania , 0-0 , Atalanta
59 , Catania , 0-1 , Cagliari
60 , Catania , 2-0 , Chievo
61 , Catania , 2-1 , Empoli
62 , Catania , 0-1 , Fiorentina
63 , Catania , 2-5 , Internazionale
64 , Catania , 3-1 , Lazio
65 , Catania , 3-2 , Livorno
66 , Catania , 2-2 , Messina
67 , Catania , 1-1 , Milan
68 , Catania , 1-2 , Palermo
69 , Catania , 2-0 , Parma
70 , Catania , 1-4 , Reggina
71 , Catania , 0-2 , Roma
72 , Catania , 4-2 , Sampdoria
73 , Catania , 1-1 , Siena
74 , Catania , 1-1 , Torino
75 , Catania , 1-0 , Udinese
76 , Chievo , 1-0 , Ascoli
77 , Chievo , 2-2 , Atalanta
78 , Chievo , 0-0 , Cagliari
79 , Chievo , 2-1 , Catania
80 , Chievo , 0-0 , Empoli
81 , Chievo , 0-1 , Fiorentina
82 , Chievo , 0-2 , Internazionale
83 , Chievo , 0-1 , Lazio
84 , Chievo , 2-1 , Livorno
85 , Chievo , 1-1 , Messina
86 , Chievo , 0-1 , Milan
87 , Chievo , 0-1 , Palermo
88 , Chievo , 1-0 , Parma
89 , Chievo , 3-2 , Reggina
90 , Chievo , 2-2 , Roma
91 , Chievo , 1-1 , Sampdoria
92 , Chievo , 1-2 , Siena
93 , Chievo , 3-0 , Torino
94 , Chievo , 2-0 , Udinese
95 , Empoli , 4-1 , Ascoli
96 , Empoli , 2-0 , Atalanta
97 , Empoli , 1-0 , Cagliari
98 , Empoli , 2-1 , Catania
99 , Empoli , 1-1 , Chievo
100 , Empoli , 1-2 , Fiorentina
101 , Empoli , 0-3 , Internazionale
102 , Empoli , 1-1 , Lazio
103 , Empoli , 2-2 , Livorno
104 , Empoli , 3-1 , Messina
105 , Empoli , 0-0 , Milan
106 , Empoli , 2-0 , Palermo
107 , Empoli , 2-0 , Parma
108 , Empoli , 3-3 , Reggina
109 , Empoli , 1-0 , Roma
110 , Empoli , 2-0 , Sampdoria
111 , Empoli , 1-0 , Siena
112 , Empoli , 0-0 , Torino
113 , Empoli , 1-1 , Udinese
114 , Fiorentina , 4-0 , Ascoli
115 , Fiorentina , 3-1 , Atalanta
116 , Fiorentina , 1-0 , Cagliari
117 , Fiorentina , 3-0 , Catania
118 , Fiorentina , 1-0 , Chievo
119 , Fiorentina , 2-0 , Empoli
120 , Fiorentina , 2-3 , Internazionale
121 , Fiorentina , 1-0 , Lazio
122 , Fiorentina , 2-1 , Livorno
123 , Fiorentina , 4-0 , Messina
124 , Fiorentina , 2-2 , Milan
125 , Fiorentina , 2-3 , Palermo
126 , Fiorentina , 1-0 , Parma
127 , Fiorentina , 3-0 , Reggina
128 , Fiorentina , 0-0 , Roma
129 , Fiorentina , 5-1 , Sampdoria
130 , Fiorentina , 1-0 , Siena
131 , Fiorentina , 5-1 , Torino
132 , Fiorentina , 2-0 , Udinese
133 , Internazionale , 2-0 , Ascoli
134 , Internazionale , 2-1 , Atalanta
135 , Internazionale , 1-0 , Cagliari
136 , Internazionale , 2-1 , Catania
137 , Internazionale , 4-3 , Chievo
138 , Internazionale , 3-1 , Empoli
139 , Internazionale , 3-1 , Fiorentina
140 , Internazionale , 4-3 , Lazio
141 , Internazionale , 4-1 , Livorno
142 , Internazionale , 2-0 , Messina
143 , Internazionale , 2-1 , Milan
144 , Internazionale , 2-2 , Palermo
145 , Internazionale , 2-0 , Parma
146 , Internazionale , 1-0 , Reggina
147 , Internazionale , 1-3 , Roma
148 , Internazionale , 1-1 , Sampdoria
149 , Internazionale , 2-0 , Siena
150 , Internazionale , 3-0 , Torino
151 , Internazionale , 1-1 , Udinese
152 , Lazio , 3-1 , Ascoli
153 , Lazio , 1-0 , Atalanta
154 , Lazio , 0-0 , Cagliari
155 , Lazio , 3-1 , Catania
156 , Lazio , 0-0 , Chievo
157 , Lazio , 3-1 , Empoli
158 , Lazio , 0-1 , Fiorentina
159 , Lazio , 0-2 , Internazionale
160 , Lazio , 1-0 , Livorno
161 , Lazio , 1-0 , Messina
162 , Lazio , 0-0 , Milan
163 , Lazio , 1-2 , Palermo
164 , Lazio , 0-0 , Parma
165 , Lazio , 0-0 , Reggina
166 , Lazio , 3-0 , Roma
167 , Lazio , 1-0 , Sampdoria
168 , Lazio , 1-1 , Siena
169 , Lazio , 2-0 , Torino
170 , Lazio , 5-0 , Udinese
171 , Livorno , 0-0 , Ascoli
172 , Livorno , 4-2 , Atalanta
173 , Livorno , 2-1 , Cagliari
174 , Livorno , 4-1 , Catania
175 , Livorno , 0-2 , Chievo
176 , Livorno , 0-0 , Empoli
177 , Livorno , 1-0 , Fiorentina
178 , Livorno , 1-2 , Internazionale
179 , Livorno , 1-1 , Lazio
180 , Livorno , 2-1 , Messina
181 , Livorno , 0-0 , Milan
182 , Livorno , 1-2 , Palermo
183 , Livorno , 3-0 , Parma
184 , Livorno , 1-1 , Reggina
185 , Livorno , 1-1 , Roma
186 , Livorno , 1-0 , Sampdoria
187 , Livorno , 0-0 , Siena
188 , Livorno , 1-1 , Torino
189 , Livorno , 1-0 , Udinese
190 , Messina , 1-2 , Ascoli
191 , Messina , 0-0 , Atalanta
192 , Messina , 2-2 , Cagliari
193 , Messina , 1-1 , Catania
194 , Messina , 2-1 , Chievo
195 , Messina , 2-2 , Empoli
196 , Messina , 2-2 , Fiorentina
197 , Messina , 0-1 , Internazionale
198 , Messina , 1-4 , Lazio
199 , Messina , 0-1 , Livorno
200 , Messina , 1-3 , Milan
201 , Messina , 2-0 , Palermo
202 , Messina , 1-1 , Parma
203 , Messina , 2-0 , Reggina
204 , Messina , 1-1 , Roma
205 , Messina , 0-2 , Sampdoria
206 , Messina , 1-0 , Siena
207 , Messina , 0-3 , Torino
208 , Messina , 1-0 , Udinese
209 , Milan , 1-0 , Ascoli
210 , Milan , 1-0 , Atalanta
211 , Milan , 3-1 , Cagliari
212 , Milan , 3-0 , Catania
213 , Milan , 3-1 , Chievo
214 , Milan , 3-1 , Empoli
215 , Milan , 0-0 , Fiorentina
216 , Milan , 3-4 , Internazionale
217 , Milan , 2-1 , Lazio
218 , Milan , 2-1 , Livorno
219 , Milan , 1-0 , Messina
220 , Milan , 0-2 , Palermo
221 , Milan , 1-0 , Parma
222 , Milan , 3-1 , Reggina
223 , Milan , 1-2 , Roma
224 , Milan , 1-0 , Sampdoria
225 , Milan , 0-0 , Siena
226 , Milan , 0-0 , Torino
227 , Milan , 2-3 , Udinese
228 , Palermo , 4-0 , Ascoli
229 , Palermo , 2-3 , Atalanta
230 , Palermo , 1-3 , Cagliari
231 , Palermo , 5-3 , Catania
232 , Palermo , 1-1 , Chievo
233 , Palermo , 0-1 , Empoli
234 , Palermo , 1-1 , Fiorentina
235 , Palermo , 1-2 , Internazionale
236 , Palermo , 0-3 , Lazio
237 , Palermo , 3-0 , Livorno
238 , Palermo , 2-1 , Messina
239 , Palermo , 0-0 , Milan
240 , Palermo , 3-4 , Parma
241 , Palermo , 4-3 , Reggina
242 , Palermo , 1-2 , Roma
243 , Palermo , 2-0 , Sampdoria
244 , Palermo , 2-1 , Siena
245 , Palermo , 3-0 , Torino
246 , Palermo , 2-0 , Udinese
247 , Parma , 1-0 , Ascoli
248 , Parma , 3-1 , Atalanta
249 , Parma , 2-1 , Cagliari
250 , Parma , 1-1 , Catania
251 , Parma , 2-2 , Chievo
252 , Parma , 3-1 , Empoli
253 , Parma , 2-0 , Fiorentina
254 , Parma , 1-2 , Internazionale
255 , Parma , 1-3 , Lazio
256 , Parma , 1-0 , Livorno
257 , Parma , 4-1 , Messina
258 , Parma , 0-2 , Milan
259 , Parma , 0-0 , Palermo
260 , Parma , 2-2 , Reggina
261 , Parma , 0-4 , Roma
262 , Parma , 0-1 , Sampdoria
263 , Parma , 1-0 , Siena
264 , Parma , 1-0 , Torino
265 , Parma , 0-3 , Udinese
266 , Reggina , 2-1 , Ascoli
267 , Reggina , 1-1 , Atalanta
268 , Reggina , 2-1 , Cagliari
