0 , Arsenal , 1-1 , Aston Villa
1 , Arsenal , 1-1 , Birmingham City
2 , Arsenal , 2-0 , Blackburn Rovers
3 , Arsenal , 2-0 , Bolton Wanderers
4 , Arsenal , 1-0 , Chelsea
5 , Arsenal , 5-0 , Derby County
6 , Arsenal , 1-0 , Everton
7 , Arsenal , 2-1 , Fulham
8 , Arsenal , 1-1 , Liverpool
9 , Arsenal , 1-0 , Manchester City
10 , Arsenal , 2-2 , Manchester United
11 , Arsenal , 1-1 , Middlesbrough
12 , Arsenal , 3-0 , Newcastle United
13 , Arsenal , 3-1 , Portsmouth
14 , Arsenal , 2-0 , Reading
15 , Arsenal , 3-2 , Sunderland
16 , Arsenal , 2-1 , Tottenham Hotspur
17 , Arsenal , 2-0 , West Ham United
18 , Arsenal , 2-0 , Wigan Athletic
19 , Aston Villa , 1-2 , Arsenal
20 , Aston Villa , 5-1 , Birmingham City
21 , Aston Villa , 1-1 , Blackburn Rovers
22 , Aston Villa , 4-0 , Bolton Wanderers
23 , Aston Villa , 2-0 , Chelsea
24 , Aston Villa , 2-0 , Derby County
25 , Aston Villa , 2-0 , Everton
26 , Aston Villa , 2-1 , Fulham
27 , Aston Villa , 1-2 , Liverpool
28 , Aston Villa , 1-1 , Manchester City
29 , Aston Villa , 1-4 , Manchester United
30 , Aston Villa , 1-1 , Middlesbrough
31 , Aston Villa , 4-1 , Newcastle United
32 , Aston Villa , 1-3 , Portsmouth
33 , Aston Villa , 3-1 , Reading
34 , Aston Villa , 0-1 , Sunderland
35 , Aston Villa , 2-1 , Tottenham Hotspur
36 , Aston Villa , 1-0 , West Ham United
37 , Aston Villa , 0-2 , Wigan Athletic
38 , Birmingham City , 2-2 , Arsenal
39 , Birmingham City , 1-2 , Aston Villa
40 , Birmingham City , 4-1 , Blackburn Rovers
41 , Birmingham City , 1-0 , Bolton Wanderers
42 , Birmingham City , 0-1 , Chelsea
43 , Birmingham City , 1-1 , Derby County
44 , Birmingham City , 1-1 , Everton
45 , Birmingham City , 1-1 , Fulham
46 , Birmingham City , 2-2 , Liverpool
47 , Birmingham City , 3-1 , Manchester City
48 , Birmingham City , 0-1 , Manchester United
49 , Birmingham City , 3-0 , Middlesbrough
50 , Birmingham City , 1-1 , Newcastle United
51 , Birmingham City , 0-2 , Portsmouth
52 , Birmingham City , 1-1 , Reading
53 , Birmingham City , 2-2 , Sunderland
54 , Birmingham City , 4-1 , Tottenham Hotspur
55 , Birmingham City , 0-1 , West Ham United
56 , Birmingham City , 3-2 , Wigan Athletic
57 , Blackburn Rovers , 1-1 , Arsenal
58 , Blackburn Rovers , 0-4 , Aston Villa
59 , Blackburn Rovers , 2-1 , Birmingham City
60 , Blackburn Rovers , 4-1 , Bolton Wanderers
61 , Blackburn Rovers , 0-1 , Chelsea
62 , Blackburn Rovers , 3-1 , Derby County
63 , Blackburn Rovers , 0-0 , Everton
64 , Blackburn Rovers , 1-1 , Fulham
65 , Blackburn Rovers , 0-0 , Liverpool
66 , Blackburn Rovers , 1-0 , Manchester City
67 , Blackburn Rovers , 1-1 , Manchester United
68 , Blackburn Rovers , 1-1 , Middlesbrough
69 , Blackburn Rovers , 3-1 , Newcastle United
70 , Blackburn Rovers , 0-1 , Portsmouth
71 , Blackburn Rovers , 4-2 , Reading
