0 , Atalanta , 2-2 , Cagliari
1 , Atalanta , 0-0 , Catania
2 , Atalanta , 4-1 , Empoli
3 , Atalanta , 2-2 , Fiorentina
4 , Atalanta , 2-0 , Genoa
5 , Atalanta , 0-2 , Internazionale
6 , Atalanta , 0-4 , Juventus
7 , Atalanta , 2-1 , Lazio
8 , Atalanta , 3-2 , Livorno
9 , Atalanta , 2-1 , Milan
10 , Atalanta , 5-1 , Napoli
11 , Atalanta , 1-3 , Palermo
12 , Atalanta , 2-0 , Parma
13 , Atalanta , 2-2 , Reggina
14 , Atalanta , 1-2 , Roma
15 , Atalanta , 4-1 , Sampdoria
16 , Atalanta , 2-2 , Siena
17 , Atalanta , 2-2 , Torino
18 , Atalanta , 0-0 , Udinese
19 , Cagliari , 1-0 , Atalanta
20 , Cagliari , 1-1 , Catania
21 , Cagliari , 2-0 , Empoli
22 , Cagliari , 2-1 , Fiorentina
23 , Cagliari , 2-1 , Genoa
24 , Cagliari , 0-2 , Internazionale
25 , Cagliari , 2-3 , Juventus
26 , Cagliari , 1-0 , Lazio
27 , Cagliari , 0-0 , Livorno
28 , Cagliari , 1-2 , Milan
29 , Cagliari , 2-1 , Napoli
30 , Cagliari , 0-1 , Palermo
31 , Cagliari , 1-1 , Parma
32 , Cagliari , 2-2 , Reggina
33 , Cagliari , 1-1 , Roma
34 , Cagliari , 0-3 , Sampdoria
35 , Cagliari , 1-0 , Siena
36 , Cagliari , 3-0 , Torino
37 , Cagliari , 0-1 , Udinese
38 , Catania , 1-2 , Atalanta
39 , Catania , 2-1 , Cagliari
40 , Catania , 1-0 , Empoli
41 , Catania , 0-1 , Fiorentina
42 , Catania , 0-0 , Genoa
43 , Catania , 0-2 , Internazionale
44 , Catania , 1-1 , Juventus
45 , Catania , 1-0 , Lazio
46 , Catania , 1-0 , Livorno
47 , Catania , 1-1 , Milan
48 , Catania , 3-0 , Napoli
49 , Catania , 3-1 , Palermo
50 , Catania , 0-0 , Parma
51 , Catania , 1-2 , Reggina
52 , Catania , 1-1 , Roma
53 , Catania , 2-0 , Sampdoria
54 , Catania , 0-0 , Siena
55 , Catania , 1-2 , Torino
56 , Catania , 2-0 , Udinese
57 , Empoli , 0-1 , Atalanta
58 , Empoli , 4-1 , Cagliari
59 , Empoli , 2-0 , Catania
60 , Empoli , 0-2 , Fiorentina
61 , Empoli , 1-1 , Genoa
62 , Empoli , 0-2 , Internazionale
63 , Empoli , 0-0 , Juventus
64 , Empoli , 1-0 , Lazio
65 , Empoli , 2-1 , Livorno
66 , Empoli , 1-3 , Milan
67 , Empoli , 0-0 , Napoli
68 , Empoli , 3-1 , Palermo
69 , Empoli , 1-1 , Parma
70 , Empoli , 1-1 , Reggina
71 , Empoli , 2-2 , Roma
72 , Empoli , 0-2 , Sampdoria
73 , Empoli , 0-2 , Siena
74 , Empoli , 0-0 , Torino
75 , Empoli , 0-1 , Udinese
76 , Fiorentina , 2-2 , Atalanta
77 , Fiorentina , 5-1 , Cagliari
78 , Fiorentina , 2-1 , Catania
79 , Fiorentina , 3-1 , Empoli
80 , Fiorentina , 3-1 , Genoa
81 , Fiorentina , 0-2 , Internazionale
82 , Fiorentina , 1-1 , Juventus
83 , Fiorentina , 1-0 , Lazio
84 , Fiorentina , 1-0 , Livorno
85 , Fiorentina , 0-1 , Milan
86 , Fiorentina , 1-0 , Napoli
87 , Fiorentina , 1-0 , Palermo
88 , Fiorentina , 3-1 , Parma
89 , Fiorentina , 2-0 , Reggina
90 , Fiorentina , 2-2 , Roma
91 , Fiorentina , 2-2 , Sampdoria
92 , Fiorentina , 3-0 , Siena
93 , Fiorentina , 2-1 , Torino
94 , Fiorentina , 1-2 , Udinese
95 , Genoa , 2-1 , Atalanta
96 , Genoa , 2-0 , Cagliari
97 , Genoa , 2-1 , Catania
98 , Genoa , 0-1 , Empoli
99 , Genoa , 0-0 , Fiorentina
100 , Genoa , 1-1 , Internazionale
101 , Genoa , 0-2 , Juventus
102 , Genoa , 0-2 , Lazio
103 , Genoa , 1-1 , Livorno
104 , Genoa , 0-3 , Milan
105 , Genoa , 2-0 , Napoli
106 , Genoa , 3-3 , Palermo
107 , Genoa , 1-0 , Parma
108 , Genoa , 2-0 , Reggina
109 , Genoa , 0-1 , Roma
110 , Genoa , 0-1 , Sampdoria
111 , Genoa , 1-3 , Siena
112 , Genoa , 3-0 , Torino
113 , Genoa , 3-2 , Udinese
114 , Internazionale , 2-1 , Atalanta
115 , Internazionale , 2-1 , Cagliari
116 , Internazionale , 2-0 , Catania
117 , Internazionale , 1-0 , Empoli
118 , Internazionale , 2-0 , Fiorentina
119 , Internazionale , 4-1 , Genoa
120 , Internazionale , 1-2 , Juventus
121 , Internazionale , 3-0 , Lazio
122 , Internazionale , 2-0 , Livorno
123 , Internazionale , 2-1 , Milan
124 , Internazionale , 2-1 , Napoli
125 , Internazionale , 2-1 , Palermo
126 , Internazionale , 3-2 , Parma
127 , Internazionale , 2-0 , Reggina
128 , Internazionale , 1-1 , Roma
129 , Internazionale , 3-0 , Sampdoria
130 , Internazionale , 2-2 , Siena
131 , Internazionale , 4-0 , Torino
132 , Internazionale , 1-1 , Udinese
133 , Juventus , 1-0 , Atalanta
134 , Juventus , 1-1 , Cagliari
135 , Juventus , 1-1 , Catania
136 , Juventus , 3-0 , Empoli
137 , Juventus , 2-3 , Fiorentina
138 , Juventus , 1-0 , Genoa
139 , Juventus , 1-1 , Internazionale
140 , Juventus , 5-2 , Lazio
141 , Juventus , 5-1 , Livorno
142 , Juventus , 3-2 , Milan
143 , Juventus , 1-0 , Napoli
144 , Juventus , 5-0 , Palermo
145 , Juventus , 3-0 , Parma
146 , Juventus , 4-0 , Reggina
147 , Juventus , 1-0 , Roma
148 , Juventus , 0-0 , Sampdoria
149 , Juventus , 2-0 , Siena
150 , Juventus , 0-0 , Torino
151 , Juventus , 0-1 , Udinese
152 , Lazio , 3-0 , Atalanta
153 , Lazio , 3-1 , Cagliari
154 , Lazio , 2-0 , Catania
155 , Lazio , 0-0 , Empoli
156 , Lazio , 0-1 , Fiorentina
157 , Lazio , 1-2 , Genoa
158 , Lazio , 1-1 , Internazionale
159 , Lazio , 2-3 , Juventus
160 , Lazio , 2-0 , Livorno
161 , Lazio , 1-0 , Milan
162 , Lazio , 2-1 , Napoli
163 , Lazio , 1-2 , Palermo
164 , Lazio , 1-0 , Parma
165 , Lazio , 1-0 , Reggina
166 , Lazio , 3-2 , Roma
167 , Lazio , 2-1 , Sampdoria
168 , Lazio , 1-1 , Siena
169 , Lazio , 2-2 , Torino
170 , Lazio , 0-1 , Udinese
171 , Livorno , 1-1 , Atalanta
172 , Livorno , 1-2 , Cagliari
173 , Livorno , 1-0 , Catania
174 , Livorno , 1-0 , Empoli
175 , Livorno , 0-3 , Fiorentina
176 , Livorno , 1-1 , Genoa
