0 , Hertha BSC , 1-1 , Arminia Bielefeld
1 , Hertha BSC , 2-0 , VfL Bochum
2 , Hertha BSC , 2-1 , Werder Bremen
3 , Hertha BSC , 0-1 , Energie Cottbus
4 , Hertha BSC , 1-3 , Borussia Dortmund
5 , Hertha BSC , 2-1 , Eintracht Frankfurt
6 , Hertha BSC , 2-1 , Hamburger SV
7 , Hertha BSC , 3-0 , Hannover 96
8 , Hertha BSC , 1-0 , 1899 Hoffenheim
9 , Hertha BSC , 4-0 , Karlsruher SC
10 , Hertha BSC , 2-1 , 1. FC Köln
11 , Hertha BSC , 1-0 , Bayer Leverkusen
12 , Hertha BSC , 2-1 , Borussia Mönchengladbach
13 , Hertha BSC , 2-1 , Bayern Munich
14 , Hertha BSC , 0-0 , Schalke 04
15 , Hertha BSC , 2-1 , VfB Stuttgart
16 , Hertha BSC , 2-2 , VfL Wolfsburg
17 , Arminia Bielefeld , 1-1 , Hertha BSC
18 , Arminia Bielefeld , 1-1 , VfL Bochum
19 , Arminia Bielefeld , 2-2 , Werder Bremen
20 , Arminia Bielefeld , 1-1 , Energie Cottbus
21 , Arminia Bielefeld , 0-0 , Borussia Dortmund
22 , Arminia Bielefeld , 0-0 , Eintracht Frankfurt
23 , Arminia Bielefeld , 2-4 , Hamburger SV
24 , Arminia Bielefeld , 2-2 , Hannover 96
25 , Arminia Bielefeld , 0-2 , 1899 Hoffenheim
26 , Arminia Bielefeld , 1-2 , Karlsruher SC
27 , Arminia Bielefeld , 2-0 , 1. FC Köln
28 , Arminia Bielefeld , 2-1 , Bayer Leverkusen
29 , Arminia Bielefeld , 0-2 , Borussia Mönchengladbach
30 , Arminia Bielefeld , 0-1 , Bayern Munich
31 , Arminia Bielefeld , 0-2 , Schalke 04
32 , Arminia Bielefeld , 2-2 , VfB Stuttgart
33 , Arminia Bielefeld , 0-3 , VfL Wolfsburg
34 , VfL Bochum , 2-3 , Hertha BSC
35 , VfL Bochum , 2-0 , Arminia Bielefeld
36 , VfL Bochum , 0-0 , Werder Bremen
37 , VfL Bochum , 3-2 , Energie Cottbus
38 , VfL Bochum , 0-2 , Borussia Dortmund
39 , VfL Bochum , 2-0 , Eintracht Frankfurt
40 , VfL Bochum , 1-1 , Hamburger SV
41 , VfL Bochum , 0-2 , Hannover 96
42 , VfL Bochum , 1-3 , 1899 Hoffenheim
43 , VfL Bochum , 2-0 , Karlsruher SC
44 , VfL Bochum , 1-2 , 1. FC Köln
45 , VfL Bochum , 2-3 , Bayer Leverkusen
46 , VfL Bochum , 2-2 , Borussia Mönchengladbach
47 , VfL Bochum , 0-3 , Bayern Munich
48 , VfL Bochum , 2-1 , Schalke 04
49 , VfL Bochum , 1-2 , VfB Stuttgart
50 , VfL Bochum , 2-2 , VfL Wolfsburg
51 , Werder Bremen , 5-1 , Hertha BSC
52 , Werder Bremen , 1-2 , Arminia Bielefeld
53 , Werder Bremen , 3-2 , VfL Bochum
54 , Werder Bremen , 3-0 , Energie Cottbus
55 , Werder Bremen , 3-3 , Borussia Dortmund
56 , Werder Bremen , 5-0 , Eintracht Frankfurt
57 , Werder Bremen , 2-0 , Hamburger SV
58 , Werder Bremen , 4-1 , Hannover 96
59 , Werder Bremen , 5-4 , 1899 Hoffenheim
60 , Werder Bremen , 1-3 , Karlsruher SC
61 , Werder Bremen , 3-1 , 1. FC Köln
62 , Werder Bremen , 0-2 , Bayer Leverkusen
63 , Werder Bremen , 1-1 , Borussia Mönchengladbach
64 , Werder Bremen , 0-0 , Bayern Munich
65 , Werder Bremen , 1-1 , Schalke 04
66 , Werder Bremen , 4-0 , VfB Stuttgart
67 , Werder Bremen , 2-1 , VfL Wolfsburg
68 , Energie Cottbus , 1-3 , Hertha BSC
69 , Energie Cottbus , 2-1 , Arminia Bielefeld
70 , Energie Cottbus , 1-1 , VfL Bochum
71 , Energie Cottbus , 2-1 , Werder Bremen
72 , Energie Cottbus , 0-1 , Borussia Dortmund
73 , Energie Cottbus , 2-3 , Eintracht Frankfurt
74 , Energie Cottbus , 1-2 , Hamburger SV
75 , Energie Cottbus , 3-1 , Hannover 96
76 , Energie Cottbus , 0-3 , 1899 Hoffenheim
77 , Energie Cottbus , 1-0 , Karlsruher SC
78 , Energie Cottbus , 0-2 , 1. FC Köln
79 , Energie Cottbus , 3-0 , Bayer Leverkusen
80 , Energie Cottbus , 0-1 , Borussia Mönchengladbach
81 , Energie Cottbus , 1-3 , Bayern Munich
82 , Energie Cottbus , 0-2 , Schalke 04
83 , Energie Cottbus , 0-3 , VfB Stuttgart
84 , Energie Cottbus , 2-0 , VfL Wolfsburg
85 , Borussia Dortmund , 1-1 , Hertha BSC
86 , Borussia Dortmund , 6-0 , Arminia Bielefeld
87 , Borussia Dortmund , 1-1 , VfL Bochum
88 , Borussia Dortmund , 1-0 , Werder Bremen
89 , Borussia Dortmund , 1-1 , Energie Cottbus
90 , Borussia Dortmund , 4-0 , Eintracht Frankfurt
91 , Borussia Dortmund , 2-0 , Hamburger SV
92 , Borussia Dortmund , 1-1 , Hannover 96
93 , Borussia Dortmund , 0-0 , 1899 Hoffenheim
94 , Borussia Dortmund , 4-0 , Karlsruher SC
95 , Borussia Dortmund , 3-1 , 1. FC Köln
96 , Borussia Dortmund , 1-1 , Bayer Leverkusen
97 , Borussia Dortmund , 2-1 , Borussia Mönchengladbach
98 , Borussia Dortmund , 1-1 , Bayern Munich
99 , Borussia Dortmund , 3-3 , Schalke 04
100 , Borussia Dortmund , 3-0 , VfB Stuttgart
101 , Borussia Dortmund , 0-0 , VfL Wolfsburg
102 , Eintracht Frankfurt , 0-2 , Hertha BSC
103 , Eintracht Frankfurt , 1-1 , Arminia Bielefeld
104 , Eintracht Frankfurt , 4-0 , VfL Bochum
105 , Eintracht Frankfurt , 0-5 , Werder Bremen
106 , Eintracht Frankfurt , 2-1 , Energie Cottbus
107 , Eintracht Frankfurt , 0-2 , Borussia Dortmund
108 , Eintracht Frankfurt , 2-3 , Hamburger SV
109 , Eintracht Frankfurt , 4-0 , Hannover 96
110 , Eintracht Frankfurt , 1-1 , 1899 Hoffenheim
111 , Eintracht Frankfurt , 2-1 , Karlsruher SC
112 , Eintracht Frankfurt , 2-2 , 1. FC Köln
113 , Eintracht Frankfurt , 0-2 , Bayer Leverkusen
114 , Eintracht Frankfurt , 4-1 , Borussia Mönchengladbach
