0 , Auxerre , 1-0 , Bordeaux
1 , Auxerre , 0-0 , Boulogne
2 , Auxerre , 2-0 , Grenoble
3 , Auxerre , 2-1 , Le Mans
4 , Auxerre , 0-0 , Lens
5 , Auxerre , 3-2 , Lille
6 , Auxerre , 4-1 , Lorient
7 , Auxerre , 0-3 , Lyon
8 , Auxerre , 0-0 , Marseille
9 , Auxerre , 2-0 , Monaco
10 , Auxerre , 2-1 , Montpellier
11 , Auxerre , 1-3 , Nancy
12 , Auxerre , 2-0 , Nice
13 , Auxerre , 1-1 , Paris Saint-Germain
14 , Auxerre , 1-0 , Rennes
15 , Auxerre , 1-0 , Saint-Étienne
16 , Auxerre , 0-1 , Sochaux
17 , Auxerre , 1-1 , Toulouse
18 , Auxerre , 1-0 , Valenciennes
19 , Bordeaux , 1-2 , Auxerre
20 , Bordeaux , 0-0 , Boulogne
21 , Bordeaux , 1-0 , Grenoble
22 , Bordeaux , 3-0 , Le Mans
23 , Bordeaux , 4-1 , Lens
24 , Bordeaux , 3-1 , Lille
25 , Bordeaux , 4-1 , Lorient
26 , Bordeaux , 2-2 , Lyon
27 , Bordeaux , 1-1 , Marseille
28 , Bordeaux , 1-0 , Monaco
29 , Bordeaux , 1-1 , Montpellier
30 , Bordeaux , 1-2 , Nancy
31 , Bordeaux , 4-0 , Nice
32 , Bordeaux , 1-0 , Paris Saint-Germain
33 , Bordeaux , 1-0 , Rennes
34 , Bordeaux , 3-1 , Saint-Étienne
35 , Bordeaux , 2-0 , Sochaux
36 , Bordeaux , 1-0 , Toulouse
37 , Bordeaux , 0-1 , Valenciennes
38 , Boulogne , 0-0 , Auxerre
39 , Boulogne , 0-2 , Bordeaux
40 , Boulogne , 2-1 , Grenoble
41 , Boulogne , 1-3 , Le Mans
42 , Boulogne , 2-1 , Lens
43 , Boulogne , 2-3 , Lille
44 , Boulogne , 2-0 , Lorient
45 , Boulogne , 0-0 , Lyon
46 , Boulogne , 1-2 , Marseille
47 , Boulogne , 1-3 , Monaco
48 , Boulogne , 0-2 , Montpellier
49 , Boulogne , 1-2 , Nancy
50 , Boulogne , 3-3 , Nice
51 , Boulogne , 2-5 , Paris Saint-Germain
52 , Boulogne , 1-0 , Rennes
53 , Boulogne , 0-1 , Saint-Étienne
54 , Boulogne , 0-0 , Sochaux
55 , Boulogne , 1-1 , Toulouse
56 , Boulogne , 0-2 , Valenciennes
57 , Grenoble , 5-0 , Auxerre
58 , Grenoble , 1-3 , Bordeaux
59 , Grenoble , 2-0 , Boulogne
60 , Grenoble , 1-1 , Le Mans
61 , Grenoble , 1-2 , Lens
62 , Grenoble , 0-2 , Lille
63 , Grenoble , 1-2 , Lorient
64 , Grenoble , 1-1 , Lyon
65 , Grenoble , 0-2 , Marseille
66 , Grenoble , 0-0 , Monaco
67 , Grenoble , 2-3 , Montpellier
68 , Grenoble , 1-2 , Nancy
69 , Grenoble , 1-1 , Nice
70 , Grenoble , 4-0 , Paris Saint-Germain
71 , Grenoble , 0-4 , Rennes
72 , Grenoble , 1-2 , Saint-Étienne
