0 , Ajaccio , 2-1 , Auxerre
1 , Ajaccio , 0-2 , Bordeaux
2 , Ajaccio , 0-0 , Brest
3 , Ajaccio , 2-2 , Caen
4 , Ajaccio , 2-1 , Dijon
5 , Ajaccio , 1-1 , Evian
6 , Ajaccio , 2-3 , Lille
7 , Ajaccio , 1-1 , Lorient
8 , Ajaccio , 1-1 , Lyon
9 , Ajaccio , 1-0 , Marseille
10 , Ajaccio , 1-3 , Montpellier
11 , Ajaccio , 0-0 , Nancy
12 , Ajaccio , 1-1 , Nice
13 , Ajaccio , 1-3 , Paris Saint-Germain
14 , Ajaccio , 1-0 , Rennes
15 , Ajaccio , 1-1 , Saint-Étienne
16 , Ajaccio , 2-1 , Sochaux
17 , Ajaccio , 0-2 , Toulouse
18 , Ajaccio , 3-1 , Valenciennes
19 , Auxerre , 4-1 , Ajaccio
20 , Auxerre , 2-4 , Bordeaux
21 , Auxerre , 4-0 , Brest
22 , Auxerre , 1-1 , Caen
23 , Auxerre , 2-2 , Dijon
24 , Auxerre , 0-2 , Evian
25 , Auxerre , 1-3 , Lille
26 , Auxerre , 1-1 , Lorient
27 , Auxerre , 0-3 , Lyon
28 , Auxerre , 2-2 , Marseille
29 , Auxerre , 1-2 , Montpellier
30 , Auxerre , 1-3 , Nancy
31 , Auxerre , 2-1 , Nice
32 , Auxerre , 1-1 , Paris Saint-Germain
33 , Auxerre , 0-1 , Rennes
34 , Auxerre , 0-0 , Saint-Étienne
35 , Auxerre , 4-1 , Sochaux
36 , Auxerre , 2-0 , Toulouse
37 , Auxerre , 2-0 , Valenciennes
38 , Bordeaux , 1-1 , Ajaccio
39 , Bordeaux , 1-1 , Auxerre
40 , Bordeaux , 1-1 , Brest
41 , Bordeaux , 2-0 , Caen
42 , Bordeaux , 1-1 , Dijon
43 , Bordeaux , 0-0 , Evian
44 , Bordeaux , 1-1 , Lille
45 , Bordeaux , 1-0 , Lorient
46 , Bordeaux , 1-0 , Lyon
47 , Bordeaux , 2-1 , Marseille
48 , Bordeaux , 2-2 , Montpellier
49 , Bordeaux , 2-0 , Nancy
50 , Bordeaux , 1-2 , Nice
51 , Bordeaux , 1-1 , Paris Saint-Germain
52 , Bordeaux , 2-0 , Rennes
53 , Bordeaux , 1-2 , Saint-Étienne
54 , Bordeaux , 1-0 , Sochaux
55 , Bordeaux , 2-0 , Toulouse
56 , Bordeaux , 2-1 , Valenciennes
57 , Brest , 1-1 , Ajaccio
58 , Brest , 1-0 , Auxerre
59 , Brest , 0-2 , Bordeaux
60 , Brest , 1-1 , Caen
61 , Brest , 1-1 , Dijon
62 , Brest , 2-2 , Evian
63 , Brest , 3-1 , Lille
64 , Brest , 3-1 , Lorient
65 , Brest , 1-1 , Lyon
66 , Brest , 1-0 , Marseille
67 , Brest , 2-2 , Montpellier
68 , Brest , 0-1 , Nancy
69 , Brest , 1-0 , Nice
70 , Brest , 0-1 , Paris Saint-Germain
71 , Brest , 0-1 , Rennes
72 , Brest , 2-2 , Saint-Étienne
73 , Brest , 2-0 , Sochaux
74 , Brest , 0-0 , Toulouse
75 , Brest , 1-0 , Valenciennes
76 , Caen , 0-0 , Ajaccio
77 , Caen , 2-1 , Auxerre
78 , Caen , 1-0 , Bordeaux
79 , Caen , 0-0 , Brest
80 , Caen , 3-0 , Dijon
81 , Caen , 2-2 , Evian
82 , Caen , 1-2 , Lille
83 , Caen , 1-0 , Lorient
84 , Caen , 1-0 , Lyon
85 , Caen , 1-2 , Marseille
86 , Caen , 1-3 , Montpellier
87 , Caen , 1-2 , Nancy
88 , Caen , 1-1 , Nice
89 , Caen , 2-2 , Paris Saint-Germain
90 , Caen , 0-2 , Rennes
91 , Caen , 1-4 , Saint-Étienne
92 , Caen , 1-3 , Sochaux
93 , Caen , 0-1 , Toulouse
94 , Caen , 1-0 , Valenciennes
95 , Dijon , 1-1 , Ajaccio
96 , Dijon , 0-2 , Auxerre
97 , Dijon , 2-0 , Bordeaux
98 , Dijon , 1-0 , Brest
99 , Dijon , 2-0 , Caen
100 , Dijon , 3-1 , Evian
101 , Dijon , 0-2 , Lille
102 , Dijon , 2-0 , Lorient
103 , Dijon , 1-2 , Lyon
104 , Dijon , 2-3 , Marseille
105 , Dijon , 1-1 , Montpellier
106 , Dijon , 0-2 , Nancy
107 , Dijon , 3-0 , Nice
108 , Dijon , 1-2 , Paris Saint-Germain
109 , Dijon , 1-5 , Rennes
110 , Dijon , 1-2 , Saint-Étienne
111 , Dijon , 0-0 , Sochaux
112 , Dijon , 1-1 , Toulouse
113 , Dijon , 1-2 , Valenciennes
114 , Evian , 2-1 , Ajaccio
115 , Evian , 3-1 , Auxerre
116 , Evian , 0-0 , Bordeaux
117 , Evian , 0-1 , Brest
118 , Evian , 2-4 , Caen
119 , Evian , 0-1 , Dijon
120 , Evian , 0-3 , Lille
121 , Evian , 2-1 , Lorient
122 , Evian , 1-3 , Lyon
123 , Evian , 2-0 , Marseille
124 , Evian , 4-2 , Montpellier
125 , Evian , 2-0 , Nancy
126 , Evian , 1-0 , Nice
127 , Evian , 2-2 , Paris Saint-Germain
128 , Evian , 1-3 , Rennes
129 , Evian , 1-2 , Saint-Étienne
130 , Evian , 2-3 , Sochaux
131 , Evian , 2-1 , Toulouse
132 , Evian , 2-1 , Valenciennes
