0 , FC Augsburg , 2-2 , Bayer Leverkusen
1 , FC Augsburg , 0-4 , Bayern Munich
2 , FC Augsburg , 2-3 , Borussia Dortmund
3 , FC Augsburg , 2-1 , Borussia Mönchengladbach
4 , FC Augsburg , 2-2 , Eintracht Frankfurt
5 , FC Augsburg , 2-0 , SC Freiburg
6 , FC Augsburg , 3-1 , Hamburger SV
7 , FC Augsburg , 1-2 , Hannover 96
8 , FC Augsburg , 1-0 , Hertha BSC
9 , FC Augsburg , 3-1 , 1899 Hoffenheim
10 , FC Augsburg , 0-0 , 1. FC Köln
11 , FC Augsburg , 0-2 , Mainz 05
12 , FC Augsburg , 3-0 , SC Paderborn
13 , FC Augsburg , 0-0 , Schalke 04
14 , FC Augsburg , 2-1 , VfB Stuttgart
15 , FC Augsburg , 4-2 , Werder Bremen
16 , FC Augsburg , 1-0 , VfL Wolfsburg
17 , Bayer Leverkusen , 1-0 , FC Augsburg
18 , Bayer Leverkusen , 2-0 , Bayern Munich
19 , Bayer Leverkusen , 0-0 , Borussia Dortmund
20 , Bayer Leverkusen , 1-1 , Borussia Mönchengladbach
21 , Bayer Leverkusen , 1-1 , Eintracht Frankfurt
22 , Bayer Leverkusen , 1-0 , SC Freiburg
23 , Bayer Leverkusen , 4-0 , Hamburger SV
24 , Bayer Leverkusen , 4-0 , Hannover 96
25 , Bayer Leverkusen , 4-2 , Hertha BSC
26 , Bayer Leverkusen , 2-0 , 1899 Hoffenheim
27 , Bayer Leverkusen , 5-1 , 1. FC Köln
28 , Bayer Leverkusen , 0-0 , Mainz 05
29 , Bayer Leverkusen , 2-2 , SC Paderborn
30 , Bayer Leverkusen , 1-0 , Schalke 04
31 , Bayer Leverkusen , 4-0 , VfB Stuttgart
32 , Bayer Leverkusen , 3-3 , Werder Bremen
33 , Bayer Leverkusen , 4-5 , VfL Wolfsburg
34 , Bayern Munich , 0-1 , FC Augsburg
35 , Bayern Munich , 1-0 , Bayer Leverkusen
36 , Bayern Munich , 2-1 , Borussia Dortmund
37 , Bayern Munich , 0-2 , Borussia Mönchengladbach
38 , Bayern Munich , 3-0 , Eintracht Frankfurt
39 , Bayern Munich , 2-0 , SC Freiburg
40 , Bayern Munich , 8-0 , Hamburger SV
41 , Bayern Munich , 4-0 , Hannover 96
42 , Bayern Munich , 1-0 , Hertha BSC
43 , Bayern Munich , 4-0 , 1899 Hoffenheim
44 , Bayern Munich , 4-1 , 1. FC Köln
45 , Bayern Munich , 2-0 , Mainz 05
46 , Bayern Munich , 4-0 , SC Paderborn
47 , Bayern Munich , 1-1 , Schalke 04
48 , Bayern Munich , 2-0 , VfB Stuttgart
49 , Bayern Munich , 6-0 , Werder Bremen
50 , Bayern Munich , 2-1 , VfL Wolfsburg
51 , Borussia Dortmund , 0-1 , FC Augsburg
52 , Borussia Dortmund , 0-2 , Bayer Leverkusen
53 , Borussia Dortmund , 0-1 , Bayern Munich
54 , Borussia Dortmund , 1-0 , Borussia Mönchengladbach
55 , Borussia Dortmund , 2-0 , Eintracht Frankfurt
56 , Borussia Dortmund , 3-1 , SC Freiburg
57 , Borussia Dortmund , 0-1 , Hamburger SV
58 , Borussia Dortmund , 0-1 , Hannover 96
59 , Borussia Dortmund , 2-0 , Hertha BSC
60 , Borussia Dortmund , 1-0 , 1899 Hoffenheim
61 , Borussia Dortmund , 0-0 , 1. FC Köln
62 , Borussia Dortmund , 4-2 , Mainz 05
63 , Borussia Dortmund , 3-0 , SC Paderborn
64 , Borussia Dortmund , 3-0 , Schalke 04
65 , Borussia Dortmund , 2-2 , VfB Stuttgart
66 , Borussia Dortmund , 3-2 , Werder Bremen
67 , Borussia Dortmund , 2-2 , VfL Wolfsburg
68 , Borussia Mönchengladbach , 1-3 , FC Augsburg
69 , Borussia Mönchengladbach , 3-0 , Bayer Leverkusen
70 , Borussia Mönchengladbach , 0-0 , Bayern Munich
71 , Borussia Mönchengladbach , 3-1 , Borussia Dortmund
72 , Borussia Mönchengladbach , 1-3 , Eintracht Frankfurt
73 , Borussia Mönchengladbach , 1-0 , SC Freiburg
74 , Borussia Mönchengladbach , 1-0 , Hamburger SV
75 , Borussia Mönchengladbach , 2-0 , Hannover 96
76 , Borussia Mönchengladbach , 3-2 , Hertha BSC
77 , Borussia Mönchengladbach , 3-1 , 1899 Hoffenheim
78 , Borussia Mönchengladbach , 1-0 , 1. FC Köln
79 , Borussia Mönchengladbach , 1-1 , Mainz 05
80 , Borussia Mönchengladbach , 2-0 , SC Paderborn
81 , Borussia Mönchengladbach , 4-1 , Schalke 04
82 , Borussia Mönchengladbach , 1-1 , VfB Stuttgart
83 , Borussia Mönchengladbach , 4-1 , Werder Bremen
84 , Borussia Mönchengladbach , 1-0 , VfL Wolfsburg
85 , Eintracht Frankfurt , 0-1 , FC Augsburg
86 , Eintracht Frankfurt , 2-1 , Bayer Leverkusen
87 , Eintracht Frankfurt , 0-4 , Bayern Munich
88 , Eintracht Frankfurt , 2-0 , Borussia Dortmund
89 , Eintracht Frankfurt , 0-0 , Borussia Mönchengladbach
90 , Eintracht Frankfurt , 1-0 , SC Freiburg
91 , Eintracht Frankfurt , 2-1 , Hamburger SV
92 , Eintracht Frankfurt , 2-2 , Hannover 96
93 , Eintracht Frankfurt , 4-4 , Hertha BSC
94 , Eintracht Frankfurt , 3-1 , 1899 Hoffenheim
95 , Eintracht Frankfurt , 3-2 , 1. FC Köln
96 , Eintracht Frankfurt , 2-2 , Mainz 05
97 , Eintracht Frankfurt , 4-0 , SC Paderborn
98 , Eintracht Frankfurt , 1-0 , Schalke 04
99 , Eintracht Frankfurt , 4-5 , VfB Stuttgart
100 , Eintracht Frankfurt , 5-2 , Werder Bremen
101 , Eintracht Frankfurt , 1-1 , VfL Wolfsburg
102 , SC Freiburg , 2-0 , FC Augsburg
103 , SC Freiburg , 0-0 , Bayer Leverkusen
104 , SC Freiburg , 2-1 , Bayern Munich
105 , SC Freiburg , 0-3 , Borussia Dortmund
106 , SC Freiburg , 0-0 , Borussia Mönchengladbach
107 , SC Freiburg , 4-1 , Eintracht Frankfurt
108 , SC Freiburg , 0-0 , Hamburger SV
109 , SC Freiburg , 2-2 , Hannover 96
110 , SC Freiburg , 2-2 , Hertha BSC
111 , SC Freiburg , 1-1 , 1899 Hoffenheim
112 , SC Freiburg , 1-0 , 1. FC Köln
113 , SC Freiburg , 2-3 , Mainz 05
114 , SC Freiburg , 1-2 , SC Paderborn
115 , SC Freiburg , 2-0 , Schalke 04
116 , SC Freiburg , 1-4 , VfB Stuttgart
117 , SC Freiburg , 0-1 , Werder Bremen
118 , SC Freiburg , 1-2 , VfL Wolfsburg
119 , Hamburger SV , 3-2 , FC Augsburg
120 , Hamburger SV , 1-0 , Bayer Leverkusen
121 , Hamburger SV , 0-0 , Bayern Munich
122 , Hamburger SV , 0-0 , Borussia Dortmund
123 , Hamburger SV , 1-1 , Borussia Mönchengladbach
124 , Hamburger SV , 1-2 , Eintracht Frankfurt
125 , Hamburger SV , 1-1 , SC Freiburg
126 , Hamburger SV , 2-1 , Hannover 96
127 , Hamburger SV , 0-1 , Hertha BSC
128 , Hamburger SV , 1-1 , 1899 Hoffenheim
129 , Hamburger SV , 0-2 , 1. FC Köln
130 , Hamburger SV , 2-1 , Mainz 05
131 , Hamburger SV , 0-3 , SC Paderborn
132 , Hamburger SV , 2-0 , Schalke 04
133 , Hamburger SV , 0-1 , VfB Stuttgart
134 , Hamburger SV , 2-0 , Werder Bremen
135 , Hamburger SV , 0-2 , VfL Wolfsburg
136 , Hannover 96 , 2-0 , FC Augsburg
137 , Hannover 96 , 1-3 , Bayer Leverkusen
138 , Hannover 96 , 1-3 , Bayern Munich
139 , Hannover 96 , 2-3 , Borussia Dortmund
140 , Hannover 96 , 0-3 , Borussia Mönchengladbach
141 , Hannover 96 , 1-0 , Eintracht Frankfurt
142 , Hannover 96 , 2-1 , SC Freiburg
143 , Hannover 96 , 2-0 , Hamburger SV
144 , Hannover 96 , 1-1 , Hertha BSC
145 , Hannover 96 , 1-2 , 1899 Hoffenheim
146 , Hannover 96 , 1-0 , 1. FC Köln
147 , Hannover 96 , 1-1 , Mainz 05
148 , Hannover 96 , 1-2 , SC Paderborn
149 , Hannover 96 , 2-1 , Schalke 04
150 , Hannover 96 , 1-1 , VfB Stuttgart
151 , Hannover 96 , 1-1 , Werder Bremen
152 , Hannover 96 , 1-3 , VfL Wolfsburg
153 , Hertha BSC , 1-0 , FC Augsburg
154 , Hertha BSC , 0-1 , Bayer Leverkusen
155 , Hertha BSC , 0-1 , Bayern Munich
156 , Hertha BSC , 1-0 , Borussia Dortmund
157 , Hertha BSC , 1-2 , Borussia Mönchengladbach
158 , Hertha BSC , 0-0 , Eintracht Frankfurt
159 , Hertha BSC , 0-2 , SC Freiburg
160 , Hertha BSC , 3-0 , Hamburger SV
161 , Hertha BSC , 0-2 , Hannover 96
162 , Hertha BSC , 0-5 , 1899 Hoffenheim
163 , Hertha BSC , 0-0 , 1. FC Köln
164 , Hertha BSC , 1-3 , Mainz 05
165 , Hertha BSC , 2-0 , SC Paderborn
166 , Hertha BSC , 2-2 , Schalke 04
167 , Hertha BSC , 3-2 , VfB Stuttgart
168 , Hertha BSC , 2-2 , Werder Bremen
169 , Hertha BSC , 1-0 , VfL Wolfsburg
170 , 1899 Hoffenheim , 2-0 , FC Augsburg
171 , 1899 Hoffenheim , 0-1 , Bayer Leverkusen
172 , 1899 Hoffenheim , 0-2 , Bayern Munich
173 , 1899 Hoffenheim , 1-1 , Borussia Dortmund
174 , 1899 Hoffenheim , 1-4 , Borussia Mönchengladbach
175 , 1899 Hoffenheim , 3-2 , Eintracht Frankfurt
176 , 1899 Hoffenheim , 3-3 , SC Freiburg
177 , 1899 Hoffenheim , 3-0 , Hamburger SV
178 , 1899 Hoffenheim , 4-3 , Hannover 96
179 , 1899 Hoffenheim , 2-1 , Hertha BSC
180 , 1899 Hoffenheim , 3-4 , 1. FC Köln
181 , 1899 Hoffenheim , 2-0 , Mainz 05
182 , 1899 Hoffenheim , 1-0 , SC Paderborn
183 , 1899 Hoffenheim , 2-1 , Schalke 04
184 , 1899 Hoffenheim , 2-1 , VfB Stuttgart
185 , 1899 Hoffenheim , 1-2 , Werder Bremen
186 , 1899 Hoffenheim , 1-1 , VfL Wolfsburg
187 , 1. FC Köln , 1-2 , FC Augsburg
188 , 1. FC Köln , 1-1 , Bayer Leverkusen
189 , 1. FC Köln , 0-2 , Bayern Munich
190 , 1. FC Köln , 2-1 , Borussia Dortmund
191 , 1. FC Köln , 0-0 , Borussia Mönchengladbach
192 , 1. FC Köln , 4-2 , Eintracht Frankfurt
193 , 1. FC Köln , 0-1 , SC Freiburg
194 , 1. FC Köln , 0-0 , Hamburger SV
195 , 1. FC Köln , 1-1 , Hannover 96
196 , 1. FC Köln , 1-2 , Hertha BSC
197 , 1. FC Köln , 3-2 , 1899 Hoffenheim
198 , 1. FC Köln , 0-0 , Mainz 05
199 , 1. FC Köln , 0-0 , SC Paderborn
200 , 1. FC Köln , 2-0 , Schalke 04
201 , 1. FC Köln , 0-0 , VfB Stuttgart
202 , 1. FC Köln , 1-1 , Werder Bremen
203 , 1. FC Köln , 2-2 , VfL Wolfsburg
204 , Mainz 05 , 2-1 , FC Augsburg
205 , Mainz 05 , 2-3 , Bayer Leverkusen
206 , Mainz 05 , 1-2 , Bayern Munich
207 , Mainz 05 , 2-0 , Borussia Dortmund
208 , Mainz 05 , 2-2 , Borussia Mönchengladbach
209 , Mainz 05 , 3-1 , Eintracht Frankfurt
210 , Mainz 05 , 2-2 , SC Freiburg
211 , Mainz 05 , 1-2 , Hamburger SV
212 , Mainz 05 , 0-0 , Hannover 96
213 , Mainz 05 , 0-2 , Hertha BSC
214 , Mainz 05 , 0-0 , 1899 Hoffenheim
215 , Mainz 05 , 2-0 , 1. FC Köln
216 , Mainz 05 , 5-0 , SC Paderborn
217 , Mainz 05 , 2-0 , Schalke 04
218 , Mainz 05 , 1-1 , VfB Stuttgart
219 , Mainz 05 , 1-2 , Werder Bremen
220 , Mainz 05 , 1-1 , VfL Wolfsburg
221 , SC Paderborn , 2-1 , FC Augsburg
222 , SC Paderborn , 0-3 , Bayer Leverkusen
223 , SC Paderborn , 0-6 , Bayern Munich
224 , SC Paderborn , 2-2 , Borussia Dortmund
225 , SC Paderborn , 1-2 , Borussia Mönchengladbach
226 , SC Paderborn , 3-1 , Eintracht Frankfurt
227 , SC Paderborn , 1-1 , SC Freiburg
228 , SC Paderborn , 0-3 , Hamburger SV
229 , SC Paderborn , 2-0 , Hannover 96
230 , SC Paderborn , 3-1 , Hertha BSC
231 , SC Paderborn , 0-0 , 1899 Hoffenheim
232 , SC Paderborn , 0-0 , 1. FC Köln
233 , SC Paderborn , 2-2 , Mainz 05
234 , SC Paderborn , 1-2 , Schalke 04
235 , SC Paderborn , 1-2 , VfB Stuttgart
236 , SC Paderborn , 2-2 , Werder Bremen
237 , SC Paderborn , 1-3 , VfL Wolfsburg
238 , Schalke 04 , 1-0 , FC Augsburg
239 , Schalke 04 , 0-1 , Bayer Leverkusen
240 , Schalke 04 , 1-1 , Bayern Munich
241 , Schalke 04 , 2-1 , Borussia Dortmund
242 , Schalke 04 , 1-0 , Borussia Mönchengladbach
243 , Schalke 04 , 2-2 , Eintracht Frankfurt
244 , Schalke 04 , 0-0 , SC Freiburg
245 , Schalke 04 , 0-0 , Hamburger SV
246 , Schalke 04 , 1-0 , Hannover 96
247 , Schalke 04 , 2-0 , Hertha BSC
248 , Schalke 04 , 3-1 , 1899 Hoffenheim
249 , Schalke 04 , 1-2 , 1. FC Köln
250 , Schalke 04 , 4-1 , Mainz 05
251 , Schalke 04 , 1-0 , SC Paderborn
252 , Schalke 04 , 3-2 , VfB Stuttgart
253 , Schalke 04 , 1-1 , Werder Bremen
254 , Schalke 04 , 3-2 , VfL Wolfsburg
255 , VfB Stuttgart , 0-1 , FC Augsburg
256 , VfB Stuttgart , 3-3 , Bayer Leverkusen
257 , VfB Stuttgart , 0-2 , Bayern Munich
258 , VfB Stuttgart , 2-3 , Borussia Dortmund
259 , VfB Stuttgart , 0-1 , Borussia Mönchengladbach
260 , VfB Stuttgart , 3-1 , Eintracht Frankfurt
261 , VfB Stuttgart , 2-2 , SC Freiburg
262 , VfB Stuttgart , 2-1 , Hamburger SV
263 , VfB Stuttgart , 1-0 , Hannover 96
264 , VfB Stuttgart , 0-0 , Hertha BSC
265 , VfB Stuttgart , 0-2 , 1899 Hoffenheim
266 , VfB Stuttgart , 0-2 , 1. FC Köln
267 , VfB Stuttgart , 2-0 , Mainz 05
268 , VfB Stuttgart , 0-0 , SC Paderborn
269 , VfB Stuttgart , 0-4 , Schalke 04
270 , VfB Stuttgart , 3-2 , Werder Bremen
271 , VfB Stuttgart , 0-4 , VfL Wolfsburg
272 , Werder Bremen , 3-2 , FC Augsburg
273 , Werder Bremen , 2-1 , Bayer Leverkusen
274 , Werder Bremen , 0-4 , Bayern Munich
275 , Werder Bremen , 2-1 , Borussia Dortmund
276 , Werder Bremen , 0-2 , Borussia Mönchengladbach
277 , Werder Bremen , 1-0 , Eintracht Frankfurt
278 , Werder Bremen , 1-1 , SC Freiburg
279 , Werder Bremen , 1-0 , Hamburger SV
280 , Werder Bremen , 3-3 , Hannover 96
281 , Werder Bremen , 2-0 , Hertha BSC
282 , Werder Bremen , 1-1 , 1899 Hoffenheim
283 , Werder Bremen , 0-1 , 1. FC Köln
284 , Werder Bremen , 0-0 , Mainz 05
285 , Werder Bremen , 4-0 , SC Paderborn
286 , Werder Bremen , 0-3 , Schalke 04
287 , Werder Bremen , 2-0 , VfB Stuttgart
288 , Werder Bremen , 3-5 , VfL Wolfsburg
289 , VfL Wolfsburg , 1-0 , FC Augsburg
290 , VfL Wolfsburg , 4-1 , Bayer Leverkusen
291 , VfL Wolfsburg , 4-1 , Bayern Munich
292 , VfL Wolfsburg , 2-1 , Borussia Dortmund
293 , VfL Wolfsburg , 1-0 , Borussia Mönchengladbach
294 , VfL Wolfsburg , 2-2 , Eintracht Frankfurt
295 , VfL Wolfsburg , 3-0 , SC Freiburg
296 , VfL Wolfsburg , 2-0 , Hamburger SV
297 , VfL Wolfsburg , 2-2 , Hannover 96
298 , VfL Wolfsburg , 2-1 , Hertha BSC
299 , VfL Wolfsburg , 3-0 , 1899 Hoffenheim
300 , VfL Wolfsburg , 2-1 , 1. FC Köln
301 , VfL Wolfsburg , 3-0 , Mainz 05
302 , VfL Wolfsburg , 1-1 , SC Paderborn
303 , VfL Wolfsburg , 1-1 , Schalke 04
304 , VfL Wolfsburg , 3-1 , VfB Stuttgart
305 , VfL Wolfsburg , 2-1 , Werder Bremen
shortNames:,,Home ╲ Away,Augsburg !AUG,Bayer Leverkusen !LEV,Bayern Munich !FCB,Borussia Dortmund !DOR,Borussia Mönchengladbach !MGL,Eintracht Frankfurt !FRA,SC Freiburg !FRE,Hamburger SV !HAM,Hannover 96 !H96,Hertha BSC !BSC,Hoffenheim !HOF,Köln !KÖL,Mainz 05 !MAI,SC Paderborn !PAD,Schalke 04 !S04,Stuttgart !STU,Werder Bremen !BRE,Wolfsburg !WOL
fullNames:,,FC Augsburg,Bayer Leverkusen,Bayern Munich,Borussia Dortmund,Borussia Mönchengladbach,Eintracht Frankfurt,SC Freiburg,Hamburger SV,Hannover 96,Hertha BSC,1899 Hoffenheim,1. FC Köln,Mainz 05,SC Paderborn,Schalke 04,VfB Stuttgart,Werder Bremen,VfL Wolfsburg
