0 , Almería , 0-1 , Athletic Bilbao
1 , Almería , 0-1 , Atlético Madrid
2 , Almería , 1-2 , Barcelona
3 , Almería , 2-2 , Celta Vigo
4 , Almería , 1-1 , Córdoba
5 , Almería , 0-0 , Deportivo La Coruña
6 , Almería , 2-0 , Eibar
7 , Almería , 2-2 , Elche
8 , Almería , 1-1 , Espanyol
9 , Almería , 1-0 , Getafe
10 , Almería , 3-0 , Granada
11 , Almería , 1-4 , Levante
12 , Almería , 1-2 , Málaga
13 , Almería , 0-1 , Rayo Vallecano
14 , Almería , 1-4 , Real Madrid
15 , Almería , 2-2 , Real Sociedad
16 , Almería , 0-2 , Sevilla
17 , Almería , 2-3 , Valencia
18 , Almería , 0-0 , Villarreal
19 , Athletic Bilbao , 2-1 , Almería
20 , Athletic Bilbao , 1-4 , Atlético Madrid
21 , Athletic Bilbao , 2-5 , Barcelona
22 , Athletic Bilbao , 1-1 , Celta Vigo
23 , Athletic Bilbao , 0-1 , Córdoba
24 , Athletic Bilbao , 1-1 , Deportivo La Coruña
25 , Athletic Bilbao , 0-0 , Eibar
26 , Athletic Bilbao , 1-2 , Elche
27 , Athletic Bilbao , 3-1 , Espanyol
28 , Athletic Bilbao , 4-0 , Getafe
29 , Athletic Bilbao , 0-1 , Granada
30 , Athletic Bilbao , 3-0 , Levante
31 , Athletic Bilbao , 1-1 , Málaga
32 , Athletic Bilbao , 1-0 , Rayo Vallecano
33 , Athletic Bilbao , 1-0 , Real Madrid
34 , Athletic Bilbao , 1-1 , Real Sociedad
35 , Athletic Bilbao , 1-0 , Sevilla
36 , Athletic Bilbao , 1-1 , Valencia
37 , Athletic Bilbao , 4-0 , Villarreal
38 , Atlético Madrid , 3-0 , Almería
39 , Atlético Madrid , 0-0 , Athletic Bilbao
40 , Atlético Madrid , 0-1 , Barcelona
41 , Atlético Madrid , 2-2 , Celta Vigo
42 , Atlético Madrid , 4-2 , Córdoba
43 , Atlético Madrid , 2-0 , Deportivo La Coruña
44 , Atlético Madrid , 2-1 , Eibar
45 , Atlético Madrid , 3-0 , Elche
46 , Atlético Madrid , 2-0 , Espanyol
47 , Atlético Madrid , 2-0 , Getafe
48 , Atlético Madrid , 2-0 , Granada
49 , Atlético Madrid , 3-1 , Levante
50 , Atlético Madrid , 3-1 , Málaga
51 , Atlético Madrid , 3-1 , Rayo Vallecano
52 , Atlético Madrid , 4-0 , Real Madrid
53 , Atlético Madrid , 2-0 , Real Sociedad
54 , Atlético Madrid , 4-0 , Sevilla
55 , Atlético Madrid , 1-1 , Valencia
56 , Atlético Madrid , 0-1 , Villarreal
57 , Barcelona , 4-0 , Almería
58 , Barcelona , 2-0 , Athletic Bilbao
59 , Barcelona , 3-1 , Atlético Madrid
60 , Barcelona , 0-1 , Celta Vigo
61 , Barcelona , 5-0 , Córdoba
62 , Barcelona , 2-2 , Deportivo La Coruña
63 , Barcelona , 3-0 , Eibar
64 , Barcelona , 3-0 , Elche
65 , Barcelona , 5-1 , Espanyol
66 , Barcelona , 6-0 , Getafe
67 , Barcelona , 6-0 , Granada
68 , Barcelona , 5-0 , Levante
69 , Barcelona , 0-1 , Málaga
70 , Barcelona , 6-1 , Rayo Vallecano
71 , Barcelona , 2-1 , Real Madrid
72 , Barcelona , 2-0 , Real Sociedad
73 , Barcelona , 5-1 , Sevilla
74 , Barcelona , 2-0 , Valencia
75 , Barcelona , 3-2 , Villarreal
76 , Celta Vigo , 0-1 , Almería
77 , Celta Vigo , 1-2 , Athletic Bilbao
78 , Celta Vigo , 2-0 , Atlético Madrid
79 , Celta Vigo , 0-1 , Barcelona
80 , Celta Vigo , 1-0 , Córdoba
81 , Celta Vigo , 2-1 , Deportivo La Coruña
82 , Celta Vigo , 0-1 , Eibar
83 , Celta Vigo , 1-1 , Elche
84 , Celta Vigo , 3-2 , Espanyol
85 , Celta Vigo , 3-1 , Getafe
86 , Celta Vigo , 0-0 , Granada
87 , Celta Vigo , 3-0 , Levante
88 , Celta Vigo , 1-0 , Málaga
89 , Celta Vigo , 6-1 , Rayo Vallecano
90 , Celta Vigo , 2-4 , Real Madrid
91 , Celta Vigo , 2-2 , Real Sociedad
92 , Celta Vigo , 1-1 , Sevilla
93 , Celta Vigo , 1-1 , Valencia
94 , Celta Vigo , 1-3 , Villarreal
95 , Córdoba , 1-2 , Almería
96 , Córdoba , 0-1 , Athletic Bilbao
97 , Córdoba , 0-2 , Atlético Madrid
98 , Córdoba , 0-8 , Barcelona
99 , Córdoba , 1-1 , Celta Vigo
100 , Córdoba , 0-0 , Deportivo La Coruña
101 , Córdoba , 1-1 , Eibar
102 , Córdoba , 0-2 , Elche
103 , Córdoba , 0-0 , Espanyol
104 , Córdoba , 1-2 , Getafe
105 , Córdoba , 2-0 , Granada
106 , Córdoba , 0-0 , Levante
107 , Córdoba , 1-2 , Málaga
108 , Córdoba , 1-2 , Rayo Vallecano
109 , Córdoba , 1-2 , Real Madrid
110 , Córdoba , 1-1 , Real Sociedad
111 , Córdoba , 1-3 , Sevilla
112 , Córdoba , 1-2 , Valencia
113 , Córdoba , 0-2 , Villarreal
114 , Deportivo La Coruña , 0-1 , Almería
