0 , Angers , 1-0 , Bastia
1 , Angers , 1-1 , Bordeaux
2 , Angers , 2-0 , Caen
3 , Angers , 0-0 , Gazélec Ajaccio
4 , Angers , 0-0 , Guingamp
5 , Angers , 2-0 , Lille
6 , Angers , 5-1 , Lorient
7 , Angers , 0-3 , Lyon
8 , Angers , 0-1 , Marseille
9 , Angers , 3-0 , Monaco
10 , Angers , 2-3 , Montpellier
11 , Angers , 0-0 , Nantes
12 , Angers , 1-1 , Nice
13 , Angers , 0-0 , Paris Saint-Germain
14 , Angers , 0-0 , Reims
15 , Angers , 0-2 , Rennes
16 , Angers , 0-0 , Saint-Étienne
17 , Angers , 2-3 , Toulouse
18 , Angers , 1-0 , Troyes
19 , Bastia , 1-0 , Angers
20 , Bastia , 1-0 , Bordeaux
21 , Bastia , 1-0 , Caen
22 , Bastia , 1-2 , Gazélec Ajaccio
23 , Bastia , 3-0 , Guingamp
24 , Bastia , 1-2 , Lille
25 , Bastia , 0-0 , Lorient
26 , Bastia , 1-0 , Lyon
27 , Bastia , 2-1 , Marseille
28 , Bastia , 1-2 , Monaco
29 , Bastia , 1-0 , Montpellier
30 , Bastia , 0-0 , Nantes
31 , Bastia , 1-3 , Nice
32 , Bastia , 0-2 , Paris Saint-Germain
33 , Bastia , 2-0 , Reims
34 , Bastia , 2-1 , Rennes
35 , Bastia , 0-1 , Saint-Étienne
36 , Bastia , 3-0 , Toulouse
37 , Bastia , 2-0 , Troyes
38 , Bordeaux , 1-3 , Angers
39 , Bordeaux , 1-1 , Bastia
40 , Bordeaux , 1-4 , Caen
41 , Bordeaux , 1-1 , Gazélec Ajaccio
42 , Bordeaux , 1-0 , Guingamp
43 , Bordeaux , 1-0 , Lille
44 , Bordeaux , 3-0 , Lorient
45 , Bordeaux , 3-1 , Lyon
46 , Bordeaux , 1-1 , Marseille
47 , Bordeaux , 3-1 , Monaco
48 , Bordeaux , 0-0 , Montpellier
49 , Bordeaux , 2-0 , Nantes
50 , Bordeaux , 0-0 , Nice
51 , Bordeaux , 1-1 , Paris Saint-Germain
52 , Bordeaux , 1-2 , Reims
53 , Bordeaux , 4-0 , Rennes
54 , Bordeaux , 1-4 , Saint-Étienne
55 , Bordeaux , 1-1 , Toulouse
56 , Bordeaux , 1-0 , Troyes
57 , Caen , 0-0 , Angers
58 , Caen , 0-0 , Bastia
59 , Caen , 1-0 , Bordeaux
60 , Caen , 2-0 , Gazélec Ajaccio
61 , Caen , 2-1 , Guingamp
62 , Caen , 1-2 , Lille
63 , Caen , 1-2 , Lorient
64 , Caen , 0-4 , Lyon
65 , Caen , 1-3 , Marseille
66 , Caen , 2-2 , Monaco
67 , Caen , 2-1 , Montpellier
68 , Caen , 0-2 , Nantes
69 , Caen , 2-0 , Nice
70 , Caen , 0-3 , Paris Saint-Germain
71 , Caen , 0-2 , Reims
72 , Caen , 1-0 , Rennes
73 , Caen , 1-0 , Saint-Étienne
74 , Caen , 1-0 , Toulouse
75 , Caen , 2-1 , Troyes
76 , Gazélec Ajaccio , 0-2 , Angers
77 , Gazélec Ajaccio , 3-2 , Bastia
78 , Gazélec Ajaccio , 2-0 , Bordeaux
79 , Gazélec Ajaccio , 1-0 , Caen
80 , Gazélec Ajaccio , 0-0 , Guingamp
81 , Gazélec Ajaccio , 2-4 , Lille
82 , Gazélec Ajaccio , 1-1 , Lorient
83 , Gazélec Ajaccio , 2-1 , Lyon
84 , Gazélec Ajaccio , 1-1 , Marseille
85 , Gazélec Ajaccio , 0-1 , Monaco
86 , Gazélec Ajaccio , 0-4 , Montpellier
87 , Gazélec Ajaccio , 1-1 , Nantes
88 , Gazélec Ajaccio , 3-1 , Nice
89 , Gazélec Ajaccio , 0-4 , Paris Saint-Germain
90 , Gazélec Ajaccio , 2-2 , Reims
91 , Gazélec Ajaccio , 1-1 , Rennes
92 , Gazélec Ajaccio , 0-2 , Saint-Étienne
93 , Gazélec Ajaccio , 2-2 , Toulouse
94 , Gazélec Ajaccio , 2-3 , Troyes
95 , Guingamp , 2-2 , Angers
96 , Guingamp , 1-0 , Bastia
97 , Guingamp , 2-4 , Bordeaux
98 , Guingamp , 1-1 , Caen
99 , Guingamp , 2-1 , Gazélec Ajaccio
100 , Guingamp , 1-1 , Lille
101 , Guingamp , 2-2 , Lorient
102 , Guingamp , 0-1 , Lyon
103 , Guingamp , 2-0 , Marseille
104 , Guingamp , 3-3 , Monaco
105 , Guingamp , 2-2 , Montpellier
106 , Guingamp , 2-2 , Nantes
107 , Guingamp , 2-3 , Nice
108 , Guingamp , 0-2 , Paris Saint-Germain
109 , Guingamp , 1-2 , Reims
110 , Guingamp , 0-2 , Rennes
111 , Guingamp , 2-0 , Saint-Étienne
112 , Guingamp , 2-0 , Toulouse
113 , Guingamp , 4-0 , Troyes
114 , Lille , 0-0 , Angers
115 , Lille , 1-1 , Bastia
116 , Lille , 0-0 , Bordeaux
117 , Lille , 1-0 , Caen
118 , Lille , 1-0 , Gazélec Ajaccio
119 , Lille , 0-0 , Guingamp
120 , Lille , 3-0 , Lorient
121 , Lille , 1-0 , Lyon
122 , Lille , 1-2 , Marseille
123 , Lille , 4-1 , Monaco
124 , Lille , 2-0 , Montpellier
125 , Lille , 0-1 , Nantes
126 , Lille , 1-1 , Nice
127 , Lille , 0-1 , Paris Saint-Germain
128 , Lille , 2-0 , Reims
129 , Lille , 1-1 , Rennes
130 , Lille , 1-0 , Saint-Étienne
131 , Lille , 1-0 , Toulouse
132 , Lille , 1-3 , Troyes
133 , Lorient , 3-1 , Angers
134 , Lorient , 1-1 , Bastia
135 , Lorient , 3-2 , Bordeaux
136 , Lorient , 2-0 , Caen
137 , Lorient , 1-0 , Gazélec Ajaccio
138 , Lorient , 4-3 , Guingamp
139 , Lorient , 0-1 , Lille
140 , Lorient , 1-3 , Lyon
141 , Lorient , 1-1 , Marseille
142 , Lorient , 0-2 , Monaco
143 , Lorient , 1-1 , Montpellier
144 , Lorient , 0-0 , Nantes
145 , Lorient , 0-0 , Nice
146 , Lorient , 1-2 , Paris Saint-Germain
147 , Lorient , 2-0 , Reims
148 , Lorient , 1-1 , Rennes
149 , Lorient , 0-1 , Saint-Étienne
150 , Lorient , 1-1 , Toulouse
151 , Lorient , 4-1 , Troyes
152 , Lyon , 0-2 , Angers
153 , Lyon , 2-0 , Bastia
154 , Lyon , 3-0 , Bordeaux
155 , Lyon , 4-1 , Caen
156 , Lyon , 2-1 , Gazélec Ajaccio
157 , Lyon , 5-1 , Guingamp
158 , Lyon , 0-0 , Lille
159 , Lyon , 0-0 , Lorient
160 , Lyon , 1-1 , Marseille
161 , Lyon , 6-1 , Monaco
162 , Lyon , 2-4 , Montpellier
163 , Lyon , 2-0 , Nantes
164 , Lyon , 1-1 , Nice
165 , Lyon , 2-1 , Paris Saint-Germain
166 , Lyon , 1-0 , Reims
167 , Lyon , 1-2 , Rennes
168 , Lyon , 3-0 , Saint-Étienne
169 , Lyon , 3-0 , Toulouse
170 , Lyon , 4-1 , Troyes
171 , Marseille , 1-2 , Angers
172 , Marseille , 4-1 , Bastia
173 , Marseille , 0-0 , Bordeaux
174 , Marseille , 0-1 , Caen
175 , Marseille , 1-1 , Gazélec Ajaccio
176 , Marseille , 0-0 , Guingamp
177 , Marseille , 1-1 , Lille
178 , Marseille , 1-1 , Lorient
179 , Marseille , 1-1 , Lyon
180 , Marseille , 3-3 , Monaco
181 , Marseille , 2-2 , Montpellier
182 , Marseille , 1-1 , Nantes
183 , Marseille , 0-1 , Nice
184 , Marseille , 1-2 , Paris Saint-Germain
185 , Marseille , 1-0 , Reims
186 , Marseille , 2-5 , Rennes
187 , Marseille , 1-1 , Saint-Étienne
188 , Marseille , 1-1 , Toulouse
189 , Marseille , 6-0 , Troyes
190 , Monaco , 1-0 , Angers
191 , Monaco , 2-0 , Bastia
192 , Monaco , 1-2 , Bordeaux
193 , Monaco , 1-1 , Caen
194 , Monaco , 2-2 , Gazélec Ajaccio
195 , Monaco , 3-2 , Guingamp
196 , Monaco , 0-0 , Lille
197 , Monaco , 2-3 , Lorient
198 , Monaco , 1-1 , Lyon
199 , Monaco , 2-1 , Marseille
200 , Monaco , 2-0 , Montpellier
201 , Monaco , 1-0 , Nantes
202 , Monaco , 1-0 , Nice
203 , Monaco , 0-3 , Paris Saint-Germain
204 , Monaco , 2-2 , Reims
205 , Monaco , 1-1 , Rennes
206 , Monaco , 1-0 , Saint-Étienne
207 , Monaco , 4-0 , Toulouse
208 , Monaco , 3-1 , Troyes
209 , Montpellier , 0-2 , Angers
210 , Montpellier , 2-0 , Bastia
211 , Montpellier , 0-1 , Bordeaux
212 , Montpellier , 1-2 , Caen
213 , Montpellier , 0-2 , Gazélec Ajaccio
214 , Montpellier , 2-1 , Guingamp
215 , Montpellier , 3-0 , Lille
216 , Montpellier , 2-1 , Lorient
217 , Montpellier , 0-2 , Lyon
218 , Montpellier , 0-1 , Marseille
219 , Montpellier , 2-3 , Monaco
220 , Montpellier , 2-1 , Nantes
221 , Montpellier , 0-2 , Nice
222 , Montpellier , 0-1 , Paris Saint-Germain
223 , Montpellier , 3-1 , Reims
224 , Montpellier , 2-0 , Rennes
225 , Montpellier , 1-2 , Saint-Étienne
226 , Montpellier , 2-0 , Toulouse
227 , Montpellier , 4-1 , Troyes
228 , Nantes , 2-0 , Angers
229 , Nantes , 0-0 , Bastia
230 , Nantes , 2-2 , Bordeaux
231 , Nantes , 1-2 , Caen
232 , Nantes , 3-1 , Gazélec Ajaccio
233 , Nantes , 1-0 , Guingamp
234 , Nantes , 0-3 , Lille
235 , Nantes , 2-1 , Lorient
236 , Nantes , 0-0 , Lyon
237 , Nantes , 0-1 , Marseille
238 , Nantes , 0-0 , Monaco
239 , Nantes , 0-2 , Montpellier
240 , Nantes , 1-0 , Nice
241 , Nantes , 1-4 , Paris Saint-Germain
242 , Nantes , 1-0 , Reims
243 , Nantes , 0-2 , Rennes
244 , Nantes , 2-1 , Saint-Étienne
245 , Nantes , 1-1 , Toulouse
246 , Nantes , 3-0 , Troyes
247 , Nice , 2-1 , Angers
248 , Nice , 0-2 , Bastia
249 , Nice , 6-1 , Bordeaux
250 , Nice , 2-1 , Caen
251 , Nice , 3-0 , Gazélec Ajaccio
252 , Nice , 0-1 , Guingamp
253 , Nice , 0-0 , Lille
254 , Nice , 2-1 , Lorient
255 , Nice , 3-0 , Lyon
256 , Nice , 1-1 , Marseille
