0 , Olympique Lillois , 1-2 , Olympique de Marseille
1 , Olympique Lillois , 4-1 , RC Paris
2 , Olympique Lillois , 4-2 , FC Sète
3 , Olympique Lillois , 4-0 , SC Nîmes
4 , Olympique Lillois , 2-0 , Excelsior AC Roubaix
5 , Olympique Lillois , 3-0 , OGC Nice
6 , Olympique Lillois , 5-3 , Club français
7 , Olympique Lillois , 2-1 , Hyères FC
8 , Olympique Lillois , 2-0 , FC Mulhouse
9 , Olympique de Marseille , 7-0 , Olympique Lillois
10 , Olympique de Marseille , 1-0 , RC Paris
11 , Olympique de Marseille , 3-1 , FC Sète
12 , Olympique de Marseille , 2-0 , SC Nîmes
13 , Olympique de Marseille , 2-2 , Excelsior AC Roubaix
14 , Olympique de Marseille , 1-0 , OGC Nice
15 , Olympique de Marseille , 5-1 , Club français
16 , Olympique de Marseille , 1-2 , Hyères FC
17 , Olympique de Marseille , 3-1 , FC Mulhouse
18 , RC Paris , 0-1 , Olympique Lillois
19 , RC Paris , 3-1 , Olympique de Marseille
20 , RC Paris , 5-3 , FC Sète
21 , RC Paris , 3-1 , SC Nîmes
22 , RC Paris , 2-2 , Excelsior AC Roubaix
23 , RC Paris , 2-2 , OGC Nice
24 , RC Paris , 4-1 , Club français
25 , RC Paris , 2-1 , Hyères FC
26 , RC Paris , 2-1 , FC Mulhouse
27 , FC Sète , 1-0 , Olympique Lillois
28 , FC Sète , 1-1 , Olympique de Marseille
29 , FC Sète , 3-2 , RC Paris
30 , FC Sète , 1-1 , SC Nîmes
31 , FC Sète , 0-2 , Excelsior AC Roubaix
32 , FC Sète , 1-2 , OGC Nice
33 , FC Sète , 3-2 , Club français
34 , FC Sète , 1-0 , Hyères FC
35 , FC Sète , 1-1 , FC Mulhouse
36 , SC Nîmes , 0-3 , Olympique Lillois
37 , SC Nîmes , 1-3 , Olympique de Marseille
38 , SC Nîmes , 5-1 , RC Paris
39 , SC Nîmes , 1-3 , FC Sète
40 , SC Nîmes , 2-0 , Excelsior AC Roubaix
41 , SC Nîmes , 2-0 , OGC Nice
42 , SC Nîmes , 3-1 , Club français
43 , SC Nîmes , 3-0 , Hyères FC
44 , SC Nîmes , 3-1 , FC Mulhouse
45 , Excelsior AC Roubaix , 2-1 , Olympique Lillois
46 , Excelsior AC Roubaix , 2-1 , Olympique de Marseille
47 , Excelsior AC Roubaix , 1-1 , RC Paris
48 , Excelsior AC Roubaix , 0-3 , FC Sète
49 , Excelsior AC Roubaix , 4-4 , SC Nîmes
50 , Excelsior AC Roubaix , 2-2 , OGC Nice
51 , Excelsior AC Roubaix , 4-1 , Club français
52 , Excelsior AC Roubaix , 2-1 , Hyères FC
53 , Excelsior AC Roubaix , 2-2 , FC Mulhouse
54 , OGC Nice , 2-3 , Olympique Lillois
55 , OGC Nice , 1-0 , Olympique de Marseille
56 , OGC Nice , 0-0 , RC Paris
57 , OGC Nice , 2-2 , FC Sète
58 , OGC Nice , 2-3 , SC Nîmes
59 , OGC Nice , 2-2 , Excelsior AC Roubaix
60 , OGC Nice , 2-0 , Club français
61 , OGC Nice , 2-1 , Hyères FC
62 , OGC Nice , 5-2 , FC Mulhouse
63 , Club français , 1-3 , Olympique Lillois
64 , Club français , 6-2 , Olympique de Marseille
65 , Club français , 5-5 , RC Paris
66 , Club français , 2-3 , FC Sète
67 , Club français , 5-2 , SC Nîmes
68 , Club français , 2-2 , Excelsior AC Roubaix
69 , Club français , 2-0 , OGC Nice
70 , Club français , 2-2 , Hyères FC
71 , Club français , 5-0 , FC Mulhouse
72 , Hyères FC , 0-1 , Olympique Lillois
73 , Hyères FC , 1-1 , Olympique de Marseille
74 , Hyères FC , 1-2 , RC Paris
75 , Hyères FC , 1-2 , FC Sète
76 , Hyères FC , 2-2 , SC Nîmes
77 , Hyères FC , 3-1 , Excelsior AC Roubaix
