0 , Arenas Club de Getxo , 4-2 , Athletic Bilbao
1 , Arenas Club de Getxo , 5-1 , FC Barcelona
2 , Arenas Club de Getxo , 3-3 , Betis Balompié
3 , Arenas Club de Getxo , 3-0 , Deportivo Alavés
4 , Arenas Club de Getxo , 6-0 , Donostia CF
5 , Arenas Club de Getxo , 0-2 , CE Espanyol
6 , Arenas Club de Getxo , 1-5 , Madrid CF
7 , Arenas Club de Getxo , 2-1 , Racing de Santander
8 , Arenas Club de Getxo , 2-2 , Valencia CF
9 , Athletic Bilbao , 3-1 , Arenas Club de Getxo
10 , Athletic Bilbao , 1-3 , FC Barcelona
11 , Athletic Bilbao , 9-1 , Betis Balompié
12 , Athletic Bilbao , 4-0 , Deportivo Alavés
13 , Athletic Bilbao , 1-2 , Donostia CF
14 , Athletic Bilbao , 0-2 , CE Espanyol
15 , Athletic Bilbao , 0-2 , Madrid CF
16 , Athletic Bilbao , 9-5 , Racing de Santander
17 , Athletic Bilbao , 8-2 , Valencia CF
18 , FC Barcelona , 5-2 , Arenas Club de Getxo
19 , FC Barcelona , 2-3 , Athletic Bilbao
20 , FC Barcelona , 4-1 , Betis Balompié
21 , FC Barcelona , 2-0 , Deportivo Alavés
22 , FC Barcelona , 3-2 , Donostia CF
23 , FC Barcelona , 1-1 , CE Espanyol
24 , FC Barcelona , 1-1 , Madrid CF
25 , FC Barcelona , 4-0 , Racing de Santander
26 , FC Barcelona , 4-2 , Valencia CF
27 , Betis Balompié , 1-1 , Arenas Club de Getxo
28 , Betis Balompié , 1-5 , Athletic Bilbao
29 , Betis Balompié , 2-1 , FC Barcelona
30 , Betis Balompié , 3-1 , Deportivo Alavés
31 , Betis Balompié , 4-2 , Donostia CF
32 , Betis Balompié , 1-2 , CE Espanyol
33 , Betis Balompié , 0-0 , Madrid CF
34 , Betis Balompié , 3-2 , Racing de Santander
35 , Betis Balompié , 3-2 , Valencia CF
36 , Deportivo Alavés , 1-1 , Arenas Club de Getxo
37 , Deportivo Alavés , 0-2 , Athletic Bilbao
38 , Deportivo Alavés , 2-1 , FC Barcelona
39 , Deportivo Alavés , 2-0 , Betis Balompié
40 , Deportivo Alavés , 1-0 , Donostia CF
41 , Deportivo Alavés , 1-0 , CE Espanyol
42 , Deportivo Alavés , 0-1 , Madrid CF
43 , Deportivo Alavés , 8-2 , Racing de Santander
44 , Deportivo Alavés , 1-1 , Valencia CF
45 , Donostia CF , 2-1 , Arenas Club de Getxo
46 , Donostia CF , 2-4 , Athletic Bilbao
47 , Donostia CF , 2-2 , FC Barcelona
48 , Donostia CF , 2-2 , Betis Balompié
49 , Donostia CF , 3-1 , Deportivo Alavés
50 , Donostia CF , 6-1 , CE Espanyol
51 , Donostia CF , 1-2 , Madrid CF
52 , Donostia CF , 8-0 , Racing de Santander
53 , Donostia CF , 4-1 , Valencia CF
54 , CE Espanyol , 3-2 , Arenas Club de Getxo
55 , CE Espanyol , 2-5 , Athletic Bilbao
56 , CE Espanyol , 2-1 , FC Barcelona
57 , CE Espanyol , 1-2 , Betis Balompié
58 , CE Espanyol , 3-1 , Deportivo Alavés
59 , CE Espanyol , 3-0 , Donostia CF
60 , CE Espanyol , 2-1 , Madrid CF
61 , CE Espanyol , 2-1 , Racing de Santander
62 , CE Espanyol , 5-2 , Valencia CF
63 , Madrid CF , 8-2 , Arenas Club de Getxo
64 , Madrid CF , 0-1 , Athletic Bilbao
65 , Madrid CF , 2-1 , FC Barcelona
66 , Madrid CF , 4-1 , Betis Balompié
67 , Madrid CF , 2-0 , Deportivo Alavés
68 , Madrid CF , 6-2 , Donostia CF
69 , Madrid CF , 2-0 , CE Espanyol
70 , Madrid CF , 4-1 , Racing de Santander
71 , Madrid CF , 6-0 , Valencia CF
72 , Racing de Santander , 2-1 , Arenas Club de Getxo
73 , Racing de Santander , 0-1 , Athletic Bilbao
74 , Racing de Santander , 4-4 , FC Barcelona
75 , Racing de Santander , 2-2 , Betis Balompié
76 , Racing de Santander , 9-0 , Deportivo Alavés
77 , Racing de Santander , 7-1 , Donostia CF
78 , Racing de Santander , 3-1 , CE Espanyol
79 , Racing de Santander , 4-2 , Madrid CF
80 , Racing de Santander , 2-0 , Valencia CF
81 , Valencia CF , 3-2 , Arenas Club de Getxo
82 , Valencia CF , 1-5 , Athletic Bilbao
83 , Valencia CF , 2-2 , FC Barcelona
84 , Valencia CF , 2-1 , Betis Balompié
85 , Valencia CF , 5-2 , Deportivo Alavés
86 , Valencia CF , 2-2 , Donostia CF
87 , Valencia CF , 1-1 , CE Espanyol
88 , Valencia CF , 0-1 , Madrid CF
89 , Valencia CF , 6-2 , Racing de Santander
shortNames:,,,Are,Ath,Bar,Bet,DAl,Don,Esp,Mad,Rac,Val
fullNames:,,Arenas Club de Getxo,Athletic Bilbao,FC Barcelona,Betis Balompié,Deportivo Alavés,Donostia CF,CE Espanyol,Madrid CF,Racing de Santander,Valencia CF
