0 , Atlético Bilbao , 3-0 , Atlético Madrid
1 , Atlético Bilbao , 1-0 , FC Barcelona
2 , Atlético Bilbao , 0-1 , Betis
3 , Atlético Bilbao , 3-0 , Celta de Vigo
4 , Atlético Bilbao , 3-0 , Elche CF
5 , Atlético Bilbao , 1-0 , RCD Español
6 , Atlético Bilbao , 1-0 , Granada CF
7 , Atlético Bilbao , 2-2 , Hércules CF
8 , Atlético Bilbao , 2-1 , UD Las Palmas
9 , Atlético Bilbao , 3-1 , CD Málaga
10 , Atlético Bilbao , 2-0 , Murcia
11 , Atlético Bilbao , 1-4 , Real Gijón
12 , Atlético Bilbao , 1-0 , Real Madrid
13 , Atlético Bilbao , 2-1 , Real Sociedad
14 , Atlético Bilbao , 0-0 , UD Salamanca
15 , Atlético Bilbao , 1-1 , Valencia CF
16 , Atlético Bilbao , 4-0 , Zaragoza
17 , Atlético Madrid , 2-0 , Atlético Bilbao
18 , Atlético Madrid , 3-3 , FC Barcelona
19 , Atlético Madrid , 4-1 , Betis
20 , Atlético Madrid , 0-0 , Celta de Vigo
21 , Atlético Madrid , 3-0 , Elche CF
22 , Atlético Madrid , 2-0 , RCD Español
23 , Atlético Madrid , 0-0 , Granada CF
24 , Atlético Madrid , 2-0 , Hércules CF
25 , Atlético Madrid , 4-0 , UD Las Palmas
26 , Atlético Madrid , 2-1 , CD Málaga
27 , Atlético Madrid , 1-0 , Murcia
28 , Atlético Madrid , 2-2 , Real Gijón
29 , Atlético Madrid , 1-1 , Real Madrid
30 , Atlético Madrid , 1-0 , Real Sociedad
31 , Atlético Madrid , 0-0 , UD Salamanca
32 , Atlético Madrid , 5-2 , Valencia CF
33 , Atlético Madrid , 4-0 , Zaragoza
34 , FC Barcelona , 4-0 , Atlético Bilbao
35 , FC Barcelona , 1-0 , Atlético Madrid
36 , FC Barcelona , 3-0 , Betis
37 , FC Barcelona , 4-0 , Celta de Vigo
38 , FC Barcelona , 0-0 , Elche CF
39 , FC Barcelona , 4-1 , RCD Español
40 , FC Barcelona , 2-1 , Granada CF
41 , FC Barcelona , 0-0 , Hércules CF
42 , FC Barcelona , 3-2 , UD Las Palmas
43 , FC Barcelona , 5-0 , CD Málaga
44 , FC Barcelona , 3-1 , Murcia
45 , FC Barcelona , 1-1 , Real Gijón
46 , FC Barcelona , 0-0 , Real Madrid
47 , FC Barcelona , 2-0 , Real Sociedad
48 , FC Barcelona , 3-1 , UD Salamanca
49 , FC Barcelona , 5-2 , Valencia CF
50 , FC Barcelona , 2-2 , Zaragoza
51 , Betis , 2-1 , Atlético Bilbao
