0 , Athletic Bilbao , 1-0 , Atlético Madrid
1 , Athletic Bilbao , 0-0 , FC Barcelona
2 , Athletic Bilbao , 0-0 , Betis
3 , Athletic Bilbao , 1-1 , Burgos
4 , Athletic Bilbao , 6-1 , Cádiz CF
5 , Athletic Bilbao , 4-1 , Elche CF
6 , Athletic Bilbao , 4-0 , RCD Español
7 , Athletic Bilbao , 2-1 , Hércules CF
8 , Athletic Bilbao , 2-1 , UD Las Palmas
9 , Athletic Bilbao , 3-0 , Racing de Santander
10 , Athletic Bilbao , 6-0 , Rayo Vallecano
11 , Athletic Bilbao , 2-0 , Real Madrid
12 , Athletic Bilbao , 1-0 , Real Sociedad
13 , Athletic Bilbao , 3-1 , UD Salamanca
14 , Athletic Bilbao , 2-1 , Sevilla FC
15 , Athletic Bilbao , 1-0 , Sporting de Gijón
16 , Athletic Bilbao , 4-1 , Valencia CF
17 , Atlético Madrid , 0-1 , Athletic Bilbao
18 , Atlético Madrid , 1-0 , FC Barcelona
19 , Atlético Madrid , 1-1 , Betis
20 , Atlético Madrid , 2-1 , Burgos
21 , Atlético Madrid , 4-0 , Cádiz CF
22 , Atlético Madrid , 3-1 , Elche CF
23 , Atlético Madrid , 2-1 , RCD Español
24 , Atlético Madrid , 3-1 , Hércules CF
25 , Atlético Madrid , 2-1 , UD Las Palmas
26 , Atlético Madrid , 3-0 , Racing de Santander
27 , Atlético Madrid , 4-0 , Rayo Vallecano
28 , Atlético Madrid , 1-3 , Real Madrid
29 , Atlético Madrid , 2-1 , Real Sociedad
30 , Atlético Madrid , 4-2 , UD Salamanca
31 , Atlético Madrid , 1-0 , Sevilla FC
32 , Atlético Madrid , 5-1 , Sporting de Gijón
33 , Atlético Madrid , 3-0 , Valencia CF
34 , FC Barcelona , 3-1 , Athletic Bilbao
35 , FC Barcelona , 1-0 , Atlético Madrid
36 , FC Barcelona , 1-0 , Betis
37 , FC Barcelona , 3-0 , Burgos
38 , FC Barcelona , 1-1 , Cádiz CF
39 , FC Barcelona , 5-1 , Elche CF
40 , FC Barcelona , 1-1 , RCD Español
41 , FC Barcelona , 2-1 , Hércules CF
42 , FC Barcelona , 5-0 , UD Las Palmas
43 , FC Barcelona , 3-0 , Racing de Santander
44 , FC Barcelona , 1-1 , Rayo Vallecano
45 , FC Barcelona , 2-3 , Real Madrid
46 , FC Barcelona , 1-0 , Real Sociedad
47 , FC Barcelona , 3-1 , UD Salamanca
48 , FC Barcelona , 3-1 , Sevilla FC
49 , FC Barcelona , 1-0 , Sporting de Gijón
50 , FC Barcelona , 1-0 , Valencia CF
51 , Betis , 2-2 , Athletic Bilbao
52 , Betis , 4-3 , Atlético Madrid
53 , Betis , 0-0 , FC Barcelona
54 , Betis , 2-1 , Burgos
55 , Betis , 3-0 , Cádiz CF
56 , Betis , 4-0 , Elche CF
57 , Betis , 3-1 , RCD Español
58 , Betis , 1-1 , Hércules CF
59 , Betis , 1-2 , UD Las Palmas
60 , Betis , 3-1 , Racing de Santander
61 , Betis , 1-0 , Rayo Vallecano
62 , Betis , 4-2 , Real Madrid
63 , Betis , 1-0 , Real Sociedad
64 , Betis , 0-1 , UD Salamanca
65 , Betis , 3-2 , Sevilla FC
66 , Betis , 1-1 , Sporting de Gijón
67 , Betis , 1-1 , Valencia CF
68 , Burgos , 2-2 , Athletic Bilbao
69 , Burgos , 2-2 , Atlético Madrid
70 , Burgos , 1-1 , FC Barcelona
71 , Burgos , 1-0 , Betis
72 , Burgos , 2-1 , Cádiz CF
73 , Burgos , 1-0 , Elche CF
74 , Burgos , 3-2 , RCD Español
75 , Burgos , 0-0 , Hércules CF
76 , Burgos , 2-1 , UD Las Palmas
77 , Burgos , 0-0 , Racing de Santander
78 , Burgos , 2-1 , Rayo Vallecano
79 , Burgos , 3-2 , Real Madrid
80 , Burgos , 3-2 , Real Sociedad
81 , Burgos , 0-2 , UD Salamanca
82 , Burgos , 1-0 , Sevilla FC
83 , Burgos , 0-0 , Sporting de Gijón
84 , Burgos , 2-0 , Valencia CF
85 , Cádiz CF , 2-1 , Athletic Bilbao
86 , Cádiz CF , 2-1 , Atlético Madrid
87 , Cádiz CF , 0-2 , FC Barcelona
88 , Cádiz CF , 0-5 , Betis
89 , Cádiz CF , 4-0 , Burgos
