0 , Auxerre , 2-0 , Bastia
1 , Auxerre , 2-2 , Bordeaux
2 , Auxerre , 1-2 , Brest
3 , Auxerre , 2-0 , Laval
4 , Auxerre , 3-0 , Le Havre
5 , Auxerre , 0-0 , Lens
6 , Auxerre , 2-0 , Lille
7 , Auxerre , 2-0 , Marseille
8 , Auxerre , 2-1 , Metz
9 , Auxerre , 1-0 , AS Monaco
10 , Auxerre , 3-0 , Nancy
11 , Auxerre , 0-0 , Nantes
12 , Auxerre , 1-2 , Nice
13 , Auxerre , 0-1 , PSG
14 , Auxerre , 1-0 , Rennes
15 , Auxerre , 3-2 , Sochaux
16 , Auxerre , 2-0 , Strasbourg
17 , Auxerre , 0-0 , Toulon
18 , Auxerre , 2-1 , Toulouse
19 , Bastia , 0-0 , Auxerre
20 , Bastia , 0-2 , Bordeaux
21 , Bastia , 3-2 , Brest
22 , Bastia , 0-0 , Laval
23 , Bastia , 2-1 , Le Havre
24 , Bastia , 0-1 , Lens
25 , Bastia , 2-0 , Lille
26 , Bastia , 0-3 , Marseille
27 , Bastia , 0-0 , Metz
28 , Bastia , 0-0 , AS Monaco
29 , Bastia , 2-2 , Nancy
30 , Bastia , 2-3 , Nantes
31 , Bastia , 0-1 , Nice
32 , Bastia , 2-4 , PSG
33 , Bastia , 0-2 , Rennes
34 , Bastia , 0-0 , Sochaux
35 , Bastia , 2-0 , Strasbourg
36 , Bastia , 2-1 , Toulon
37 , Bastia , 0-2 , Toulouse
38 , Bordeaux , 0-0 , Auxerre
39 , Bordeaux , 2-2 , Bastia
40 , Bordeaux , 4-0 , Brest
41 , Bordeaux , 2-1 , Laval
42 , Bordeaux , 5-3 , Le Havre
43 , Bordeaux , 2-1 , Lens
44 , Bordeaux , 1-1 , Lille
45 , Bordeaux , 2-1 , Marseille
46 , Bordeaux , 3-1 , Metz
47 , Bordeaux , 5-1 , AS Monaco
48 , Bordeaux , 1-0 , Nancy
49 , Bordeaux , 2-1 , Nantes
50 , Bordeaux , 1-0 , Nice
51 , Bordeaux , 0-0 , PSG
52 , Bordeaux , 3-2 , Rennes
53 , Bordeaux , 1-1 , Sochaux
54 , Bordeaux , 1-0 , Strasbourg
55 , Bordeaux , 2-1 , Toulon
56 , Bordeaux , 1-1 , Toulouse
57 , Brest , 1-3 , Auxerre
58 , Brest , 7-0 , Bastia
59 , Brest , 0-1 , Bordeaux
60 , Brest , 2-1 , Laval
61 , Brest , 1-1 , Le Havre
62 , Brest , 2-0 , Lens
63 , Brest , 1-1 , Lille
64 , Brest , 2-1 , Marseille
65 , Brest , 1-1 , Metz
66 , Brest , 2-1 , AS Monaco
67 , Brest , 0-2 , Nancy
68 , Brest , 1-3 , Nantes
69 , Brest , 1-1 , Nice
70 , Brest , 1-1 , PSG
71 , Brest , 2-1 , Rennes
72 , Brest , 3-1 , Sochaux
73 , Brest , 2-1 , Strasbourg
74 , Brest , 2-1 , Toulon
75 , Brest , 2-2 , Toulouse
76 , Laval , 0-0 , Auxerre
77 , Laval , 1-0 , Bastia
78 , Laval , 0-0 , Bordeaux
