0 , Atalanta , 2-0 , Avellino
1 , Atalanta , 0-0 , Bari
2 , Atalanta , 1-1 , Como
3 , Atalanta , 0-0 , Fiorentina
4 , Atalanta , 2-1 , Inter
5 , Atalanta , 0-0 , Juventus
6 , Atalanta , 3-1 , Lecce
7 , Atalanta , 1-1 , Milan
8 , Atalanta , 0-0 , Napoli
9 , Atalanta , 1-2 , Pisa
10 , Atalanta , 1-2 , Roma
11 , Atalanta , 2-1 , Sampdoria
12 , Atalanta , 2-2 , Torino
13 , Atalanta , 1-1 , Udinese
14 , Atalanta , 0-0 , Verona
15 , Avellino , 1-0 , Atalanta
16 , Avellino , 0-0 , Bari
17 , Avellino , 1-4 , Como
18 , Avellino , 3-1 , Fiorentina
19 , Avellino , 1-0 , Inter
20 , Avellino , 0-0 , Juventus
21 , Avellino , 2-0 , Lecce
22 , Avellino , 1-1 , Milan
23 , Avellino , 0-1 , Napoli
24 , Avellino , 1-1 , Pisa
25 , Avellino , 1-0 , Roma
26 , Avellino , 2-1 , Sampdoria
27 , Avellino , 0-0 , Torino
28 , Avellino , 2-2 , Udinese
29 , Avellino , 3-1 , Verona
30 , Bari , 0-0 , Atalanta
31 , Bari , 0-1 , Avellino
32 , Bari , 1-1 , Como
33 , Bari , 0-1 , Fiorentina
34 , Bari , 1-3 , Inter
35 , Bari , 0-3 , Juventus
36 , Bari , 2-0 , Lecce
37 , Bari , 0-1 , Milan
38 , Bari , 1-2 , Napoli
39 , Bari , 0-0 , Pisa
40 , Bari , 2-0 , Roma
41 , Bari , 0-0 , Sampdoria
42 , Bari , 1-0 , Torino
43 , Bari , 1-0 , Udinese
44 , Bari , 3-1 , Verona
45 , Como , 0-2 , Atalanta
46 , Como , 1-1 , Avellino
47 , Como , 1-1 , Bari
48 , Como , 0-0 , Fiorentina
49 , Como , 1-0 , Inter
50 , Como , 0-1 , Juventus
51 , Como , 2-0 , Lecce
52 , Como , 1-1 , Milan
53 , Como , 1-1 , Napoli
54 , Como , 1-1 , Pisa
55 , Como , 1-0 , Roma
56 , Como , 2-2 , Sampdoria
57 , Como , 1-1 , Torino
58 , Como , 0-0 , Udinese
59 , Como , 1-0 , Verona
60 , Fiorentina , 0-0 , Atalanta
61 , Fiorentina , 1-0 , Avellino
62 , Fiorentina , 0-0 , Bari
63 , Fiorentina , 1-0 , Como
64 , Fiorentina , 3-0 , Inter
65 , Fiorentina , 2-0 , Juventus
