0 , Ascoli , 2-0 , Avellino
1 , Ascoli , 0-0 , Cesena
2 , Ascoli , 0-0 , Como
3 , Ascoli , 2-0 , Empoli
4 , Ascoli , 3-0 , Fiorentina
5 , Ascoli , 2-1 , Inter
6 , Ascoli , 1-1 , Juventus
7 , Ascoli , 1-1 , Milan
8 , Ascoli , 1-3 , Napoli
9 , Ascoli , 2-1 , Pescara
10 , Ascoli , 2-2 , Pisa
11 , Ascoli , 1-1 , Roma
12 , Ascoli , 1-1 , Sampdoria
13 , Ascoli , 3-0 , Torino
14 , Ascoli , 1-1 , Verona
15 , Avellino , 1-1 , Ascoli
16 , Avellino , 1-1 , Cesena
17 , Avellino , 1-1 , Como
18 , Avellino , 1-0 , Empoli
19 , Avellino , 1-1 , Fiorentina
20 , Avellino , 1-3 , Inter
21 , Avellino , 1-0 , Juventus
22 , Avellino , 0-0 , Milan
23 , Avellino , 0-1 , Napoli
24 , Avellino , 1-1 , Pescara
25 , Avellino , 1-0 , Pisa
26 , Avellino , 2-3 , Roma
27 , Avellino , 1-2 , Sampdoria
28 , Avellino , 2-1 , Torino
29 , Avellino , 1-0 , Verona
30 , Cesena , 1-0 , Ascoli
31 , Cesena , 1-1 , Avellino
32 , Cesena , 3-0 , Como
33 , Cesena , 1-1 , Empoli
34 , Cesena , 1-0 , Fiorentina
35 , Cesena , 2-2 , Inter
36 , Cesena , 0-0 , Juventus
37 , Cesena , 0-0 , Milan
38 , Cesena , 0-1 , Napoli
39 , Cesena , 0-1 , Pescara
40 , Cesena , 1-1 , Pisa
41 , Cesena , 0-0 , Roma
42 , Cesena , 2-0 , Sampdoria
43 , Cesena , 0-0 , Torino
44 , Cesena , 1-0 , Verona
45 , Como , 3-1 , Ascoli
46 , Como , 0-0 , Avellino
47 , Como , 2-0 , Cesena
48 , Como , 3-2 , Empoli
49 , Como , 1-0 , Fiorentina
50 , Como , 1-2 , Inter
51 , Como , 1-1 , Juventus
52 , Como , 1-1 , Milan
53 , Como , 0-0 , Napoli
54 , Como , 2-1 , Pescara
55 , Como , 0-0 , Pisa
56 , Como , 0-1 , Roma
57 , Como , 0-1 , Sampdoria
58 , Como , 0-0 , Torino
59 , Como , 1-1 , Verona
60 , Empoli , 2-0 , Ascoli
61 , Empoli , 0-0 , Avellino
62 , Empoli , 2-2 , Cesena
63 , Empoli , 1-1 , Como
64 , Empoli , 0-0 , Fiorentina
65 , Empoli , 1-1 , Inter
66 , Empoli , 1-0 , Juventus
67 , Empoli , 0-0 , Milan
68 , Empoli , 0-0 , Napoli
69 , Empoli , 3-2 , Pescara
70 , Empoli , 0-1 , Pisa
71 , Empoli , 2-1 , Roma
72 , Empoli , 2-2 , Sampdoria
73 , Empoli , 0-0 , Torino
74 , Empoli , 1-0 , Verona
