0 , Ascoli , 1-1 , Atalanta
1 , Ascoli , 1-1 , Bari
2 , Ascoli , 1-1 , Bologna
3 , Ascoli , 0-0 , Cesena
4 , Ascoli , 0-1 , Cremonese
5 , Ascoli , 2-1 , Fiorentina
6 , Ascoli , 0-0 , Genoa
7 , Ascoli , 0-1 , Inter
8 , Ascoli , 1-2 , Juventus
9 , Ascoli , 0-0 , Lazio
10 , Ascoli , 0-2 , Lecce
11 , Ascoli , 1-0 , Milan
12 , Ascoli , 0-1 , Napoli
13 , Ascoli , 1-1 , Roma
14 , Ascoli , 2-1 , Sampdoria
15 , Ascoli , 1-0 , Udinese
16 , Ascoli , 1-1 , Verona
17 , Atalanta , 1-0 , Ascoli
18 , Atalanta , 0-0 , Bari
19 , Atalanta , 0-0 , Bologna
20 , Atalanta , 1-0 , Cesena
21 , Atalanta , 2-0 , Cremonese
22 , Atalanta , 0-0 , Fiorentina
23 , Atalanta , 1-0 , Genoa
24 , Atalanta , 2-1 , Inter
25 , Atalanta , 1-2 , Juventus
26 , Atalanta , 4-0 , Lazio
27 , Atalanta , 2-1 , Lecce
28 , Atalanta , 0-1 , Milan
29 , Atalanta , 0-2 , Napoli
30 , Atalanta , 3-0 , Roma
31 , Atalanta , 2-2 , Sampdoria
32 , Atalanta , 1-0 , Udinese
33 , Atalanta , 1-0 , Verona
34 , Bari , 2-2 , Ascoli
35 , Bari , 4-0 , Atalanta
36 , Bari , 0-0 , Bologna
37 , Bari , 2-0 , Cesena
38 , Bari , 2-0 , Cremonese
39 , Bari , 1-1 , Fiorentina
40 , Bari , 0-0 , Genoa
41 , Bari , 0-0 , Inter
42 , Bari , 1-1 , Juventus
43 , Bari , 0-0 , Lazio
44 , Bari , 0-1 , Lecce
45 , Bari , 0-1 , Milan
46 , Bari , 1-1 , Napoli
47 , Bari , 1-2 , Roma
48 , Bari , 0-2 , Sampdoria
49 , Bari , 3-1 , Udinese
50 , Bari , 2-1 , Verona
51 , Bologna , 2-1 , Ascoli
52 , Bologna , 0-0 , Atalanta
53 , Bologna , 3-1 , Bari
54 , Bologna , 1-0 , Cesena
55 , Bologna , 1-1 , Cremonese
56 , Bologna , 1-0 , Fiorentina
57 , Bologna , 1-0 , Genoa
58 , Bologna , 2-2 , Inter
59 , Bologna , 1-1 , Juventus
60 , Bologna , 1-1 , Lazio
61 , Bologna , 2-1 , Lecce
62 , Bologna , 0-0 , Milan
63 , Bologna , 2-4 , Napoli
64 , Bologna , 1-1 , Roma
65 , Bologna , 1-0 , Sampdoria
66 , Bologna , 0-0 , Udinese
67 , Bologna , 1-0 , Verona
68 , Cesena , 1-0 , Ascoli
69 , Cesena , 0-0 , Atalanta
70 , Cesena , 2-2 , Bari
71 , Cesena , 0-0 , Bologna
72 , Cesena , 1-1 , Cremonese
73 , Cesena , 1-1 , Fiorentina
74 , Cesena , 1-1 , Genoa
75 , Cesena , 2-3 , Inter
76 , Cesena , 1-1 , Juventus
77 , Cesena , 0-0 , Lazio
78 , Cesena , 4-0 , Lecce
79 , Cesena , 0-3 , Milan
80 , Cesena , 0-0 , Napoli
81 , Cesena , 0-0 , Roma
82 , Cesena , 1-2 , Sampdoria
83 , Cesena , 1-1 , Udinese
84 , Cesena , 1-0 , Verona
85 , Cremonese , 2-1 , Ascoli
86 , Cremonese , 1-1 , Atalanta
87 , Cremonese , 0-2 , Bari
88 , Cremonese , 2-1 , Bologna
89 , Cremonese , 1-2 , Cesena
90 , Cremonese , 1-2 , Fiorentina
91 , Cremonese , 0-1 , Genoa
92 , Cremonese , 0-1 , Inter
93 , Cremonese , 2-2 , Juventus
94 , Cremonese , 2-1 , Lazio
95 , Cremonese , 1-1 , Lecce
96 , Cremonese , 1-0 , Milan
97 , Cremonese , 1-1 , Napoli
98 , Cremonese , 0-1 , Roma
99 , Cremonese , 0-3 , Sampdoria
100 , Cremonese , 2-2 , Udinese
101 , Cremonese , 1-1 , Verona
102 , Fiorentina , 5-1 , Ascoli
103 , Fiorentina , 4-1 , Atalanta
104 , Fiorentina , 2-2 , Bari
105 , Fiorentina , 0-1 , Bologna
106 , Fiorentina , 0-0 , Cesena
107 , Fiorentina , 0-0 , Cremonese
108 , Fiorentina , 0-0 , Genoa
109 , Fiorentina , 2-2 , Inter
110 , Fiorentina , 2-2 , Juventus
111 , Fiorentina , 1-0 , Lazio
112 , Fiorentina , 3-0 , Lecce
113 , Fiorentina , 2-3 , Milan
114 , Fiorentina , 0-1 , Napoli
115 , Fiorentina , 1-2 , Roma
116 , Fiorentina , 3-1 , Sampdoria
117 , Fiorentina , 1-2 , Udinese
118 , Fiorentina , 3-1 , Verona
119 , Genoa , 2-0 , Ascoli
120 , Genoa , 2-2 , Atalanta
121 , Genoa , 0-0 , Bari
122 , Genoa , 0-0 , Bologna
123 , Genoa , 2-3 , Cesena
124 , Genoa , 1-0 , Cremonese
125 , Genoa , 1-1 , Fiorentina
126 , Genoa , 0-0 , Inter
127 , Genoa , 2-3 , Juventus
128 , Genoa , 2-2 , Lazio
129 , Genoa , 1-0 , Lecce
130 , Genoa , 1-1 , Milan
131 , Genoa , 1-1 , Napoli
132 , Genoa , 0-2 , Roma
133 , Genoa , 1-2 , Sampdoria
134 , Genoa , 0-0 , Udinese
135 , Genoa , 0-1 , Verona
136 , Inter , 0-0 , Ascoli
137 , Inter , 7-2 , Atalanta
138 , Inter , 1-1 , Bari
139 , Inter , 3-0 , Bologna
140 , Inter , 1-1 , Cesena
141 , Inter , 2-1 , Cremonese
142 , Inter , 2-0 , Fiorentina
143 , Inter , 1-0 , Genoa
144 , Inter , 2-1 , Juventus
145 , Inter , 3-0 , Lazio
146 , Inter , 2-1 , Lecce
147 , Inter , 0-3 , Milan
148 , Inter , 3-1 , Napoli
149 , Inter , 3-0 , Roma
150 , Inter , 2-0 , Sampdoria
151 , Inter , 2-0 , Udinese
152 , Inter , 0-0 , Verona
153 , Juventus , 3-1 , Ascoli
154 , Juventus , 0-1 , Atalanta
155 , Juventus , 1-0 , Bari
156 , Juventus , 1-1 , Bologna
157 , Juventus , 1-1 , Cesena
158 , Juventus , 4-0 , Cremonese
159 , Juventus , 3-1 , Fiorentina
160 , Juventus , 1-1 , Genoa
161 , Juventus , 1-0 , Inter
162 , Juventus , 1-0 , Lazio
163 , Juventus , 3-0 , Lecce
164 , Juventus , 3-0 , Milan
165 , Juventus , 1-1 , Napoli
166 , Juventus , 1-1 , Roma
167 , Juventus , 1-0 , Sampdoria
168 , Juventus , 1-1 , Udinese
169 , Juventus , 2-1 , Verona
170 , Lazio , 3-0 , Ascoli
171 , Lazio , 1-2 , Atalanta
172 , Lazio , 2-2 , Bari
173 , Lazio , 3-0 , Bologna
174 , Lazio , 4-0 , Cesena
175 , Lazio , 1-1 , Cremonese
176 , Lazio , 1-1 , Fiorentina
177 , Lazio , 0-0 , Genoa
178 , Lazio , 2-1 , Inter
179 , Lazio , 1-1 , Juventus
180 , Lazio , 3-0 , Lecce
181 , Lazio , 1-3 , Milan
182 , Lazio , 3-0 , Napoli
183 , Lazio , 0-1 , Roma
184 , Lazio , 0-2 , Sampdoria
185 , Lazio , 0-0 , Udinese
186 , Lazio , 0-0 , Verona
187 , Lecce , 1-1 , Ascoli
188 , Lecce , 2-1 , Atalanta
189 , Lecce , 1-1 , Bari
190 , Lecce , 1-0 , Bologna
191 , Lecce , 2-1 , Cesena
192 , Lecce , 2-1 , Cremonese
193 , Lecce , 1-0 , Fiorentina
194 , Lecce , 2-1 , Genoa
195 , Lecce , 0-0 , Inter
196 , Lecce , 2-3 , Juventus
197 , Lecce , 0-0 , Lazio
198 , Lecce , 1-2 , Milan
199 , Lecce , 1-1 , Napoli
200 , Lecce , 0-2 , Roma
201 , Lecce , 0-0 , Sampdoria
202 , Lecce , 1-0 , Udinese
203 , Lecce , 1-0 , Verona
204 , Milan , 2-1 , Ascoli
205 , Milan , 3-1 , Atalanta
206 , Milan , 4-0 , Bari
207 , Milan , 1-0 , Bologna
208 , Milan , 3-0 , Cesena
209 , Milan , 2-1 , Cremonese
210 , Milan , 1-1 , Fiorentina
211 , Milan , 1-0 , Genoa
212 , Milan , 1-3 , Inter
213 , Milan , 3-2 , Juventus
214 , Milan , 0-1 , Lazio
215 , Milan , 2-0 , Lecce
216 , Milan , 3-0 , Napoli
217 , Milan , 1-0 , Roma
218 , Milan , 1-0 , Sampdoria
219 , Milan , 3-1 , Udinese
220 , Milan , 0-0 , Verona
221 , Napoli , 1-0 , Ascoli
222 , Napoli , 3-1 , Atalanta
223 , Napoli , 3-0 , Bari
224 , Napoli , 2-0 , Bologna
225 , Napoli , 1-0 , Cesena
226 , Napoli , 3-0 , Cremonese
227 , Napoli , 3-2 , Fiorentina
228 , Napoli , 2-1 , Genoa
229 , Napoli , 2-0 , Inter
230 , Napoli , 3-1 , Juventus
231 , Napoli , 1-0 , Lazio
232 , Napoli , 3-2 , Lecce
233 , Napoli , 3-0 , Milan
234 , Napoli , 3-1 , Roma
235 , Napoli , 1-1 , Sampdoria
236 , Napoli , 1-0 , Udinese
237 , Napoli , 2-0 , Verona
238 , Roma , 0-0 , Ascoli
239 , Roma , 4-1 , Atalanta
240 , Roma , 1-0 , Bari
241 , Roma , 2-2 , Bologna
242 , Roma , 1-0 , Cesena
243 , Roma , 3-2 , Cremonese
244 , Roma , 0-0 , Fiorentina
245 , Roma , 0-1 , Genoa
246 , Roma , 1-1 , Inter
247 , Roma , 1-0 , Juventus
248 , Roma , 1-1 , Lazio
249 , Roma , 2-1 , Lecce
250 , Roma , 0-4 , Milan
251 , Roma , 1-1 , Napoli
252 , Roma , 1-1 , Sampdoria
253 , Roma , 3-1 , Udinese
254 , Roma , 5-2 , Verona
255 , Sampdoria , 2-0 , Ascoli
256 , Sampdoria , 1-0 , Atalanta
257 , Sampdoria , 0-0 , Bari
258 , Sampdoria , 3-0 , Bologna
259 , Sampdoria , 0-0 , Cesena
260 , Sampdoria , 1-1 , Cremonese
261 , Sampdoria , 3-0 , Fiorentina
262 , Sampdoria , 0-0 , Genoa
263 , Sampdoria , 2-0 , Inter
264 , Sampdoria , 0-0 , Juventus
265 , Sampdoria , 2-0 , Lazio
266 , Sampdoria , 1-0 , Lecce
267 , Sampdoria , 1-1 , Milan
268 , Sampdoria , 2-1 , Napoli
269 , Sampdoria , 4-2 , Roma
270 , Sampdoria , 3-1 , Udinese
271 , Sampdoria , 1-0 , Verona
272 , Udinese , 2-0 , Ascoli
273 , Udinese , 0-0 , Atalanta
274 , Udinese , 2-2 , Bari
275 , Udinese , 1-1 , Bologna
276 , Udinese , 1-0 , Cesena
277 , Udinese , 1-1 , Cremonese
278 , Udinese , 1-1 , Fiorentina
279 , Udinese , 2-4 , Genoa
280 , Udinese , 4-3 , Inter
281 , Udinese , 2-2 , Juventus
282 , Udinese , 0-2 , Lazio
283 , Udinese , 3-1 , Lecce
284 , Udinese , 0-2 , Milan
285 , Udinese , 2-2 , Napoli
286 , Udinese , 1-1 , Roma
287 , Udinese , 3-3 , Sampdoria
288 , Udinese , 2-1 , Verona
289 , Verona , 0-0 , Ascoli
290 , Verona , 1-1 , Atalanta
291 , Verona , 1-1 , Bari
292 , Verona , 3-2 , Bologna
293 , Verona , 0-2 , Cesena
294 , Verona , 1-1 , Cremonese
