0 , Ascoli , 2-2 , Cagliari
1 , Ascoli , 2-2 , Chievo
2 , Ascoli , 3-1 , Empoli
3 , Ascoli , 0-2 , Fiorentina
4 , Ascoli , 1-2 , Internazionale
5 , Ascoli , 1-3 , Juventus
6 , Ascoli , 1-4 , Lazio
7 , Ascoli , 2-0 , Lecce
8 , Ascoli , 0-0 , Livorno
9 , Ascoli , 1-0 , Messina
10 , Ascoli , 1-1 , Milan
11 , Ascoli , 1-1 , Palermo
12 , Ascoli , 3-1 , Parma
13 , Ascoli , 1-1 , Reggina
14 , Ascoli , 3-2 , Roma
15 , Ascoli , 2-1 , Sampdoria
16 , Ascoli , 1-1 , Siena
17 , Ascoli , 1-0 , Treviso
18 , Ascoli , 1-1 , Udinese
19 , Cagliari , 2-1 , Ascoli
20 , Cagliari , 2-2 , Chievo
21 , Cagliari , 4-1 , Empoli
22 , Cagliari , 0-0 , Fiorentina
23 , Cagliari , 2-2 , Internazionale
24 , Cagliari , 1-1 , Juventus
25 , Cagliari , 1-1 , Lazio
26 , Cagliari , 0-0 , Lecce
27 , Cagliari , 1-1 , Livorno
28 , Cagliari , 1-1 , Messina
29 , Cagliari , 0-2 , Milan
30 , Cagliari , 1-1 , Palermo
31 , Cagliari , 3-1 , Parma
32 , Cagliari , 0-2 , Reggina
33 , Cagliari , 0-0 , Roma
34 , Cagliari , 2-0 , Sampdoria
35 , Cagliari , 1-0 , Siena
36 , Cagliari , 0-0 , Treviso
37 , Cagliari , 2-1 , Udinese
38 , Chievo , 1-1 , Ascoli
39 , Chievo , 2-1 , Cagliari
40 , Chievo , 2-2 , Empoli
41 , Chievo , 0-2 , Fiorentina
42 , Chievo , 0-1 , Internazionale
43 , Chievo , 1-1 , Juventus
44 , Chievo , 2-2 , Lazio
45 , Chievo , 3-1 , Lecce
46 , Chievo , 2-1 , Livorno
47 , Chievo , 2-0 , Messina
48 , Chievo , 2-1 , Milan
49 , Chievo , 0-0 , Palermo
50 , Chievo , 1-0 , Parma
51 , Chievo , 4-0 , Reggina
52 , Chievo , 4-4 , Roma
53 , Chievo , 1-1 , Sampdoria
54 , Chievo , 4-1 , Siena
55 , Chievo , 0-0 , Treviso
56 , Chievo , 2-0 , Udinese
57 , Empoli , 1-2 , Ascoli
58 , Empoli , 3-1 , Cagliari
59 , Empoli , 2-1 , Chievo
60 , Empoli , 1-1 , Fiorentina
61 , Empoli , 1-0 , Internazionale
62 , Empoli , 0-4 , Juventus
