0 , Auxerre , 0-0 , Bordeaux
1 , Auxerre , 2-3 , Le Mans
2 , Auxerre , 1-0 , Lens
3 , Auxerre , 2-1 , Lorient
4 , Auxerre , 0-0 , Lille
5 , Auxerre , 0-3 , Lyon
6 , Auxerre , 2-1 , Marseille
7 , Auxerre , 2-0 , AS Monaco
8 , Auxerre , 1-0 , Nancy
9 , Auxerre , 0-0 , FC Nantes
10 , Auxerre , 0-0 , Nice
11 , Auxerre , 1-0 , Paris SG
12 , Auxerre , 2-2 , Rennes
13 , Auxerre , 1-1 , Sedan
14 , Auxerre , 1-0 , Saint-Étienne
15 , Auxerre , 1-0 , Sochaux
16 , Auxerre , 1-0 , Toulouse
17 , Auxerre , 1-1 , Troyes
18 , Auxerre , 1-1 , Valenciennes
19 , Bordeaux , 0-0 , Auxerre
20 , Bordeaux , 1-0 , Le Mans
21 , Bordeaux , 1-0 , Lens
22 , Bordeaux , 1-1 , Lorient
23 , Bordeaux , 0-1 , Lille
24 , Bordeaux , 1-2 , Lyon
25 , Bordeaux , 1-0 , Marseille
26 , Bordeaux , 1-0 , AS Monaco
27 , Bordeaux , 3-0 , Nancy
28 , Bordeaux , 0-1 , FC Nantes
29 , Bordeaux , 3-2 , Nice
30 , Bordeaux , 0-0 , Paris SG
31 , Bordeaux , 1-2 , Rennes
32 , Bordeaux , 3-1 , Sedan
33 , Bordeaux , 1-0 , Saint-Étienne
34 , Bordeaux , 2-0 , Sochaux
35 , Bordeaux , 2-0 , Toulouse
36 , Bordeaux , 2-1 , Troyes
37 , Bordeaux , 2-1 , Valenciennes
38 , Le Mans , 2-2 , Auxerre
39 , Le Mans , 1-1 , Bordeaux
40 , Le Mans , 1-1 , Lens
41 , Le Mans , 1-1 , Lorient
42 , Le Mans , 1-1 , Lille
43 , Le Mans , 0-1 , Lyon
44 , Le Mans , 2-0 , Marseille
45 , Le Mans , 0-2 , AS Monaco
46 , Le Mans , 0-0 , Nancy
47 , Le Mans , 1-1 , FC Nantes
48 , Le Mans , 1-0 , Nice
49 , Le Mans , 1-1 , Paris SG
50 , Le Mans , 0-0 , Rennes
51 , Le Mans , 3-2 , Sedan
52 , Le Mans , 2-1 , Saint-Étienne
53 , Le Mans , 2-2 , Sochaux
54 , Le Mans , 2-0 , Toulouse
55 , Le Mans , 2-0 , Troyes
56 , Le Mans , 3-2 , Valenciennes
57 , Lens , 1-0 , Auxerre
58 , Lens , 3-0 , Bordeaux
59 , Lens , 2-0 , Le Mans
60 , Lens , 1-1 , Lorient
61 , Lens , 1-1 , Lille
62 , Lens , 0-4 , Lyon
63 , Lens , 1-1 , Marseille
64 , Lens , 1-0 , AS Monaco
65 , Lens , 2-2 , Nancy
66 , Lens , 2-0 , FC Nantes
67 , Lens , 0-0 , Nice
68 , Lens , 1-2 , Paris SG
69 , Lens , 0-0 , Rennes
70 , Lens , 1-1 , Sedan
71 , Lens , 3-3 , Saint-Étienne
72 , Lens , 3-1 , Sochaux
73 , Lens , 2-0 , Toulouse
74 , Lens , 1-0 , Troyes
75 , Lens , 3-0 , Valenciennes
76 , Lorient , 2-1 , Auxerre
77 , Lorient , 0-1 , Bordeaux
78 , Lorient , 2-1 , Le Mans
79 , Lorient , 1-0 , Lens
80 , Lorient , 0-0 , Lille
81 , Lorient , 1-3 , Lyon
82 , Lorient , 2-1 , Marseille
83 , Lorient , 0-0 , AS Monaco
84 , Lorient , 2-0 , Nancy
85 , Lorient , 3-1 , FC Nantes
86 , Lorient , 0-0 , Nice
87 , Lorient , 0-1 , Paris SG
88 , Lorient , 0-0 , Rennes
89 , Lorient , 2-0 , Sedan
90 , Lorient , 0-0 , Saint-Étienne
91 , Lorient , 1-3 , Sochaux
92 , Lorient , 0-1 , Toulouse
93 , Lorient , 0-0 , Troyes
94 , Lorient , 1-0 , Valenciennes
95 , Lille , 1-1 , Auxerre
96 , Lille , 3-0 , Bordeaux
97 , Lille , 0-2 , Le Mans
98 , Lille , 4-0 , Lens
99 , Lille , 1-0 , Lorient
100 , Lille , 1-2 , Lyon
101 , Lille , 1-0 , Marseille
102 , Lille , 1-1 , AS Monaco
103 , Lille , 0-1 , Nancy
104 , Lille , 0-0 , FC Nantes
105 , Lille , 1-0 , Nice
106 , Lille , 1-0 , Paris SG
107 , Lille , 1-1 , Rennes
108 , Lille , 2-1 , Sedan
109 , Lille , 2-2 , Saint-Étienne
110 , Lille , 2-0 , Sochaux
111 , Lille , 1-3 , Toulouse
112 , Lille , 4-0 , Troyes
113 , Lille , 0-2 , Valenciennes
114 , Lyon , 1-0 , Auxerre
115 , Lyon , 1-2 , Bordeaux
116 , Lyon , 2-1 , Le Mans
117 , Lyon , 3-0 , Lens
118 , Lyon , 1-0 , Lorient
119 , Lyon , 4-1 , Lille
120 , Lyon , 1-1 , Marseille
121 , Lyon , 0-0 , AS Monaco
122 , Lyon , 1-0 , Nancy
123 , Lyon , 3-1 , FC Nantes
124 , Lyon , 1-1 , Nice
125 , Lyon , 3-1 , Paris SG
126 , Lyon , 0-0 , Rennes
127 , Lyon , 1-0 , Sedan
128 , Lyon , 2-1 , Saint-Étienne
129 , Lyon , 3-3 , Sochaux
130 , Lyon , 1-1 , Toulouse
131 , Lyon , 2-0 , Troyes
132 , Lyon , 2-1 , Valenciennes
133 , Marseille , 3-1 , Auxerre
