0 , ALM , 0-0 , ATH
1 , ALM , 2-0 , ATM
2 , ALM , 0-2 , BAR
3 , ALM , 3-2 , BET
4 , ALM , 2-4 , CEL
5 , ALM , 2-2 , ELC
6 , ALM , 0-0 , ESP
7 , ALM , 1-0 , GET
8 , ALM , 3-0 , GRA
9 , ALM , 2-2 , LEV
10 , ALM , 0-0 , MLG
11 , ALM , 1-2 , OSA
12 , ALM , 0-1 , RVA
13 , ALM , 0-5 , RMA
14 , ALM , 4-3 , RSO
15 , ALM , 1-3 , SEV
16 , ALM , 2-2 , VAL
17 , ALM , 1-0 , VLD
18 , ALM , 2-3 , VIL
19 , ATH , 6-1 , ALM
20 , ATH , 1-2 , ATM
21 , ATH , 1-0 , BAR
22 , ATH , 2-1 , BET
23 , ATH , 3-2 , CEL
24 , ATH , 2-2 , ELC
25 , ATH , 1-2 , ESP
26 , ATH , 1-0 , GET
27 , ATH , 4-0 , GRA
28 , ATH , 2-1 , LEV
29 , ATH , 3-0 , MLG
30 , ATH , 2-0 , OSA
31 , ATH , 2-1 , RVA
32 , ATH , 1-1 , RMA
33 , ATH , 1-1 , RSO
34 , ATH , 3-1 , SEV
35 , ATH , 1-1 , VAL
36 , ATH , 4-2 , VLD
37 , ATH , 2-0 , VIL
38 , ATM , 4-2 , ALM
39 , ATM , 2-0 , ATH
40 , ATM , 0-0 , BAR
41 , ATM , 5-0 , BET
42 , ATM , 2-1 , CEL
43 , ATM , 2-0 , ELC
44 , ATM , 1-0 , ESP
45 , ATM , 7-0 , GET
46 , ATM , 1-0 , GRA
47 , ATM , 3-2 , LEV
48 , ATM , 1-1 , MLG
49 , ATM , 2-1 , OSA
50 , ATM , 5-0 , RVA
51 , ATM , 2-2 , RMA
52 , ATM , 4-0 , RSO
53 , ATM , 1-1 , SEV
54 , ATM , 3-0 , VAL
55 , ATM , 3-0 , VLD
56 , ATM , 1-0 , VIL
57 , BAR , 4-1 , ALM
58 , BAR , 2-1 , ATH
59 , BAR , 1-1 , ATM
60 , BAR , 3-1 , BET
61 , BAR , 3-0 , CEL
62 , BAR , 4-0 , ELC
